Source_Name       scan Continuum_Level  Continuum_err   22_height  err_height    22_width   err_width   22_center  err_center flag  11_cont 11_cont_err 11_height 11_height_err 11_integ 11_integ_err      tau11     tau22  tau11d22 fillfact   logdens  logdensp  logdensm dist_kpc  m_bgps  n_bgps  col_bgps_40  sizescale_pc  M_msun  Mh2coDmBGPS
      G33.13-0.09   15       0.4692312      0.0158248    -0.22441     0.00312     3.31295     0.05323    76.17480     0.02260    1    0.495       0.003    -0.192         0.007    -0.77         0.02   0.312777  0.154847   2.01991     0.17  4.804873 +0.235127 -0.284873      4.5  1.13e3  1.38e2       2.8e22          0.14      53         0.05
      G34.26+0.15   19       5.8914967      0.0231796    -1.35653     0.00666     3.96067     0.02245    60.99643     0.00953    1    5.565       0.005    -1.828         0.008    -7.39         0.06   0.321613  0.197414   1.62913     0.6   5.013173 +0.236827 -0.273173      3.5  9.91e3  5.01e3       4.2e23          1.32   68000          6.9
      G35.58+0.07   25       0.2419011      0.0158870    -0.10636     0.00264     4.99766     0.14305    49.21093     0.06075    1    0.530       0.005    -0.15          0.01     -1.09         0.07   0.231176 0.0870442   2.65585     0.27  4.628799 +0.261201 -0.328799     10.5  8.23e3  1.84e2       2.4e22          0.18      75         0.01
      G45.07+0.13   33       0.7921433      0.0166054    -0.07259     0.00324     3.44981     0.17775    57.18439     0.07548    1    0.469       0.003    -0.056         0.006    -0.25         0.01  0.0952615 0.0409615   2.32563     0.38  4.962273 +0.227727 -0.272273      7.5  3.65e3  1.82e3       4.4e22          0.15      99         0.03
      G48.61+0.02   41       0.4079309      0.0158381    -0.02159     0.00252     4.38804     0.59239    18.49698     0.25157    1    1.012       0.004    -0.067         0.007    -1.92         0.02  0.0592472 0.0155555   3.80877     1.0   3.802627 +0.977373 -3.802627      9.6  6.39e3  1.65e2       2.8e22          1.43    5335         0.83
      G61.48+0.09   47       3.4189343      0.0198389    -0.30042     0.00462     2.38597     0.04235    21.40565     0.01799    1    6.163       0.007    -0.531         0.015   -1.59          0.02  0.0845292 0.0682937   1.23773        1  5.315870 +0.214130 -0.235870      5.2  4.87e3  1.29e3       9.1e22          0.14     172         0.04
      G70.29+1.60   60       6.2097950      0.0227614    -0.15892     0.00339     5.33976     0.13167   -23.51563     0.05590    1    4.368       0.130    -0.372         0.019   -1.588         0.04  0.0829088 0.0221035   3.75093        1  4.775438 +0.224562 -0.295438        0       0       0            0             0       0            0
      G70.33+1.59   62       2.6779401      0.0189550    -1.08079     0.00905     2.94617     0.02848   -21.16267     0.01210    1    2.209       0.010    -1.201         0.018   -4.66          0.03   0.515925  0.295464   1.74616        1  4.712869 +0.257131 -0.302869        0       0       0            0             0       0            0
  IRAS_20051+3435   64       0.0007364      0.0151612    -0.01595     0.00292     4.14076     0.87681    11.51100     0.37235    1        0           0    -0.0188        0.001   -0.072         0.00   0.158175 0.0162632   9.72596        1  3.568163 +1.061837 -3.568163        0       0       0            0             0       0            0
      G69.54-0.98   58       0.2011813      0.0150082    -0.21965     0.00381     5.81217     0.11639     9.98006     0.04942    2    0.110       0.025    -0.280         0.014	  -1.353         0.027  0.898895  0.076005   11.8268        1  3.061043 +0.908957 -2.691043        0       0       0            0             0       0            0
