VS B DENZ PART A I Thigh Tlow Time Dcool Compr Ion HB4861 Fe5160 N5200 Fe5262 O5577 N5755 O6300 HA6563 N6583 S6716 S6731 Fe7155 Fe7172 Ca7291 O7330 Fe7390 Fe7452 Fe8619 C8730 Fe8894 Fe9054 Fe9229 C9850
20.0 10.0 1.0 .05 1 0 0.7155E+04 0.1025E+04 0.1018E+05 0.1919E+18 0.299E+01 0.445E-01 0.29832 0.000337102 0.248202 0.000274455 0.0017929 8.94961e-05 0.724918 1.83029e-07 0.0432564 1.24996 0.841263 0.00392589 0.00100534 0.0871095 0.000414068 0.000745801 0.00123206 0.202747 0.000322186 0.0688165 0.0478714 0.03871 0.0209719
20.0 10.0 1.0 .1 1 0 0.6899E+04 0.1025E+04 0.6327E+04 0.1190E+18 0.298E+01 0.880E-01 0.296974 0.000139578 0.102456 0.00011879 0.000638495 4.87038e-05 0.296974 4.31016e-07 0.0289847 0.558312 0.374188 0.00170463 0.000439522 0.0332611 0.000306181 0.000326672 0.000534554 0.0910078 0.000262822 0.0308052 0.0214891 0.0173285 0.0186203
20.0 10.0 1.0 .25 1 0 0.6243E+04 0.1006E+04 0.3203E+04 0.6019E+17 0.296E+01 0.217E+00 0.296875 3.26562e-05 0.0247297 3.26562e-05 9.7078e-05 1.30328e-05 0.0676874 1.28e-06 0.011964 0.1615 0.108953 0.000463124 0.000121719 0.00528437 0.000131219 8.90624e-05 0.000145469 0.0270572 0.00015289 0.0090903 0.00638874 0.00511218 0.0137156
20.0 1.0 1.0 .02 1 0 0.1191E+05 0.1001E+04 0.1298E+05 0.1040E+18 0.642E+01 0.180E-01 0.232943 0.00358965 2.24324 0.00469846 0.0482192 0.00155606 5.42757 1.366e-07 0.194274 6.17299 4.16968 0.0238673 0.00579562 0.764053 0.00475204 0.0042978 0.00748678 0.936277 0.00211745 0.325072 0.22107 0.182858 0.07757
20.0 1.0 1.0 .05 1 0 0.1162E+05 0.1018E+04 0.7320E+04 0.5667E+17 0.641E+01 0.435E-01 0.277179 0.00176563 1.09486 0.00231722 0.0222852 0.00148845 2.67201 3.212e-07 0.211211 3.18756 2.15923 0.0121321 0.00295196 0.385279 0.00559902 0.00218972 0.00380567 0.483237 0.00250016 0.167499 0.114101 0.0942216 0.0947953
20.0 10.0 1.0 .5 1 0 0.5426E+04 0.1017E+04 0.1761E+04 0.3357E+17 0.291E+01 0.431E+00 0.295699 8.87097e-06 0.00641667 1.1828e-05 1.10591e-05 2.42473e-06 0.0138978 2.79e-06 0.00405108 0.0532258 0.0360753 0.000138978 3.84409e-05 0.000647581 4.1043e-05 2.66129e-05 4.43548e-05 0.00920806 7.27419e-05 0.00306048 0.00217339 0.00172097 0.00922581
20.0 1.0 1.0 .1 1 0 0.1116E+05 0.1015E+04 0.4587E+04 0.3530E+17 0.627E+01 0.855E-01 0.295038 0.000899865 0.550835 0.00120375 0.0104443 0.00115065 1.33947 6.63e-07 0.185284 1.70237 1.15655 0.00637872 0.00155485 0.203576 0.0054877 0.0011536 0.00200036 0.257314 0.00242816 0.0890542 0.0607571 0.0500945 0.0950021
20.0 1.0 1.0 .25 1 0 0.1000E+05 0.1014E+04 0.2425E+04 0.1979E+17 0.584E+01 0.210E+00 0.304768 0.000323054 0.195052 0.000469343 0.00287396 0.000603441 0.441914 1.7615e-06 0.12465 0.682681 0.466295 0.00247472 0.000606489 0.0768016 0.00450142 0.000451057 0.000777159 0.102716 0.00195356 0.0354232 0.0242534 0.0199257 0.0822874
20.0 1.0 1.0 .5 1 0 0.8552E+04 0.1007E+04 0.1595E+04 0.1361E+17 0.548E+01 0.410E+00 0.307011 0.000110524 0.0662223 0.000184207 0.000531129 0.000245916 0.122804 3.81116e-06 0.0712266 0.288283 0.198636 0.000976295 0.000242539 0.028552 0.0023732 0.000181137 0.000307011 0.0436754 0.00124032 0.0149453 0.0103125 0.00840596 0.0626303
20.0 10.0 1.5 .02 1 0 0.1011E+05 0.1008E+04 0.6456E+04 0.8175E+17 0.416E+01 0.180E-01 0.280915 0.00352268 2.3035 0.00415754 0.0393281 0.00124165 5.81494 2.688e-07 0.200012 7.16334 4.85983 0.0266364 0.00652004 0.873646 0.00382045 0.00483455 0.00835442 1.09368 0.00483174 0.378146 0.258237 0.212715 0.183999
