!  Star 1.3811.11                          RA  05 03 51.624   DEC  -68 57 24.44
#  1274 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -10.000          738.12,  734.22             22
#    Blue:           -10.303          712.66,  733.88            102
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6441      278    West         300       0x101bf       2.3711           -9.897  0.005    0   1  21 135   0   0   3    -99    -99 13921  7.916   4551 1 -10.228  0.005    0   1  29 141   0   0  13    -99    -99 14424  8.110   4551 1  
    48823.6537      280    West         300       0x101bf       2.2826           -9.925  0.005    0   1  19 132   0   0   3    -99    -99 13616  7.276   4551 1 -10.270  0.004    0   1  18 152   0   0  13    -99    -99 14243  7.523   4551 1  
    48823.6634      282    West         300       0x1017f       2.1976           -9.908  0.005    0   1  20 129   0   0   3    -99    -99 13240  7.833   4551 1 -10.248  0.005    0   1  28 139   0   0  13    -99    -99 13895  8.194   4551 1  
    48824.6249      310    West         300       0x101bf       2.5303           -9.921  0.002    0   1   0 187   0   0   3    -99    -99 12348  4.300   4551 1 -10.269  0.002    0   1   0 220   0   0  13    -99    -99 11781  4.518   4551 1  
    48824.6344      312    West         300       0x101bf       2.4344           -9.932  0.002    0   1   0 196   0   0   3    -99    -99 12290  3.950   4551 1 -10.273  0.002    0   1 255 219 206   0  13    -99    -99 11845  4.081   4551 1  
    48824.6443      314    West         300       0x101bf       2.3414           -9.929  0.002    0   1   0 221   0   0   3    -99    -99 12118  4.118   4551 1 -10.284  0.002    0   1 255 221 208   0  13    -99    -99 11777  4.181   4551 1  
    48825.6498      341    West         300       0x101bf       2.2676           -9.908  0.002    0   1   0 199   0   0   3    -99    -99 10304  4.054   4551 1 -10.270  0.002    0   1 255 197 209   0  13    -99    -99  8619  4.148   4551 1  
    48825.6595      343    West         300       0x101bf       2.1823           -9.931  0.002    0   1   0 211   0   0   3    -99    -99  9977  4.257   4551 1 -10.275  0.002    0   1 255 224 207   0  13    -99    -99  8398  4.311   4551 1  
    48825.6695      345    West         300       0x101bf       2.1019           -9.907  0.001    0   1   0 194   0   0   3    -99    -99  9733  4.213   4551 1 -10.268  0.002    0   1 255 206 221   0  13    -99    -99  8390  4.229   4551 1  
    48826.6313      369    West         300       0x101bf       2.4110           -9.874  0.003    0   1   0 161   0   0   3    -99    -99  7195  6.038   4551 1 -10.240  0.003    0   1   8 174   0   0  13    -99    -99  5184  6.417   4551 1  
    48826.6580      373    West         300       0x101bf       2.1742           -9.894  0.002    0   1   0 164   0   0   3    -99    -99  7972  5.650   4551 1 -10.243  0.002    0   1   0 177   0   0  13    -99    -99  5937  5.918   4551 1  
    48828.7526      406    West         300       0x101bf       1.5620           -9.872  0.002    0   1   0 149   0   0   3    -99    -99  7140  5.095   4551 1 -10.237  0.002    0   1   0 156   0   0  13    -99    -99  5014  5.215   4551 1  
    48828.8234      420    West         300       0x101bf       1.3337           -9.890  0.002    0   1   0 199   0   0   3    -99    -99  7769  5.273   4551 1 -10.262  0.001    0   1   0 187   0   0  13    -99    -99  4918  5.250   4551 1  
    48829.6230      423    West         300       0x101bf       2.4129           -9.902  0.001    0   1   0 230   0   0   3    -99    -99  7736  3.597   4551 1 -10.262  0.002    0   1 255 253 226   0  13    -99    -99  5626  3.793   4551 1  
    48829.7514      443    West         300       0x101bf       1.5562           -9.898  0.003    0   1   0 161   0   0   3    -99    -99 10266  3.847   4551 1 -10.258  0.003    0   1   0 150   0   0  13    -99    -99  8143  3.820   4551 1  
    48829.8266      450    West         300       0x101bf       1.3232           -9.906  0.002    0   1   0 200   0   0   3    -99    -99 11380  5.439   4551 1 -10.275  0.002    0   1   0 202   0   0  13    -99    -99  5386  5.475   4551 1  
    48831.6285      452    West         300       0x101bf       2.3099           -9.893  0.009    0   1  37 112   0   0   3    -99    -99  6849  9.406   4551 1 -10.240  0.008    0   1  41 122   0   0  13    -99    -99  5826  9.919   4551 1  
    48831.7314      472    West         300       0x101bf       1.6204           -9.890  0.002    0   1   0 133   0   0   3    -99    -99  5783  5.935   4551 1 -10.256  0.002    0   1   7 155   0   0  13    -99    -99  5006  6.177   4551 1  
    48831.8056      485    West         300       0x101bf       1.3596           -9.908  0.001    0   1 255 208 183   0   3    -99    -99  4997  3.779   4551 1 -10.321  0.002    0   1 255 212 240   0  13    -99    -99  4255  3.722   4551 1  
    48831.8282      487    West         300       0x101bf       1.3095           -9.896  0.002    0   1   0 141   0   0   3    -99    -99  8157  5.463   4551 1 -10.257  0.002    0   1   3 156   0   0  13    -99    -99  5313  5.614   4551 1  
    48832.6264      488    West         300       0x101bf       2.3036           -9.886  0.002    0   1   0 174   0   0   3    -99    -99  6386  5.578   4551 1 -10.242  0.002    0   1   0 181   0   0  13    -99    -99  4968  5.881   4551 1  
    48832.8179      511    West         300       0x101bf       1.3242           -9.893  0.002    0   1   0 119   0   0   3    -99    -99  6601  5.412   4551 1 -10.244  0.002    0   1   1 146   0   0  13    -99    -99  4511  5.585   4551 1  
    48833.7360      515    West         300       0x101bf       1.5756           -9.855  0.003    0   1   7 158   0   0   3    -99    -99  5846  6.636   4551 1 -10.192  0.003    0   1  22 130   0   0  13    -99    -99  4795  7.044   4551 1  
    48834.5976      550    West         300       0x101bf       2.5185           -9.783  0.002    0   1   0 253 184   0   3    -99    -99  6840  4.394   4551 1 -10.231  0.001    0   1   0 211   0   0  13    -99    -99  5256  4.656   4551 1  
    48834.6822      564    West         300       0x101bf       1.8393           -9.806  0.001    0   1   0 253 158   0   3    -99    -99  5649  3.994   4551 1 -10.232  0.002    0   1 255 253 222   0  13    -99    -99  4746  4.263   4551 1  
    48834.8059      582    West         300       0x101bf       1.3385           -9.881  0.001    0   1   0 199 179   0   3    -99    -99  4853  3.642   4551 1 -10.250  0.002    0   1 255 174 242   0  13    -99    -99  4139  3.649   4551 1  
    48835.7377      655    West         300       0x101bf       1.5452           -9.838  0.003    0   1   8 253 184   0   3    -99    -99  5626  6.523   4551 1 -10.252  0.002    0   1  19 133   0   0  13    -99    -99  3667  6.849   4551 1  
    48835.7730      662    West         300       0x101bf       1.4204           -9.802  0.003    0   1 255 253 208   0   3    -99    -99  5357  6.046   4551 1 -10.186  0.004   18   1 255 253 228   0  13    -99    -99  3354  6.276   4551 1  
    48836.6887      729    West         300       0x101bf       1.7727           -9.961  0.007    0   1   0 122   0   0   3    -99    -99 12806  4.124   4551 1 -10.287  0.005    0   1   0 150   0   0  13    -99    -99 11916  4.329   4551 1  
    48836.7309      737    West         300       0x101bf       1.5599           -9.962  0.004    0   1   0 137   0   0   3    -99    -99 10654  4.812   4551 1 -10.296  0.003    0   1   0 162   0   0  13    -99    -99 10235  4.980   4551 1  
    48841.6082      742    West         300       0x101bf       2.2356              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48841.7078      758    West         300       0x1017f       1.5947           -9.934  0.001    0   1   0 220   0   0   3    -99    -99  6557  3.765   4551 1 -10.308  0.002    0   1 255 204 237   0  13    -99    -99  4867  3.794   4551 1  
    48841.8003      776    West         300       0x1017f       1.3058           -9.946  0.001    0   1   0 253   0   0   3    -99    -99  5282  4.031   4551 1     -99    -99  999 999 999 999 999 999  13    -99    -99     0  0.000   2418 0  
