!  Star 1.3929.17                          RA  05 04 43.327   DEC  -69 08 55.89
#  1275 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.095          281.64, 1667.95             31
#    Blue:            -9.231          281.75, 1656.21             79
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6441      278    West         300       0x101bf       2.3711              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.267  0.010    0   1  38 128   0   0  10    -99    -99 15322  7.848   2418 1  
    48823.6537      280    West         300       0x101bf       2.2826           -9.080  0.010    0   1  47 108   0   0   4    -99    -99 14128  7.454   2418 1  -9.274  0.008    0   1  26 121   0   0  10    -99    -99 14861  7.713   2418 1  
    48823.6634      282    West         300       0x1017f       2.1976           -9.077  0.013    0   1  56  95   0   0   4    -99    -99 13781  7.799   2418 1  -9.263  0.010    0   1  39 127   0   0  10    -99    -99 14598  8.100   2418 1  
    48824.6249      310    West         300       0x101bf       2.5303           -9.056  0.004    0   1   0 145   0   0   4    -99    -99 12856  4.333   2418 1  -9.238  0.003    0   1   0 157   0   0  10    -99    -99 12278  4.442   2418 1  
    48824.6344      312    West         300       0x101bf       2.4344              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.255  0.003    0   1   0 152   0   0  10    -99    -99 12400  4.037   2418 1  
    48824.6443      314    West         300       0x101bf       2.3414           -9.062  0.003    0   1   0 187   0   0   4    -99    -99 12706  4.177   2418 1  -9.245  0.003    0   1   0 166   0   0  10    -99    -99 12295  4.126   2418 1  
    48825.6498      341    West         300       0x101bf       2.2676           -9.040  0.003    0   1   0 170   0   0   4    -99    -99 10807  4.148   2418 1  -9.220  0.002    0   1   0 169   0   0  10    -99    -99  9060  4.110   2418 1  
    48825.6595      343    West         300       0x101bf       2.1823              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.227  0.002    0   1   0 171   0   0  10    -99    -99  8933  4.280   2418 1  
    48825.6695      345    West         300       0x101bf       2.1019           -9.049  0.003    0   1   0 152   0   0   4    -99    -99 10258  4.291   2418 1  -9.242  0.002    0   1   0 153   0   0  10    -99    -99  8864  4.241   2418 1  
    48826.6313      369    West         300       0x101bf       2.4110              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.246  0.004    0   1   5 148   0   0  10    -99    -99  5354  6.293   2418 1  
    48826.6580      373    West         300       0x101bf       2.1742              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48828.7526      406    West         300       0x101bf       1.5620              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48828.8234      420    West         300       0x101bf       1.3337           -9.063  0.003    0   1   0 161   0   0   4    -99    -99  8139  5.251   2418 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48829.6230      423    West         300       0x101bf       2.4129              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.265  0.002    0   1   0 214   0   0  10    -99    -99  5651  3.721   2418 1  
