!  Star 1.4052.6                           RA  05 05 35.266   DEC  -68 59 29.59
#  1270 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -10.439         1944.01,  537.88              2
#    Blue:           -10.750         1938.86,  547.14            119
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6441      278    West         300       0x101bf       2.3711              -99    -99  999 999 999 999 999 999   1    -99    -99 14613  7.671   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99 13269  8.057   4551 0  
    48823.6537      280    West         300       0x101bf       2.2826              -99    -99  999 999 999 999 999 999   1    -99    -99 14165  7.315   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99 13154  7.571   4551 0  
    48823.6634      282    West         300       0x1017f       2.1976              -99    -99  999 999 999 999 999 999   1    -99    -99 13736  7.866   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99 12819  8.135   4551 0  
    48824.6249      310    West         300       0x101bf       2.5303              -99    -99  999 999 999 999 999 999   1    -99    -99 12871  4.216   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99 10818  4.554   4551 0  
    48824.6344      312    West         300       0x101bf       2.4344              -99    -99  999 999 999 999 999 999   1    -99    -99 12716  3.972   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99 10878  4.179   4551 0  
    48824.6443      314    West         300       0x101bf       2.3414              -99    -99  999 999 999 999 999 999   1    -99    -99 12687  4.030   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99 10776  4.225   4551 0  
    48825.6498      341    West         300       0x101bf       2.2676              -99    -99  999 999 999 999 999 999   1    -99    -99 10735  4.029   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  7957  4.265   4551 0  
    48825.6595      343    West         300       0x101bf       2.1823              -99    -99  999 999 999 999 999 999   1    -99    -99 10429  4.251   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  7800  4.431   4551 0  
    48825.6695      345    West         300       0x101bf       2.1019              -99    -99  999 999 999 999 999 999   1    -99    -99 10209  4.218   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  7819  4.355   4551 0  
    48826.6313      369    West         300       0x101bf       2.4110              -99    -99  999 999 999 999 999 999   1    -99    -99  7350  6.171   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4695  6.493   4551 0  
    48826.6580      373    West         300       0x101bf       2.1742              -99    -99  999 999 999 999 999 999   1    -99    -99  8383  5.698   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  5451  5.984   4551 0  
    48828.7526      406    West         300       0x101bf       1.5620              -99    -99  999 999 999 999 999 999   1    -99    -99  7460  5.094   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4617  5.315   4551 0  
    48828.8234      420    West         300       0x101bf       1.3337              -99    -99  999 999 999 999 999 999   1    -99    -99  8099  5.276   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4509  5.317   4551 0  
    48829.6230      423    West         300       0x101bf       2.4129              -99    -99  999 999 999 999 999 999   1    -99    -99  8009  3.584   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  5087  3.853   4551 0  
    48829.7514      443    West         300       0x101bf       1.5562              -99    -99  999 999 999 999 999 999   1    -99    -99 10680  3.853   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  7376  3.857   4551 0  
    48829.8266      450    West         300       0x101bf       1.3232              -99    -99  999 999 999 999 999 999   1    -99    -99 11731  5.459   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4813  5.545   4551 0  
    48831.6285      452    West         300       0x101bf       2.3099              -99    -99  999 999 999 999 999 999   1    -99    -99  6951  9.442   4551 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48831.7314      472    West         300       0x101bf       1.6204              -99    -99  999 999 999 999 999 999   1    -99    -99  5953  5.914   4551 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48831.8056      485    West         300       0x101bf       1.3596              -99    -99  999 999 999 999 999 999   1    -99    -99  5154  3.782   4551 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48831.8282      487    West         300       0x101bf       1.3095              -99    -99  999 999 999 999 999 999   1    -99    -99  8464  5.495   4551 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48832.6264      488    West         300       0x101bf       2.3036              -99    -99  999 999 999 999 999 999   1    -99    -99  6611  5.547   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4524  5.835   4551 0  
    48832.8179      511    West         300       0x101bf       1.3242              -99    -99  999 999 999 999 999 999   1    -99    -99  6849  5.418   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  3965  5.731   4551 0  
    48833.7360      515    West         300       0x101bf       1.5756              -99    -99  999 999 999 999 999 999   1    -99    -99  6020  6.736   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4284  7.093   4551 0  
    48834.5976      550    West         300       0x101bf       2.5185              -99    -99  999 999 999 999 999 999   1    -99    -99  7003  4.349   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4632  4.727   4551 0  
    48834.6822      564    West         300       0x101bf       1.8393              -99    -99  999 999 999 999 999 999   1    -99    -99  5797  3.979   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4225  4.294   4551 0  
    48834.8059      582    West         300       0x101bf       1.3385              -99    -99  999 999 999 999 999 999   1    -99    -99  5010  3.637   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  3902  3.772   4551 0  
    48835.7377      655    West         300       0x101bf       1.5452              -99    -99  999 999 999 999 999 999   1    -99    -99  5870  6.463   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  3194  6.920   4551 0  
    48835.7730      662    West         300       0x101bf       1.4204              -99    -99  999 999 999 999 999 999   1    -99    -99  5580  6.016   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  2961  6.334   4551 0  
    48836.6887      729    West         300       0x101bf       1.7727              -99    -99  999 999 999 999 999 999   1    -99    -99 13283  4.092   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99 10724  4.379   4551 0  
    48836.7309      737    West         300       0x101bf       1.5599              -99    -99  999 999 999 999 999 999   1    -99    -99 11101  4.814   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  9283  4.934   4551 0  
    48841.6082      742    West         300       0x101bf       2.2356          -10.538  0.002    0   1   1 205   0   0   1    -99    -99 17269  5.529   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48841.7078      758    West         300       0x1017f       1.5947          -10.551  0.002    0   1 255 245 239   0   1    -99    -99  6812  3.764   4551 1  -9.899  0.001   30  45 100 253   0   0  15    -99    -99  4327  3.882   4551 1  
    48841.8003      776    West         300       0x1017f       1.3058          -10.534  0.001    0   1 255 253 224   0   1    -99    -99  5455  4.068   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48842.6250      780    West         300       0x1017f       2.0747          -10.524  0.002    0   1  10 216   0   0   1    -99    -99 19285  6.000   4551 1     -99    -99  999 999 999 999 999 999  15    -99    -99 14700  6.319   4551 0  
    48842.7317      797    West         300       0x101ff       1.4886          -10.511  0.002    0   1 255 174 218   0   1    -99    -99  6644  4.537   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48842.7992      805    West         300       0x101ff       1.3030          -10.526  0.001    0   1 255 253 222   0   1    -99    -99  5006  4.316   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48843.5835      812    West         300       0x1017f       2.4101              -99    -99  999 999 999 999 999 999   1    -99    -99 23732  5.883   4551 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48843.7291      838    West         300       0x1017f       1.4864          -10.485  0.002    0   1 255 192 211   0   1    -99    -99 10930  5.027   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48843.8068      851    West         300       0x1017f       1.2836          -10.513  0.002    0   1 255 233 215   0   1    -99    -99  5780  4.792   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48845.6190      855    West         300       0x101bf       2.0594              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  15    -99    -99 47798  5.564   4551 0  
    48845.7569      856    West         300       0x101bf       1.3831          -10.469  0.011    0   1  37 150   0   0   1    -99    -99 27417  9.478   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48849.7503      862    West         300       0x001bf       1.3725          -10.456  0.002    0  41 255 163 229   0   1    -99    -99 15233  5.143   4551 1     -99    -99  999 999 999 999 999 999  15    -99    -99 18764  5.385   4551 0  
    48849.8266      878    West         300       0x101bd       1.2338              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48850.6641      887    West         300       0x101bd       1.6902          -10.484  0.002    0  41 255 178 213   0   1    -99    -99 15164  5.213   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48851.7643      919    West         300       0x101bd       1.3258              -99    -99  999 999 999 999 999 999   1    -99    -99 11093  5.606   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99 11161  6.001   4551 0  
    48853.8125      947    West         300       0x1017f       1.2377              -99    -99  999 999 999 999 999 999   1    -99    -99 10516  4.604   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  7868  4.919   4551 0  
    48854.7240      984    West         300       0x100af       1.4075              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48855.6937     1030    West         300       0x101bf       1.5001              -99    -99  999 999 999 999 999 999   1    -99    -99  7542  3.464   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  6138  3.406   4551 0  
    48855.7464     1039    West         300       0x101bf       1.3408              -99    -99  999 999 999 999 999 999   1    -99    -99  7520  3.442   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  6355  3.182   4551 0  
    48856.7764     1086    West         300       0x1017f       1.2753              -99    -99  999 999 999 999 999 999   1    -99    -99  6669  3.739   4551 0     -99    -99  999 999 999 999 999 999  15    -99    -99  5010  3.741   4551 0  
    48882.5900     1096    West         300       0x101bf       1.6549          -10.554  0.002    0   1 255 247 240   0   1    -99    -99 13159  3.746   4551 1  -9.536  0.002   34   5  94 253   0   0  15    -99    -99 10732  3.847   4551 1  
    48884.6365     1107    West         300       0x101bf       1.4455          -10.488  0.002    0   1 255 236 230   0   1    -99    -99  7101  4.027   4551 1  -9.415  0.002   36   5  96 253   0   0  15    -99    -99  5437  4.133   4551 1  
    48885.6039     1141    West         300       0x101bf       1.5554          -10.468  0.002    0   1 255 253 246   0   1    -99    -99  5383  3.222   4551 1  -8.934  0.002   27   5  96 253   0   0  15    -99    -99  5056  3.344   4551 1  
    48887.6671     1182    West         300       0x101bf       1.3384          -10.462  0.002    1   1   6 188   0   0   1    -99    -99  5817  5.871   4551 1 -10.083  0.039   15   1  95 127   0   0  15    -99    -99  5117  6.139   4551 1  
    48888.7223     1204    West         300       0x101bf       1.2400          -10.487  0.003    0   1 255 207 235   0   1    -99    -99  5665  3.808   4551 1 -10.018  0.010    0   1  62 207   0   0  15    -99    -99  4720  4.078   4551 1  
    48892.7593     1227    West         300       0x101bf       1.2057          -10.434  0.002    0   1 255 197 229   0   1    -99    -99  4090  4.514   4551 1  -9.409  0.002   34   5  94 253   0   0  15    -99    -99  3440  4.544   4551 1  
    48894.7283     1240    West         300       0x101bf       1.2190          -10.455  0.001    0   1   0 212   0   0   1    -99    -99  4471  5.512   4551 1  -9.818  0.050    9   1  95 123   0   0  15    -99    -99  3664  5.853   4551 1  
    48895.7538     1273    West         300       0x101bf       1.2050          -10.479  0.002    0   1 255 218 238   0   1    -99    -99  4271  3.908   4551 1  -9.315  0.002   25   5  92 253   0   0  15    -99    -99  3798  3.836   4551 1  
    48896.7561     1286    West         300       0x101bf       1.2039          -10.516  0.002    0   1 255 192 239   0   1    -99    -99  4980  3.728   4551 1  -9.381  0.002   40   5 100 253   0   0  15    -99    -99  4424  3.832   4551 1  
    48906.5747     1306    West         300       0x101bf       1.4514          -10.527  0.003    0   5 255 179 248   0   1    -99    -99 27397  3.636   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48907.5606     1321    West         300       0x101bf       1.4908          -10.479  0.003    0   1 255 195 242   0   1    -99    -99 35404  3.569   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48908.4452     1334    West         300       0x101bf       2.1221          -10.616  0.004    0  13 255 212 253   0   1    -99    -99 21794  2.066   4551 1 -10.659  9.999    0  47   0 253 253   0  -1    -99    -99   -99    -99      0 1  
    48909.5640     1376    West         300       0x101bf       1.4596          -10.486  0.004    0   1 255 171 243   0   1    -99    -99 40427  3.005   4551 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48914.7448     1390    West         300       0x101bf       1.2084          -10.470  0.001    0   1 255 222 157   0   1    -99    -99  6612  5.537   4551 1  -9.631  0.061   13   1  94 115   0   0  15    -99    -99  4881  5.974   4551 1  
    48915.5974     1401    West         300       0x101bf       1.3234          -10.464  0.002    0   1  13 149   0   0   1    -99    -99  4978  6.540   4551 1 -10.239  0.030    9  41  85 119 133   0  15    -99    -99  4285  6.964   4551 1  
