!  Star 1.4539.63                          RA  05 08 11.049   DEC  -68 46 32.73
#  1264 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.379          600.16, 1770.97            120
#    Blue:            -7.427          618.57, 1763.05            109
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6441      278    West         300       0x101bf       2.3711              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.356  0.045    0   1  64 142 168   0  14    -99    -99 11271  7.922   4551 1  
    48823.6537      280    West         300       0x101bf       2.2826              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.419  0.036    0   1  61 154   0   0  14    -99    -99 11046  7.674   4551 1  
    48823.6634      282    West         300       0x1017f       2.1976              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.348  0.043    0   1  65 150 125 109  14    -99    -99 10816  8.077   4551 1  
    48824.6249      310    West         300       0x101bf       2.5303              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.429  0.015  -19   1  31 151   0   0  14    -99    -99  9278  4.692   4551 1  
    48824.6344      312    West         300       0x101bf       2.4344              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.445  0.012  -28   1  14 146   0   0  14    -99    -99  9205  4.180   4551 1  
    48824.6443      314    West         300       0x101bf       2.3414              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.404  0.012    0   1  18 146   0   0  14    -99    -99  8992  4.269   4551 1  
    48825.6498      341    West         300       0x101bf       2.2676              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.420  0.010    0   1  18 140   0   0  14    -99    -99  6188  4.351   4551 1  
    48825.6595      343    West         300       0x101bf       2.1823              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.431  0.010    0   1  18 145   0   0  14    -99    -99  6059  4.343   4551 1  
    48825.6695      345    West         300       0x101bf       2.1019              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.407  0.010    3   1  16 166 126  29  14    -99    -99  6033  4.328   4551 1  
    48826.6313      369    West         300       0x101bf       2.4110              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.380  0.019    0   1  51 125   0   0  14    -99    -99  3251  6.709   4551 1  
    48826.6580      373    West         300       0x101bf       2.1742              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.446  0.015    0   1  47 124   0   0  14    -99    -99  3906  6.144   4551 1  
    48828.7526      406    West         300       0x101bf       1.5620              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.365  0.011    0   1  37 124   0   0  14    -99    -99  2972  5.348   4551 1  
    48828.8234      420    West         300       0x101bf       1.3337              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.384  0.010    0   1  34 137  55  21  14    -99    -99  2893  5.170   4551 1  
    48829.6230      423    West         300       0x101bf       2.4129              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.383  0.008  -29   1   5 143   0   0  14    -99    -99  3540  4.002   4551 1  
    48829.7514      443    West         300       0x101bf       1.5562              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.450  0.022   13   1  13 131   0   0  14    -99    -99  5384  4.195   4551 1  
    48829.8266      450    West         300       0x101bf       1.3232              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.427  0.011  -21   1  39 158   0   0  14    -99    -99  3291  5.380   4551 1  
    48832.6264      488    West         300       0x101bf       2.3036              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.401  0.014    0   1  44 118   0   0  14    -99    -99  3048  5.926   4551 1  
    48832.8179      511    West         300       0x101bf       1.3242              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.375  0.012  -23   1  42 119   0   0  14    -99    -99  2606  5.648   4551 1  
    48833.7360      515    West         300       0x101bf       1.5756              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.470  0.019  -22   1  58 106   0   0  14    -99    -99  3214  7.229   4551 1  
    48834.5976      550    West         300       0x101bf       2.5185              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.425  0.010   -7   1  26 129  29   7  14    -99    -99  3243  4.830   4551 1  
    48834.6822      564    West         300       0x101bf       1.8393              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.413  0.008    6   1  24 150   0   0  14    -99    -99  2580  4.789   4551 1  
    48834.8059      582    West         300       0x101bf       1.3385              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.400  0.006    0   1   9 137   0   0  14    -99    -99  2150  3.967   4551 1  
    48835.7377      655    West         300       0x101bf       1.5452              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.351  0.018  -18   1  55 118   0   0  14    -99    -99  2024  6.892   4551 1  
    48835.7730      662    West         300       0x101bf       1.4204              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.322  0.015    0   1  50 112   0   0  14    -99    -99  1715  6.384   4551 1  
    48836.6887      729    West         300       0x101bf       1.7727              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.286  0.077   19   1  26 143  60  51  14    -99    -99  8582  4.658   4551 1  
    48841.6082      742    West         300       0x101bf       2.2356              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.453  0.021  -11   1  46 148   0   0  -1    -99    -99   -99    -99      0 1  
    48841.7078      758    West         300       0x1017f       1.5947              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.357  0.007   -8   1   7 147   0   0  14    -99    -99  3018  4.068   4551 1  
    48841.8003      776    West         300       0x1017f       1.3058              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.387  0.007  -13   1  13 149   0   0  -1    -99    -99   -99    -99      0 1  
    48842.6250      780    West         300       0x1017f       2.0747              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.478  0.030  -36   1  54 152   0   0  14    -99    -99 13355  6.691   4551 1  
    48842.7317      797    West         300       0x101ff       1.4886              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.439  0.010    0   1  36 128   0   0  -1    -99    -99   -99    -99      0 1  
    48842.7992      805    West         300       0x101ff       1.3030              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.425  0.008    0   1  22 136   0   0  -1    -99    -99   -99    -99      0 1  
    48843.5835      812    West         300       0x1017f       2.4101              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.449  0.031    0   1  56 155   0   0  -1    -99    -99   -99    -99      0 1  
    48843.7291      838    West         300       0x1017f       1.4864              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.451  0.013    0   1  43 136   0   0  -1    -99    -99   -99    -99      0 1  
    48843.8068      851    West         300       0x1017f       1.2836              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.416  0.010   -4   1  36 125   0   0  -1    -99    -99   -99    -99      0 1  
