!  Star 16.6609.19                         RA  05 21 16.366   DEC  -67 57 01.45
#  493 observations from the production databases
#  Field inception date: 50235.0833
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.482            2.00, 1648.97             48
#    Blue:            -9.689           30.47, 1672.64             63
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.7626      295    West         300       0x101bf       1.6143           -9.432  0.003    0  30   0 166   0   0   7    -99    -99 11990  5.861   4461 1  -9.629  0.003    0  10   0 152   0   0   8    -99    -99  7748  6.079   4461 1  
    48824.7916      332    West         300       0x101bf       1.4814           -9.448  0.002    0  30   0 227   0   0   7    -99    -99 11039  5.206   4461 1  -9.630  0.003    0  10   0 215   0   0   8    -99    -99  6735  5.343   4461 1  
    48825.7909      361    West         300       0x101bf       1.4736           -9.441  0.003    0  30   0 130   0   0   7    -99    -99  7353  6.993   4461 1  -9.623  0.004    0  10   0 151   0   0   8    -99    -99  4565  7.180   4461 1  
    48828.7632      408    West         300       0x101bf       1.5516           -9.425  0.002    0  30   0 173   0   0   7    -99    -99  7433  4.803   4461 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48829.7311      439    West         300       0x101bf       1.6962           -9.441  0.002    0  30   0 202   0   0   7    -99    -99  7507  4.216   4461 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48831.7103      468    West         300       0x101bf       1.7844           -9.430  0.002    0  30   0 148   0   0   7    -99    -99  6125  5.667   4461 1  -9.610  0.003    0  10   0 165   0   0   8    -99    -99  3099  5.989   4461 1  
    48832.7081      504    West         300       0x101bf       1.7807           -9.437  0.002    0  30   0 155   0   0   7    -99    -99  6155  5.133   4461 1  -9.610  0.002    0  10   0 173   0   0   8    -99    -99  3079  5.455   4461 1  
    48834.7468      571    West         300       0x101bf       1.5517           -9.439  0.002    0  30   0 178   0   0   7    -99    -99  5680  4.087   4461 1  -9.613  0.002    0  10   0 193   0   0   8    -99    -99  2672  4.360   4461 1  
    48835.6363      635    West         300       0x101bf       2.2693           -9.435  0.003    0  30   0 175   0   0   7    -99    -99  6959  5.885   4461 1  -9.610  0.003    0  10   0 164   0   0   8    -99    -99  3080  6.264   4461 1  
    48835.7834      664    West         300       0x101bf       1.4055           -9.443  0.002    0  30   0 187   0   0   7    -99    -99  5218  5.666   4461 1  -9.609  0.003    0  10   0 185   0   0   8    -99    -99  1891  5.949   4461 1  
    48836.7191      735    West         300       0x101bf       1.6556           -9.431  0.002    0  30   0 157   0   0   7    -99    -99  6080  4.525   4461 1  -9.612  0.002    0  10   0 179   0   0   8    -99    -99  2933  4.779   4461 1  
    48841.7184      760    West         300       0x101bf       1.5852           -9.447  0.002    0  30   0 212   0   0   7    -99    -99  6268  3.845   4461 1  -9.621  0.002    0  10   0 217   0   0   8    -99    -99  2833  4.117   4461 1  
    48842.7261      796    West         300       0x101bf       1.5362           -9.436  0.002    0  30   0 159   0   0   7    -99    -99  7722  4.553   4461 1  -9.613  0.002    0  10   0 194   0   0   8    -99    -99  3579  4.796   4461 1  
    48843.7032      833    West         300       0x101bf       1.6323           -9.430  0.002    0  30   0 175   0   0   7    -99    -99 14048  4.275   4461 1  -9.615  0.002    0  10   0 191   0   0   8    -99    -99  7871  4.615   4461 1  
    48851.7326      912    West         300       0x101bf       1.4244           -9.439  0.002    0  30   0 159   0   0   7    -99    -99 11819  5.044   4461 1  -9.615  0.003    0  10   0 174   0   0   8    -99    -99  8489  5.274   4461 1  
    48854.6499      968    West         300       0x101bf       1.7637           -9.442  0.003    0  30   0 149   0   0   7    -99    -99  8618  5.333   4461 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48854.8024     1000    West         300       0x101bf       1.2425           -9.446  0.002    0  30   0 200   0   0   7    -99    -99  7724  4.163   4461 1  -9.632  0.002    0  10   0 196   0   0   8    -99    -99  4206  4.311   4461 1  
    48855.7966     1047    West         300       0x101bf       1.2473           -9.492  0.002    0  30  13 240   0   0   7    -99    -99  6907  4.001   4461 1  -9.584  0.005    0  10  47 201   0   0   8    -99    -99  3692  3.965   4461 1  
    48856.6806     1069    West         300       0x101bf       1.5728           -9.435  0.002    0  30   0 199   0   0   7    -99    -99  6161  3.943   4461 1  -9.625  0.002    0  10   0 197   0   0   8    -99    -99  3313  4.082   4461 1  
    48885.7838     1173    West         300       0x101bf       1.1903           -9.447  0.001    0  30   0 253   0   0   7    -99    -99  6048  3.945   4461 1  -9.621  0.002    0  10   0 253   0   0   8    -99    -99  3356  4.165   4461 1  
    48908.5720     1353    West         300       0x101bf       1.4634           -9.448  0.002    0  30 255 224 230   0   7    -99    -99 20098  2.897   4461 1  -9.650  0.002    0  10 255 231 197   0   8    -99    -99 14920  2.936   4461 1  
    48915.7183     1427    West         300       0x101bf       1.1867           -9.449  0.003    0  30   0 131   0   0   7    -99    -99  4891  7.092   4461 1  -9.632  0.004    0  10   0 139   0   0   8    -99    -99  2730  7.534   4461 1  
    48919.6734     1553    West         300       0x101bf       1.1993           -9.457  0.002    0  30   0 194   0   0   7    -99    -99  6349  4.079   4461 1  -9.637  0.003    0  10   0 198   0   0   8    -99    -99  3800  4.379   4461 1  
    48927.6184     1632    West         300       0x101bf       1.2315           -9.477  0.002    0  30   0 185   0   0   7    -99    -99  4763  4.249   4461 1  -9.637  0.002    0  10   0 194   0   0   8    -99    -99  2672  4.481   4461 1  
    48928.7026     1702    West         300       0x101bf       1.1883           -9.473  0.001    0  30   0 219   0   0   7    -99    -99  4308  3.476   4461 1  -9.636  0.002    0  10   0 231   0   0   8    -99    -99  2468  3.591   4461 1  
    48929.5987     1749    West         300       0x101bf       1.2517           -9.474  0.002    0  30   0 183   0   0   7    -99    -99  6429  4.050   4461 1  -9.640  0.002    0  10   0 194   0   0   8    -99    -99  4391  4.329   4461 1  
    48931.6041     1832    West         300       0x1013f       1.2360           -9.475  0.001    0  30 255 166 192   0   7    -99    -99  8093  3.247   4461 1  -9.637  0.001    0  10   0 195   0   0   8    -99    -99  6673  3.497   4461 1  
    48938.6643     1989    West         300       0x101bf       1.1865           -9.472  0.002    0  30   0 157   0   0   7    -99    -99 15221  3.874   4461 1  -9.636  0.002    0  10   0 175   0   0   8    -99    -99  9325  4.073   4461 1  
    48939.7103     2050    West         300       0x101bf       1.2104           -9.476  0.002    0  30   0 165   0   0   7    -99    -99 12926  4.149   4461 1  -9.645  0.002    0  10   0 167   0   0   8    -99    -99  7872  4.186   4461 1  
    48965.6544     2236    West         300       0x101bf       1.2250           -9.492  0.003    0  30   0 142   0   0   7    -99    -99 16211  3.869   4461 1  -9.645  0.002    0  10   0 166   0   0   8    -99    -99 15574  3.977   4461 1  
    48966.6479     2282    West         300       0x101bf       1.2208           -9.503  0.003    0  70   0 126   0   0   7    -99    -99 13106  4.302   4461 1  -9.639  0.002    0  10   0 178   0   0   8    -99    -99 13016  4.520   4461 1  
    48996.6078     2587    West         300       0x101bf       1.2840              -99    -99  999 999 999 999 999 999   7    -99    -99  9843  2.961   4461 0  -9.684  0.002    0  10 255 226 233   0   8    -99    -99 13246  2.905   4461 1  
    49015.7076     3075    East         300       0x101bf       1.9049              -99    -99  999 999 999 999 999 999   3    -99    -99  2503  4.836   4461 0     -99    -99  999 999 999 999 999 999  12    -99    -99  1859  4.621   4461 0  
