!  Star 2.4781.4598                        RA  05 09 51.298   DEC  -68 48 46.13
#  1144 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.393         1554.17,   46.06             32
#    Blue:            -8.660         1530.29,   58.14             84
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.8350      307    West         300       0x101bf       1.3470           -8.427  0.006    0   1   8 146   0   0   5    -99    -99 12034  5.285   2423 1  -8.641  0.004    0  21   2 147   0   0  11    -99    -99 13111  5.032   2423 1  
    48824.6621      317    West         300       0x101bf       2.2572           -8.433  0.006    0   1  11 132   0   0   5    -99    -99 12395  4.650   2423 1  -8.630  0.005    0  21   8 136   0   0  11    -99    -99 11960  4.583   2423 1  
    48825.6797      347    West         300       0x101bf       2.0810           -8.438  0.004    0   1   0 146   0   0   5    -99    -99 10111  4.299   2423 1  -8.632  0.004    0  21   0 137   0   0  11    -99    -99  8900  4.147   2423 1  
    48828.6269      391    West         300       0x101bf       2.4852           -8.425  0.009    0   1  30 119   0   0   5    -99    -99  9236  6.562   2423 1  -8.614  0.008    0  21  30 123   0   0  11    -99    -99  5629  7.044   2423 1  
    48829.6338      425    West         300       0x101bf       2.3901           -8.460  0.004    0   1   0 155   0   0   5    -99    -99  6919  4.181   2423 1  -8.649  0.003    0  21   0 155   0   0  11    -99    -99  5277  4.130   2423 1  
    48831.6390      454    West         300       0x101bf       2.2880           -8.456  0.011    0   1  39 110   0   0   5    -99    -99  6491  7.393   2423 1  -8.655  0.009    0  21  34 115   0   0  11    -99    -99  5498  7.703   2423 1  
    48832.6375      490    West         300       0x101bf       2.2787           -8.450  0.005    0   1  12 130   0   0   5    -99    -99  6253  5.424   2423 1  -8.631  0.005    0  21  13 126   0   0  11    -99    -99  4942  5.636   2423 1  
    48833.7474      517    West         300       0x101bf       1.5464           -8.414  0.006    0   1  18 130   0   0   5    -99    -99  5632  5.662   2423 1  -8.627  0.005    0  21  16 123   0   0  11    -99    -99  4733  5.830   2423 1  
    48834.6104      552    West         300       0x101bf       2.4862           -8.427  0.004    0   1   6 138   0   0   5    -99    -99  6455  4.576   2423 1  -8.629  0.004    0  21   2 119   0   0  11    -99    -99  5067  4.595   2423 1  
    48835.7328      654    West         300       0x101bf       1.5880           -8.406  0.012    0   1  45 115   0   0   5    -99    -99  5779  7.829   2423 1  -8.625  0.010    0  21  38 105   0   0  11    -99    -99  3768  8.136   2423 1  
