!  Star 2.5871.1759                        RA  05 16 51.890   DEC  -68 45 17.81
#  1155 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.455           13.33,  460.07             44
#    Blue:            -7.854           37.94,  501.43             60
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.8350      307    West         300       0x101bf       1.3470           -9.291  0.011    0   1  70 104   0   0   6    -99    -99 12514  4.923   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  8239  5.011   5672 0  
    48824.6621      317    West         300       0x101bf       2.2572           -9.307  0.010    0   1  69 102   0   0   6    -99    -99 12691  4.453   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  7300  4.692   5672 0  
    48825.6797      347    West         300       0x101bf       2.0810           -9.302  0.009    0   1  69 122   0   0   6    -99    -99 10364  4.165   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  5438  4.216   5672 0  
    48828.6269      391    West         300       0x101bf       2.4852           -9.225  0.014    0   1  74  81   0   0   6    -99    -99  9619  6.699   5672 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48829.6338      425    West         300       0x101bf       2.3901           -9.293  0.009    0   1  68 112   0   0   6    -99    -99  7315  4.074   5672 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48831.6390      454    West         300       0x101bf       2.2880           -9.269  0.015    0   1  75  34   0   0   6    -99    -99  6689  7.408   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  3340  7.817   5672 0  
    48832.6375      490    West         300       0x101bf       2.2787           -9.258  0.012    0   1  69  87   0   0   6    -99    -99  6526  5.383   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  3006  5.712   5672 0  
    48833.7474      517    West         300       0x101bf       1.5464           -9.231  0.012    0   1  73  52   0   0   6    -99    -99  5823  5.587   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  2878  5.882   5672 0  
    48834.6104      552    West         300       0x101bf       2.4862           -9.242  0.011    0   1  71  74   0   0   6    -99    -99  6657  4.577   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  3035  4.806   5672 0  
    48835.7328      654    West         300       0x101bf       1.5880           -9.263  0.017    0   1  75  47   0   0   6    -99    -99  5901  7.573   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  2204  8.166   5672 0  
    48841.6183      744    West         300       0x101bf       2.2157           -9.268  0.011    0   1  71 111   0   0   6    -99    -99 16367  4.694   5672 1  -7.315  0.050    0   9 107 119   0   0   8    -99    -99  7994  4.991   5672 1  
    48841.8106      778    West         300       0x101bf       1.2892           -9.274  0.010    0   1  66 118   0   0   6    -99    -99  4555  4.428   5672 1  -7.388  0.031    0   1  93 111   0   0   8    -99    -99  1880  4.553   5672 1  
    48842.6353      782    West         300       0x101bf       2.0494           -9.198  0.021    0   1  77 115   0   0   6    -99    -99 18075  7.368   5672 1  -6.966  0.140    0   1 114 113   0   0   8    -99    -99  9520  8.183   5672 1  
    48843.6146      817    West         300       0x101bf       2.2007           -9.152  0.014    0   1  74 124   0   0   6    -99    -99 20857  5.964   5672 1  -7.063  0.056    0   9  92  92   0   0   8    -99    -99 11375  6.325   5672 1  
    48843.8182      853    West         300       0x101bf       1.2659           -9.251  0.012    0   1  72  88   0   0   6    -99    -99  6675  5.909   5672 1  -7.239  0.062    0   9 110 115   0   0   8    -99    -99  3253  6.180   5672 1  
    48850.6413      882    West         300       0x101bf       1.8575           -9.223  0.011    0   1  67  96   0   0   6    -99    -99 16017  4.824   5672 1  -7.183  0.058    0   9 107 118   0   0   8    -99    -99 13286  5.013   5672 1  
    48851.6569      896    West         300       0x101bf       1.7479           -9.206  0.011    0   1  72  93   0   0   6    -99    -99 12933  4.862   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  9251  5.045   5672 0  
    48853.7504      937    West         300       0x101bd       1.3521           -9.194  0.011    0   1  67  80   0   0   6    -99    -99 11180  4.903   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  6094  5.170   5672 0  
    48854.7335      986    West         300       0x101bf       1.3908           -9.366  0.002    0   1   0 253   0   0   6    -99    -99  7699  3.839   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  4369  4.014   5672 0  
    48855.6982     1031    West         300       0x101bf       1.4999           -9.320  0.002    0   1   0 253   0   0   6    -99    -99  7270  3.371   5672 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48856.7861     1088    West         300       0x101bf       1.2611           -9.204  0.009    0   1  62 113   0   0   6    -99    -99  6417  3.688   5672 1     -99    -99  999 999 999 999 999 999   8    -99    -99  3175  3.819   5672 0  
    48884.6592     1112    West         300       0x101bf       1.3874           -9.231  0.010    0   1  68 111   0   0   6    -99    -99  6584  4.406   5672 1  -7.348  0.032    0   1 102 104   0   0   8    -99    -99  3540  4.609   5672 1  
    48885.6273     1146    West         300       0x101bf       1.4828           -9.296  0.008    0   1  66 127   0   0   6    -99    -99  5052  3.726   5672 1  -7.398  0.025    0   1  88 109   0   0   8    -99    -99  3173  3.929   5672 1  
    48887.6957     1187    West         300       0x101bf       1.2833           -9.243  0.011    0   1  70  76   0   0   6    -99    -99  4744  5.422   5672 1  -7.177  0.057    0   9 109 114   0   0   8    -99    -99  2787  5.684   5672 1  
    48888.7461     1209    West         300       0x101bf       1.2137           -9.263  0.008    0   1  63 137   0   0   6    -99    -99  4516  3.825   5672 1  -7.533  0.008    0   1  45 119   0   0   8    -99    -99  2665  3.834   5672 1  
    48892.7830     1232    West         300       0x101bf       1.1944           -9.276  0.009    0   1  66  93   0   0   6    -99    -99  4937  4.253   5672 1  -7.388  0.035    0   1 104 102   0   0   8    -99    -99  3591  4.362   5672 1  
    48894.7515     1245    West         300       0x101bf       1.2001           -9.260  0.010    0   1  69  87   0   0   6    -99    -99  3939  5.404   5672 1  -7.523  0.016    0   1  71  97   0   0   8    -99    -99  2259  5.523   5672 1  
    48895.7770     1278    West         300       0x101bf       1.1945           -9.264  0.007    0  41  55  98   0   0   6    -99    -99  4846  3.565   5672 1  -7.479  0.024    0   1  94 108   0   0   8    -99    -99  3095  3.566   5672 1  
    48896.7786     1291    West         300       0x101bf       1.1948           -9.304  0.007    0   1  65 103   0   0   6    -99    -99  5974  3.486   5672 1  -7.482  0.022    0   1  94 110   0   0   8    -99    -99  3974  3.501   5672 1  
    48919.5449     1529    West         300       0x101bf       1.4461           -9.437  0.006    0   1  55 146   0   0   6    -99    -99  8234  2.784   5672 1  -7.662  0.015    0   1  73 112   0   0   8    -99    -99  4558  2.809   5672 1  
    48920.5331     1580    West         300       0x101bf       1.4774           -9.438  0.007    0   1  65 129   0   0   6    -99    -99  5086  3.275   5672 1  -7.662  0.018    0   1  92 114   0   0   8    -99    -99  3311  3.419   5672 1  
    48923.7540     1594    West         300       0x101bf       1.2210           -9.446  0.007    0  41 255 121 196   0   6    -99    -99 11254  3.062   5672 1  -7.678  0.016    0   1  87 114   0   0   8    -99    -99  5404  3.059   5672 1  
    48927.4938     1608    West         300       0x101bf       1.5575           -9.373  0.009    0   1  71 134   0   0   6    -99    -99  8428  4.593   5672 1  -7.496  0.036    0   1 106 116   0   0   8    -99    -99  4444  4.875   5672 1  
