!  Star 20.5036.12                         RA  05 11 31.402   DEC  -67 55 52.34
#  418 observations from the production databases
#  Field inception date: 50062.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.968          989.13,  975.89             41
#    Blue:            -9.402         1017.16,  981.26             57
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.7851      299    West         300       0x101bf       1.4925           -9.929  0.002   -4  43   0 253   0   0   6    -99    -99 11070  5.608  13481 1  -9.276  0.003    0  21   0 209   0   0   8    -99    -99  7027  5.781  13481 1  
    48824.8120      336    West         300       0x101bf       1.3917           -9.892  0.005    0  43   0 253   0   0   6    -99    -99 23560  4.637  13481 1  -9.306  0.007    0  21   0 186   0   0   8    -99    -99 12629  4.687  13481 1  
    48825.8116      365    West         300       0x101bf       1.3853           -9.958  0.005    0   1   0 157   0   0   6    -99    -99 10288  6.947  13481 1  -9.262  0.008    0  21   0 146   0   0   8    -99    -99  5224  7.134  13481 1  
    48828.7831      412    West         300       0x101bf       1.4507           -9.961  0.002    0   1   0 247   0   0   6    -99    -99  5861  5.386  13481 1  -9.275  0.003    0  21   0 196   0   0  -1    -99    -99   -99    -99      0 1  
    48829.7628      445    West         300       0x101bf       1.5166           -9.944  0.004    0   1   0 186   0   0   6    -99    -99 12131  3.657  13481 1  -9.294  0.007    0  21   0 132   0   0  -1    -99    -99   -99    -99      0 1  
    48831.7497      474    West         300       0x101bf       1.5496           -9.964  0.002    0   1   0 154   0   0   6    -99    -99  5617  5.572  13481 1  -9.280  0.003    0  21   0 200   0   0   8    -99    -99  2801  5.803  13481 1  
    48832.7287      508    West         300       0x101bf       1.6340           -9.966  0.001    0   1   0 233   0   0   6    -99    -99  5364  4.634  13481 1  -9.274  0.002    0  21   0 239   0   0   8    -99    -99  2896  4.916  13481 1  
    48834.7673      575    West         300       0x101bf       1.4479           -9.970  0.001    0   1 255 187 193   0   6    -99    -99  5232  3.665  13481 1  -9.276  0.002    0  21   0 243   0   0   8    -99    -99  2544  3.844  13481 1  
    48835.6562      639    West         300       0x101bf       2.0515           -9.961  0.002    0   1   0 226   0   0   6    -99    -99  5929  6.278  13481 1  -9.250  0.003    0  21   0 167   0   0   8    -99    -99  2867  6.632  13481 1  
    48835.8028      668    West         300       0x101bf       1.3341           -9.953  0.003    0   1   0 163   0   0   6    -99    -99  5079  6.626  13481 1  -9.259  0.004    0  21   0 134   0   0   8    -99    -99  1810  7.054  13481 1  
    48841.7432      765    West         300       0x101bf       1.4606           -9.935  0.001    0   1   0 250   0   0   6    -99    -99  5646  4.058  13481 1  -9.187  0.002    0  21   0 253   0   0   8    -99    -99  2499  4.243  13481 1  
    48842.7840      802    West         300       0x101bf       1.3288           -9.911  0.001    0   1   0 194   0   0   6    -99    -99     0  0.000  13481 1  -9.192  0.002    0  21   0 237   0   0   8    -99    -99     0  0.000  13481 1  
    48843.7235      837    West         300       0x101bf       1.5123           -9.920  0.002    0   1   0 170   0   0   6    -99    -99 11196  4.840  13481 1  -9.218  0.003    0  21   0 191   0   0   8    -99    -99  6288  5.153  13481 1  
    48851.7506      916    West         300       0x101bd       1.3530           -9.929  0.001    0  41   0 187   0   0   6    -99    -99 10498  4.448  13481 1  -9.236  0.002    0  21   0 196   0   0   8    -99    -99  7685  4.719  13481 1  
    48854.6681      972    West         300       0x101bf       1.6339           -9.957  0.001    0   1   0 240   0   0  -1    -99    -99   -99    -99      0 1     -99    -99  999 999 999 999 999 999   8    -99    -99  4636  4.148  13481 0  
    48855.8153     1051    West         300       0x101bf       1.2145           -9.805  0.008    0  41  71 170   0   0   6    -99    -99 11147  4.079  13481 1  -9.153  0.006    0  21  50 199   0   0   8    -99    -99  5602  4.263  13481 1  
    48856.7011     1073    West         300       0x101bf       1.4669              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.257  0.002    0  21   0 249   0   0   8    -99    -99  3286  3.783  13481 1  
    48885.7883     1174    West         300       0x101bf       1.1856          -10.065  0.002    0   1 255 235 227   0   6    -99    -99  6508  3.665  13481 1  -9.031  0.002    0  21   0 253   0   0   8    -99    -99  4041  3.759  13481 1  
    48908.6840     1363    West         300       0x101bf       1.2086          -10.014  0.002    0   1 255 224 246   0   6    -99    -99 15692  2.538  13481 1  -8.876  0.003   16  21 255 253 229   0   8    -99    -99 11814  2.517  13481 1  
    48917.6810     1489    West         300       0x101bf       1.1929           -9.733  0.064    0   1 255  65 224   0   6    -99    -99  4150  3.156  13481 1  -9.337  0.003    0  21  36 173   0   0   8    -99    -99  2399  3.212  13481 1  
    48919.6779     1554    West         300       0x101bf       1.1916           -9.988  0.002    0   1   0 164   0   0   6    -99    -99  6746  4.332  13481 1  -9.267  0.003    0  21   0 231 176   0   8    -99    -99  3962  4.516  13481 1  
    48927.6231     1633    West         300       0x101bf       1.2176           -9.999  0.001    0   1   0 208   0   0   6    -99    -99  4639  4.456  13481 1  -9.291  0.002    0  21   0 251   0   0   8    -99    -99  2503  4.703  13481 1  
    48928.7075     1703    West         300       0x101bf       1.1900           -9.977  0.001    0   1 255 253 228   0   6    -99    -99  4018  3.125  13481 1  -8.969  0.002    0  61   0 253   0   0   8    -99    -99  2265  3.225  13481 1  
    48929.6032     1750    West         300       0x101bf       1.2354           -9.988  0.001    0   1 255 215 189   0   6    -99    -99  6174  3.931  13481 1  -9.255  0.002    0  21   0 253   0   0   8    -99    -99  4118  4.159  13481 1  
    48931.6086     1833    West         300       0x101bf       1.2217           -9.960  0.001    0   1 255 234 229   0   6    -99    -99  7849  3.035  13481 1  -9.265  0.001    0  21   0 253   0   0   8    -99    -99  6419  3.175  13481 1  
