!  Star 3.6968.10                          RA  05 23 28.311   DEC  -68 12 24.60
#  911 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -12.001         1583.42, 1296.52              1
#    Blue:           -12.287         1585.04, 1295.49            107
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.5425     1467    West         300       0x101bf       1.4974          -12.348  0.002    0  13   0 253   0   0   1    -99    -99  4902  3.659   5487 1 -12.969  0.002    0  13 255 253 252   0  14    -99    -99  2979  3.418   5487 1  
    48918.7598     1517    West         300       0x101bf       1.2083          -12.031  0.001    0  13 255 228 245   0   1    -99    -99  9681  2.915   5487 1 -12.601  9.999    0  13 255 217 243   0  14    -99    -99  6160  2.878   5487 1  
    48919.5540     1532    West         300       0x00110       1.4230          -12.001  0.002    0  13 255 193 242   0   1    -99    -99  9203  3.058   5487 1 -12.233  9.999    0  13   0 253   0   0  14    -99    -99  5502  3.385   5487 1  
    48920.5379     1581    West         300       0x101bf       1.4841          -11.945  0.002    0  13   0 253   0   0   1    -99    -99  5086  2.994   5487 1 -12.534  0.002    0  13 255 232 253   0  14    -99    -99  3375  2.873   5487 1  
    48927.5074     1611    West         300       0x101bf       1.5282          -12.935  0.002    0  13 255 253 229   0   1    -99    -99  8149  4.911   5487 1 -13.807  0.001    0  13 255 233 162   0  14    -99    -99  4360  5.253   5487 1  
    48928.5414     1676    West         300       0x101bf       1.3997          -12.402  0.002    0  13 255 244 253   0   1    -99    -99  6793  3.663   5487 1 -13.163  0.002    0  13 255 253 251   0  14    -99    -99  4826  3.733   5487 1  
    48929.4881     1727    West         300       0x101bf       1.5872          -12.569  0.054    0  13 255  34 243   0   1    -99    -99  9867  3.926   5487 1 -13.353  0.002    0  13 255 253 246   0  14    -99    -99  8131  4.130   5487 1  
    48930.4870     1792    West         300       0x101bf       1.5805          -12.000  0.002    0  13 255 253 226   0   1    -99    -99 25403  4.711   5487 1 -13.851  9.999    0  13 255 253 215   0  14    -99    -99 19241  5.255   5487 1  
    48931.5024     1812    West         300       0x101bf       1.5051          -12.442  0.002    0  13 255 225 246   0   1    -99    -99 11021  3.583   5487 1 -13.242  9.999    0  13   0 221 241   0  14    -99    -99 10885  3.867   5487 1  
    48933.6316     1885    West         300       0x101bf       1.2118          -12.275  0.003    0  13   0 253   0   0   1    -99    -99 12503  3.171   5487 1 -12.894  9.999    0  13   0 179 250   0  14    -99    -99 12727  3.090   5487 1  
    48935.6455     1912    West         300       0x101bf       1.1998          -13.215  9.999    0  13   0 160   0   0   1    -99    -99 22514  5.004   5487 1 -14.002  0.002    0  13 255 180 228   0  14    -99    -99 21735  5.049   5487 1  
    48937.7010     1941    West         300       0x101bf       1.2039          -13.324  9.999    0  13   0 199 240   0   1    -99    -99 17172  5.648   5487 1 -14.160  9.999    0  13   0 160   0   0  14    -99    -99 14261  5.996   5487 1  
