!  Star 32.10962.261                       RA  05 47 45.813   DEC  -68 07 34.58
#  287 observations from the production databases
#  Field inception date: 50235.0833
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -10.037           76.03, 1806.02             15
#    Blue:           -10.242           65.31, 1790.64             96
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7238     1497    West         300       0x101bf       1.1959          -10.037  0.002    9   1 255 229 232   0   2    -99    -99  3611  3.239   3627 1 -10.281  0.002    6   1 255 234 237   0  13    -99    -99  3553  3.425   3627 1  
    48919.7266     1565    West         300       0x101bf       1.1942          -10.071  0.003    6   1  15 156   0   0   2    -99    -99  7816  3.519   3627 1 -10.190  0.003    0   1  22 166   0   0  13    -99    -99  7635  3.883   3627 1  
    48927.6686     1643    West         300       0x101bf       1.2095          -10.039  0.002    0   1  18 173   0   0   2    -99    -99  4023  4.060   3627 1 -10.162  0.002    0   1 255 193 223   0  13    -99    -99  3657  4.024   3627 1  
    48928.7575     1713    West         300       0x101bf       1.2140          -10.059  0.005    0   1  51 115   0   0   2    -99    -99 20762  5.210   3627 1 -10.176  0.005    0   1 255 151 157   0  13    -99    -99 34649  5.582   3627 1  
    48929.6489     1760    West         300       0x101bf       1.2217          -10.004  0.002    0   1 255 226 218   0   2    -99    -99  3665  3.319   3627 1 -10.216  0.002    0   5 255 250 237   0  13    -99    -99  3831  3.275   3627 1  
    48931.7061     1856    West         300       0x101bf       1.1941          -10.047  0.002    0   1 255 149 215   0   2    -99    -99  3291  3.706   3627 1 -10.194  0.002    0   1 255 166 236   0  13    -99    -99  3131  3.764   3627 1  
    48938.7113     2000    West         300       0x101bf       1.2014          -10.054  0.003    0   1  35 141   0   0   2    -99    -99 14142  4.429   3627 1 -10.194  0.004    0   1 255 141 221   0  13    -99    -99 13406  4.680   3627 1  
    48966.6936     2292    West         300       0x101bf       1.2605          -10.041  0.003    0   1  10 151   0   0   2    -99    -99 11827  3.857   3627 1 -10.187  0.002    0   1   7 161   0   0  13    -99    -99 12174  4.134   3627 1  
    48996.6436     2595    West         300       0x101bf       1.3205           -9.973  0.002    0   1   0 172 224   0   2    -99    -99  9976  3.179   3627 1 -10.129  0.003    0   1 255 164 233   0  13    -99    -99 12604  3.300   3627 1  
    49016.7246     3134    East         300       0x101bf       1.8865          -10.037  0.005    0   1  51 142   0   0   6    -99    -99  1890  5.234   3627 1 -10.220  0.004    0   1  42 160   0   0   9    -99    -99  1468  5.550   3627 1  
    49037.5834     3556    East         300       0x101bf       1.4671          -10.004  0.002    0   1   0 182   0   0   6    -99    -99  2621  3.221   3627 1 -10.170  0.002    0   1 255 238 207   0   9    -99    -99  2026  3.233   3627 1  
    49042.4777     3627    East         300       0x101bf       1.2459           -9.973  0.002    0   1 255 219 231   0   6    -99    -99  2348  2.490   3627 1 -10.218  0.002    0   1 255 240 239   0   9    -99    -99  1647  2.469   3627 1  
    49045.7273     3855    East         300       0x101bf       2.6040          -10.046  0.004    0   1  46 149   0   0   6    -99    -99  2321  5.183   3627 1 -10.235  0.004    0   1  42 165   0   0   9    -99    -99  1815  5.667   3627 1  
    49086.5967     5052    East         300       0x101bf       2.4007           -9.956  0.005    0   1  46 212   0   0   6    -99    -99 11762  4.624   3627 1 -10.156  0.003    0   1  25 199  41   0   9    -99    -99 11737  4.701   3627 1  
    49094.5658     5326    East         300       0x101bf       2.3177          -10.011  0.002    0   1  14 161   0   0   6    -99    -99  3252  3.378   3627 1 -10.206  0.002    0   1   0 187   0   0   9    -99    -99  2389  3.586   3627 1  
    49114.5571     6504    East         300       0x101bf       2.7942          -10.040  0.005    0   1  46 103   0   0   6    -99    -99 21734  5.339   3627 1 -10.219  0.005    0   1  39 128   0   0   9    -99    -99 20874  5.649   3627 1  
    49123.5346     6961    East         300       0x101bf       2.8165          -10.021  0.003    0   1  27 155 101   0   6    -99    -99  4031  4.062   3627 1 -10.196  0.002    0   1  10 166   0   0   9    -99    -99  2643  4.391   3627 1  
    49126.5298     7282    East         300       0x101bf       2.8623          -10.030  0.002    0   1   6 188   0   0   6    -99    -99  3691  3.560   3627 1 -10.212  0.002    0   1   6 175   0   0   9    -99    -99  2437  3.966   3627 1  
    49144.4914     8124    East         300       0x101bf       2.9883          -10.027  0.018    0   1 255  73 228   0   6    -99    -99 17694  5.852   3627 1 -10.239  0.007    0   1  51 100   0   0   9    -99    -99 16657  6.540   3627 1  
    49165.8138     9214    West         300       0x101bf       1.8384          -10.051  0.004    0   1  36 130   0   0   2    -99    -99  3895  4.509   3627 1 -10.217  0.003    0   1  24 141   0   0  13    -99    -99  3857  4.690   3627 1  
    49186.7863    10080    West         300       0x101bf       1.6678          -10.060  0.005    0   1  44  89   0   0   2    -99    -99  3977  5.080   3627 1 -10.228  0.004    0   1  34 125   0   0  13    -99    -99  3364  5.342   3627 1  
    49194.8016    10384    West         300       0x101bf       1.5006          -10.052  0.003    0   1  35 169   0   0   2    -99    -99  2520  4.515   3627 1 -10.229  0.002    0   1  25 171   0   0  13    -99    -99  2137  4.576   3627 1  
    49209.7380    11034    West         300       0x101bf       1.5978          -10.014  0.005    0   1  51  97   0   0   2    -99    -99  2771  5.645   3627 1 -10.188  0.005    0   1  49 114   0   0  13    -99    -99  2957  5.964   3627 1  
    49216.7375    11399    West         300       0x101bf       1.5191          -10.054  0.004    0   1  45  80   0   0   2    -99    -99  2530  5.212   3627 1 -10.228  0.004    0   1  41 107   0   0  13    -99    -99  2210  5.411   3627 1  
    49222.8035    11817    West         300       0x101bf       1.2852          -10.044  0.002    0   1 255 226 205   0   2    -99    -99  2240  2.610   3627 1 -10.224  0.002    0   1 255 248 242   0  13    -99    -99  2198  2.531   3627 1  
    49255.7408    12282    West         300       0x101bf       1.2424          -10.040  0.003    0   1  31 182   0   0   2    -99    -99  2123  3.751   3627 1 -10.173  0.012    0   1  82 110   0   0  13    -99    -99  2123  3.907   3627 1  
    49268.7289    12732    West         300       0x101bf       1.2162          -10.031  0.002    0   1   0 183   0   0   2    -99    -99  2803  3.069   3627 1 -10.199  0.002    0   1 255 199 241   0  13    -99    -99  2901  2.875   3627 1  
    49286.6586    13185    West         300       0x101bf       1.2386          -10.041  0.002    0   1   0 253   0   0   2    -99    -99  3619  3.116   3627 1 -10.211  0.002    1   1 255 253 223   0  13    -99    -99  6108  3.316   3627 1  
    49302.6993    13420    West         300       0x101bf       1.1954          -10.010  0.002    0   1  18 174   0   0   2    -99    -99  1490  3.862   3627 1 -10.198  0.002    0   1 255 198 183   0  13    -99    -99  1367  3.815   3627 1  
    49309.6457    13540    West         300       0x101bf       1.1982          -10.044  0.001    0   1 255 226 198   0   2    -99    -99  1771  2.703   3627 1 -10.253  0.002    0   1 255 214 243   0  13    -99    -99  1842  2.733   3627 1  
    49313.6519    13717    West         300       0x101bf       1.1943          -10.023  0.002    0   1  27 148   0   0   2    -99    -99  1914  4.414   3627 1 -10.211  0.002    0   1  17 164   0   0  13    -99    -99  1656  4.644   3627 1  
    49376.7114    14077    East         300       0x00110       1.7420          -10.018  0.002    0   1   4 165   0   0   6    -99    -99  2157  3.552   3627 1 -10.210  0.002    0   1   0 179 207   0   9    -99    -99  1561  3.609   3627 1  
