!  Star 33.10229.18                        RA  05 43 12.927   DEC  -68 33 58.19
#  416 observations from the production databases
#  Field inception date: 50062.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.100         1044.22, 1883.50             50
#    Blue:           -11.937         1071.82, 1876.06             71
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7560     1501    West         300       0x101bf       1.1992           -9.084  0.002    0   1   0 228   0   0   7    -99    -99  5691  3.226  13480 1 -12.674  0.155    0  13 255  50 230   0   9    -99    -99  5839  3.235  13480 1  
    48919.7610     1569    West         300       0x101bf       1.2038           -9.007  0.002    0   1   0 159   0   0   7    -99    -99 10328  3.399  13480 1 -11.945  0.003    0  13   0 162   0   0   9    -99    -99 13816  3.448  13480 1  
    48927.6731     1644    West         300       0x100bf       1.2047           -8.772  0.002    0   1   0 173   0   0   7    -99    -99  4653  4.203  13480 1 -11.981  0.002    0  13   0 176   0   0   9    -99    -99  3945  4.286  13480 1  
    48929.6534     1761    West         300       0x101bf       1.2146           -8.881  0.002    0   1   0 248   0   0   7    -99    -99  4419  3.256  13480 1 -12.256  0.003    0  13   0 169   0   0   9    -99    -99  4223  3.378  13480 1  
    48931.7106     1857    West         300       0x101bf       1.1968           -9.104  0.002    0   1   0 165   0   0   7    -99    -99  3810  3.713  13480 1 -12.322  0.002    0  13   0 111   0   0   9    -99    -99  3370  3.832  13480 1  
    48938.7160     2001    West         300       0x101bf       1.2080           -9.137  0.003    0   1   0 137   0   0   7    -99    -99 15932  4.993  13480 1 -11.923  0.004    0  13   0 126   0   0   9    -99    -99 14652  5.197  13480 1  
    48966.6981     2293    West         300       0x101bf       1.2765           -9.213  0.003    0   1   0 125   0   0   7    -99    -99 12906  3.957  13480 1 -11.957  0.005    0  13   0 117   0   0   9    -99    -99 12698  4.022  13480 1  
    48998.6146     2649    West         300       0x101bf       1.2832           -9.291  0.002    0   1   0 177   0   0   7    -99    -99  6135  3.665  13480 1 -11.921  0.003    0  53   0 132   0   0   9    -99    -99  8397  3.549  13480 1  
    49016.7371     3135    East         300       0x101bf       2.0062           -8.630  0.004    0   1   0 184   0   0   3    -99    -99  1866  5.744  13480 1 -11.860  0.003    0  13   0 171   0   0  13    -99    -99  1452  5.871  13480 1  
    49037.5879     3557    East         300       0x101bf       1.5009           -9.108  0.002    0   1   0 183   0   0   3    -99    -99  2068  3.131  13480 1 -12.708  0.003    0  13   0 143   0   0  13    -99    -99  1725  3.053  13480 1  
    49042.4822     3628    East         300       0x101bf       1.2602           -8.857  0.002    0   1   0 176   0   0   3    -99    -99  2306  2.471  13480 1 -12.012  0.002    0  13   0 216   0   0  13    -99    -99  1714  2.495  13480 1  
    49043.7143     3734    East         300       0x101bf       2.4549           -8.771  0.003    0   1   0 232   0   0   3    -99    -99  2801  3.512  13480 1 -13.208  0.003    0  13   0 122   0   0  13    -99    -99  1946  3.523  13480 1  
    49068.6393     4507    East         300       0x101bf       2.3829           -9.082  0.003    0   1   0 228   0   0   3    -99    -99  2622  4.284  13480 1 -11.789  0.003    0  13   0 166   0   0  13    -99    -99  2044  4.412  13480 1  
    49080.6590     4862    East         300       0x101bf       2.9516           -8.710  0.004    0   1   0 209   0   0   3    -99    -99  8204  3.366  13480 1 -13.170  9.999    0  13   0  90   0   0  13    -99    -99 11209  3.526  13480 1  
