!  Star 36.6791.25                         RA  05 22 14.415   DEC  -71 57 32.09
#  325 observations from the production databases
#  Field inception date: 50235.0833
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.251         1805.97, 1537.93              0
#    Blue:            -7.287         1806.81, 1533.18            107
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48927.6995     1649    West         300       0x101bf       1.2507           -8.087  0.004    0   1   0 143   0   0   1    -99    -99  4473  3.935   3631 1  -7.080  0.007   -8   1   0 137   0   0  14    -99    -99  2111  3.787   3631 1  
    48929.6764     1766    West         300       0x101bf       1.2515           -8.082  0.003    0   1   0 151   1   1   1    -99    -99  3884  3.013   3631 1  -7.081  0.005    0   1   0 138   0   0  14    -99    -99  2201  2.890   3631 1  
    48931.7373     1862    West         300       0x101bf       1.2737           -8.095  0.003    0   1   0 120   0   0   1    -99    -99  4054  3.939   3631 1  -7.078  0.007    0   1   0 129  31   1  14    -99    -99  2014  4.030   3631 1  
    48938.7298     2004    West         300       0x101bf       1.2847           -8.140  0.006    0   1   0 142   0   0   1    -99    -99 15234  5.225   3631 1  -7.211  0.015    0   1   6 153   0   0  14    -99    -99 11641  5.605   3631 1  
    48966.7194     2297    East         300       0x101bf       1.3895           -8.235  0.008    0   1   0  92   0   0   5    -99    -99 13179  4.629   3631 1  -7.280  0.017    0   1   0 102   0   0  10    -99    -99 13588  4.563   3631 1  
    48998.5965     2645    West         300       0x101bf       1.3227           -8.299  0.004    0   1   0 152   0   0   1    -99    -99  5494  3.494   3631 1  -7.374  0.008    0   1   0 115   0   0  14    -99    -99  7279  3.279   3631 1  
    49018.7231     3190    East         300       0x101bf       1.9606           -8.270  0.004    0   1   0 156   0   0   5    -99    -99  2162  4.035   3631 1  -7.324  0.008    0   1   0 111   0   0  10    -99    -99  1821  4.123   3631 1  
    49037.6857     3577    East         300       0x101bf       2.0510           -8.305  0.005    0   1   0 154   0   0   5    -99    -99  2505  4.819   3631 1  -7.365  0.009    0   1   0 104   0   0  10    -99    -99  2144  4.684   3631 1  
    49042.4960     3631    East         300       0x101bf       1.3545           -8.249  0.003    0   1   0 163   0   0   5    -99    -99  2375  2.250   3631 1  -7.286  0.004    0   1   0 152   0   0  10    -99    -99  1691  2.062   3631 1  
    49043.7412     3740    East         300       0x101bf       2.5674           -8.244  0.007    0   1   0 117   0   0   5    -99    -99  3000  4.663   3631 1  -7.307  0.014    0   1   2 106   0   0  10    -99    -99  2303  4.910   3631 1  
    49068.6724     4514    East         300       0x101bf       2.5583           -8.249  0.019    0   1   0  96   0   0   5    -99    -99  3105  3.902   3631 1  -7.323  0.047    0   1   0  92   0   0  10    -99    -99  2794  4.127   3631 1  
    49082.6443     4923    East         300       0x101bf       2.6323           -8.255  0.050    0   1  28  91 166   0   5    -99    -99 16467  9.216   3631 1  -7.190  0.179  -35   3  45  96   0   0  10    -99    -99 27886  8.736   3631 1  
    49083.5988     4994    East         300       0x101bf       2.3084           -8.116  0.012    0   1   0  95   0   0   5    -99    -99 19189  5.072   3631 1  -7.318  0.037    0   1   7  88   0   0  10    -99    -99 35017  5.362   3631 1  
    49095.5994     5430    East         300       0x101bf       2.5618           -7.977  0.006    0   1 255 128 230   0   5    -99    -99  2988  2.723   3631 1  -7.032  0.008    0   1   0 110   0   0  10    -99    -99  2898  2.904   3631 1  
