!  Star 4.6968.2808                        RA  05 23 28.395   DEC  -68 12 24.48
#  326 observations from the production databases
#  Field inception date: 50235.0833
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -11.969         2001.41,  862.96             36
#    Blue:           -12.789         1974.90,  859.59             81
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48841.6287      746    West         300       0x101bf       2.2318              -99    -99  999 999 999 999 999 999   5    -99    -99 15421  5.544  15442 0     -99    -99  999 999 999 999 999 999  11    -99    -99 12715  5.672  15442 0  
    48842.6604      784    West         300       0x101bf       1.9477              -99    -99  999 999 999 999 999 999   5    -99    -99 15471  5.644  15442 0     -99    -99  999 999 999 999 999 999  11    -99    -99 14239  5.937  15442 0  
    48843.6243      819    West         300       0x101bf       2.2217              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48850.6506      884    West         300       0x101bf       1.8685              -99    -99  999 999 999 999 999 999   5    -99    -99 14742  4.418  15442 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48885.7748     1171    West         300       0x101bf       1.1997          -12.259  0.002    0  13 255 253 232   0   5    -99    -99  5505  3.661  15442 1 -13.161  0.002    0  13 255 216 234   0  11    -99    -99  4873  3.927  15442 1  
    48908.5674     1352    West         300       0x101bf       1.5072              -99    -99  999 999 999 999 999 999   5    -99    -99 18627  3.087  15442 0     -99    -99  999 999 999 999 999 999  11    -99    -99 23533  2.647  15442 0  
    48915.7092     1425    West         300       0x101bf       1.1916          -11.937  0.003    0  13   0 131   0   0   5    -99    -99  5026  7.182  15442 1 -14.205  9.999    0  13   0 159   0   0  11    -99    -99  4756  7.609  15442 1  
    48917.6559     1485    West         300       0x101bf       1.2287          -12.221  0.001    0  13 255 231 222   0   5    -99    -99  3867  3.608  15442 1 -13.009  9.999    0  13   0 243 229   0  11    -99    -99  3856  3.563  15442 1  
    48919.6642     1551    West         300       0x101bf       1.2138              -99    -99  999 999 999 999 999 999   5    -99    -99  5892  2.707  15442 0     -99    -99  999 999 999 999 999 999  11    -99    -99  5929  2.765  15442 0  
    48927.6091     1630    West         300       0x101bf       1.2560              -99    -99  999 999 999 999 999 999   5    -99    -99  4497  4.234  15442 0     -99    -99  999 999 999 999 999 999  11    -99    -99  4221  4.196  15442 0  
    48928.6936     1700    West         300       0x101bf       1.1878          -11.960  9.999    0  13   0 169  59  24   5    -99    -99  4122  3.378  15442 1 -12.839  0.001    0  13   0 236   0   0  11    -99    -99  4047  3.539  15442 1  
    48929.5893     1747    West         300       0x101bf       1.2809              -99    -99  999 999 999 999 999 999   5    -99    -99  6419  4.241  15442 0     -99    -99  999 999 999 999 999 999  11    -99    -99  7326  4.232  15442 0  
