!  Star 4.7087.2490                        RA  05 23 53.806   DEC  -68 18 27.99
#  343 observations from the production databases
#  Field inception date: 50235.0833
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.402         1767.12,  287.59             32
#    Blue:            -9.703         1742.48,  294.03             80
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48824.6714      319    West         300       0x101bf       2.2816           -9.283  0.003    0   1   0 205   0   0   5    -99    -99 12029  4.309  15442 1  -9.626  0.002    0   1   0 206   0   0  11    -99    -99 12030  4.163  15442 1  
    48825.6897      349    West         300       0x101bf       2.0820           -9.397  0.002    0   1   0 218   0   0   5    -99    -99  9613  4.267  15442 1  -9.730  0.002    0   1   0 216   0   0  11    -99    -99  8748  3.997  15442 1  
    48826.6779      377    West         300       0x101bf       2.1724           -9.381  0.003    0   1   0 145   0   0   5    -99    -99  8388  5.703  15442 1  -9.709  0.002    0   1   0 172   0   0  11    -99    -99  6505  5.957  15442 1  
    48828.6322      392    West         300       0x101bf       2.5714           -9.404  0.004    0   1   0 127   0   0   5    -99    -99  9207  6.583  15442 1  -9.742  0.004    0   1   0 143   0   0  11    -99    -99  5744  6.910  15442 1  
    48829.6503      427    West         300       0x101bf       2.3542           -9.366  0.002    0   1   0 196   0   0   5    -99    -99  6612  4.179  15442 1  -9.699  0.002    0   1   0 232   0   0  11    -99    -99  5106  4.151  15442 1  
    48831.6492      456    West         300       0x101bf       2.3116           -9.402  0.004    0   1   0 133   0   0   5    -99    -99  6523  6.660  15442 1  -9.742  0.003    0   1   0 139   0   0  11    -99    -99  5612  6.897  15442 1  
    48832.6476      492    West         300       0x101bf       2.3003           -9.360  0.003    0   1   0 146   0   0   5    -99    -99  6101  5.594  15442 1  -9.666  0.002    0   1   0 175   0   0  11    -99    -99  5005  5.756  15442 1  
    48833.7661      519    West         300       0x101bf       1.5122           -9.338  0.002    0   1   0 136   0   0   5    -99    -99  4842  4.457  15442 1  -9.682  0.002    0   1   0 165   0   0  11    -99    -99  4272  4.432  15442 1  
    48834.6324      555    West         300       0x101bf       2.3878           -9.376  0.002    0   1   0 198   0   0   5    -99    -99  6144  5.129  15442 1  -9.699  0.002    0   1   0 232   0   0  11    -99    -99  4760  5.457  15442 1  
    48835.7223      652    West         300       0x101bf       1.6884           -9.354  0.004    0   1   0 132   0   0   5    -99    -99  5423  6.604  15442 1  -9.673  0.003    0   1   0 145   0   0  11    -99    -99  3655  6.758  15442 1  
    48836.6171      718    West         300       0x101bf       2.4882           -9.393  0.002    0   1   0 191   0   0   5    -99    -99  6432  4.472  15442 1  -9.713  0.002    0   1   0 225   0   0  11    -99    -99  4817  4.518  15442 1  
    48841.6287      746    West         300       0x101bf       2.2318           -9.377  0.004    0   1   0 148   0   0   5    -99    -99 15075  5.556  15442 1  -9.666  0.003    0   1   0 158   0   0  11    -99    -99 12464  5.673  15442 1  
    48842.6604      784    West         300       0x101bf       1.9477           -9.401  0.004    0   1   0 135   0   0   5    -99    -99 15248  5.669  15442 1  -9.715  0.003    0   1   0 145   0   0  11    -99    -99 14078  5.911  15442 1  
    48843.6243      819    West         300       0x101bf       2.2217           -9.387  0.003    0   1   0 182   0   0  -1    -99    -99   -99    -99      0 1  -9.707  0.003    0   1   0 218   0   0  -1    -99    -99   -99    -99      0 1  
    48850.6506      884    West         300       0x101bf       1.8685           -9.390  0.002    0   1   0 156   0   0   5    -99    -99 14397  4.429  15442 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48851.6737      899    West         300       0x101bf       1.7153           -9.354  0.003    0   1   0 144   0   0   5    -99    -99 12062  5.022  15442 1  -9.676  0.002    0   1   0 138   0   0  11    -99    -99 14815  5.051  15442 1  
    48853.7594      939    West         300       0x101bd       1.3500           -9.390  0.014    0   1   0 138  46   0   5    -99    -99 32383  4.854  15442 1  -9.720  0.011    0   1   0 143   0   0  11    -99    -99 28805  5.149  15442 1  
    48854.7430      988    West         300       0x101bf       1.3874           -9.346  0.002    0   1   0 215   0   0   5    -99    -99  7144  4.401  15442 1  -9.670  0.002    0   1   0 215   0   0  11    -99    -99  7160  4.249  15442 1  
    48855.7072     1033    West         300       0x101bf       1.5014           -9.429  0.003    0   1  43 222   0   0   5    -99    -99  6697  3.258  15442 1  -9.751  0.003    0   1 255 221 207   0  11    -99    -99  6299  2.884  15442 1  
    48856.6250     1057    West         300       0x101bf       1.9340           -9.391  0.003    0  41   0 162   0   0   5    -99    -99  5830  5.006  15442 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48856.7960     1090    West         300       0x101bf       1.2558           -9.410  0.002    0   1   0 213   0   0   5    -99    -99  5887  3.954  15442 1  -9.734  0.001    0   1   0 212   0   0  11    -99    -99  4994  3.896  15442 1  
