!  Star 44.1982.1308                       RA  04 52 59.621   DEC  -69 51 52.07
#  442 observations from the production databases
#  Field inception date: 50062.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.054          185.81, 1513.41             52
#    Blue:            -9.232          227.87, 1513.19             62
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48927.7366     1657    West         300       0x101bf       1.2485           -9.094  0.002    0   1   0 177   0   0   7    -99    -99  5110  4.202  13475 1  -9.257  0.002    0   1   0 200   0   0   8    -99    -99  2384  4.349  13475 1  
    48929.7227     1777    West         300       0x101bf       1.2397           -9.128  0.004    0   1   0 129   0   0   7    -99    -99  6990  3.362  13475 1  -9.290  0.004    0   1   0 144   0   0   8    -99    -99  4052  3.523  13475 1  
    49000.5783     2706    West         300       0x101bf       1.3073           -9.159  0.003    0   1   0 127   0   0   7    -99    -99  5690  3.970  13475 1  -9.292  0.006    0   1  59 118   2   1   8    -99    -99  5268  4.020  13475 1  
    49020.6722     3225    East         300       0x101bf       1.8627           -9.116  0.003    0   1   0 185   0   0   3    -99    -99  1604  4.722  13475 1  -9.260  0.002    0   1   0 223 138   0  12    -99    -99  1495  4.274  13475 1  
    49042.5505     3639    East         300       0x101bf       1.5539           -9.152  0.002    0   1   0 178   0   0   3    -99    -99  2587  2.450  13475 1  -9.312  0.002    0   1   0 194   0   0  12    -99    -99  1779  2.350  13475 1  
    49068.6035     4501    East         300       0x101bf       2.3245              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.318  0.018    0   1   0 152   0   0  12    -99    -99  3292  3.992  13475 1  
    49068.6134     4503    East         300       0x101bf       2.4120           -9.147  0.003    0   1   0 159   0   0   3    -99    -99  2682  4.037  13475 1  -9.298  0.003    0   1   0 174   0   0  12    -99    -99  2316  3.681  13475 1  
    49082.6020     4915    East         300       0x101bf       2.6652           -9.087  0.017    0   1  27 104   0   0   3    -99    -99 15221  8.264  13475 1  -9.204  0.021    0   1   9 102   0   0  12    -99    -99 25318  8.378  13475 1  
    49083.5531     4985    East         300       0x101bf       2.2397           -9.124  0.007    0   1   3 101   0   0   3    -99    -99 18960  5.639  13475 1  -9.262  0.007    0   1   0 108   0   0  12    -99    -99 30701  5.963  13475 1  
    49095.5355     5416    East         300       0x101bf       2.3738           -9.118  0.002    0   1   0 209   0   0   3    -99    -99  2531  2.679  13475 1  -9.292  0.002    0   1   0 176   0   0  12    -99    -99  2238  2.461  13475 1  
    49108.5197     6155    East         300       0x101bf       2.5532           -9.135  0.007    0   1   0 100   0   0   3    -99    -99 12090  4.238  13475 1  -9.285  0.008    0   1   0 112   0   0  12    -99    -99 12869  4.388  13475 1  
    49112.5014     6399    East         300       0x101bf       2.4815           -9.110  0.003    0   1   0 132   0   0   3    -99    -99 21774  3.173  13475 1  -9.253  0.003    0   1   0 162   0   0  12    -99    -99 25874  3.287  13475 1  
    49120.4915     6730    East         300       0x101bf       2.5947           -9.119  0.013    0   1  37 100   0   0   3    -99    -99  3481  9.082  13475 1  -9.254  0.012    0   1  23  91   0   0  12    -99    -99  2486  9.469  13475 1  
    49122.5213     6882    East         300       0x101bf       2.9524              -99    -99  999 999 999 999 999 999   3    -99    -99  2373  9.678  13475 0     -99    -99  999 999 999 999 999 999  12    -99    -99  2168 10.894  13475 0  
    49125.4942     7160    East         300       0x101bf       2.7615           -9.083  0.002    0   1   0 143   0   0   3    -99    -99  3285  3.367  13475 1  -9.247  0.002    0   1   0 146   0   0  12    -99    -99  2523  3.374  13475 1  
    49145.4506     8214    East         300       0x101bf       2.8727           -9.128  0.027    8   1  39  98   0   0   3    -99    -99 10586 10.137  13475 1     -99    -99  999 999 999 999 999 999  12    -99    -99 10160 10.114  13475 0  
    49163.8156     9012    West         300       0x101bf       1.6301           -9.084  0.003    0   1   0 128   0   0   7    -99    -99  2732  4.468  13475 1  -9.252  0.003    0   1   0 159   0   0   8    -99    -99  2258  4.759  13475 1  
    49180.8217     9657    West         300       0x100af       1.4318              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    49188.8194    10183    West         300       0x101bf       1.3763           -9.122  0.003    0   1   0 127   0   0   7    -99    -99  2012  4.737  13475 1  -9.299  0.003    0   1   0 155   0   0   8    -99    -99  1285  5.099  13475 1  
    49203.7393    10736    West         300       0x101bf       1.4991           -9.100  0.003    0   1   0 129   0   0   7    -99    -99  7624  3.223  13475 1  -9.252  0.003    0   1   0 173   0   0   8    -99    -99 11703  3.476  13475 1  
    49210.7781    11145    West         300       0x101bf       1.3346           -9.139  0.002    0   1   0 149   0   0   7    -99    -99  3231  3.695  13475 1  -9.313  0.002    0   1   0 174   0   0   8    -99    -99  2462  3.960  13475 1  
    49222.6163    11782    West         300       0x101bf       1.8308           -9.108  0.002    0   1   0 178   0   0   7    -99    -99  2637  3.102  13475 1  -9.265  0.002    0   1   0 201   0   0   8    -99    -99  2603  3.384  13475 1  
