!  Star 47.1893.34                         RA  04 51 40.789   DEC  -67 44 57.89
#  793 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.213          635.95, 1458.95             10
#    Blue:            -7.388          614.45, 1447.97            101
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6393      277    West         300       0x1017f       2.3883           -8.342  0.023    0   9  74 120   0   0   2    -99    -99 13537  8.173   3642 1     -99    -99  999 999 999 999 999 999  13    -99    -99 14268  8.029   3642 0  
    48823.6488      279    West         300       0x1017f       2.2948           -8.303  0.019    0   1  70 119   0   0   2    -99    -99 13331  7.185   3642 1     -99    -99  999 999 999 999 999 999  13    -99    -99 13952  7.578   3642 0  
    48823.6586      281    West         300       0x101bf       2.2041              -99    -99  999 999 999 999 999 999   2    -99    -99 12689  7.976   3642 0     -99    -99  999 999 999 999 999 999  13    -99    -99 13678  7.951   3642 0  
    48824.6298      311    West         300       0x1017f       2.4595           -8.291  0.006    0   1  10 125   0   0   2    -99    -99 11720  4.169   3642 1  -7.527  0.013    0   1  33 128   0   0  13    -99    -99 11420  4.324   3642 1  
    48824.6394      313    West         300       0x1017f       2.3593           -8.285  0.006    0   1   2 141   0   0   2    -99    -99 11664  4.189   3642 1  -7.497  0.012    0   1  31 127   0   0  13    -99    -99 11427  4.276   3642 1  
    48825.6547      342    West         300       0x101bf       2.1912           -8.286  0.004    0   1   0 154   0   0   2    -99    -99  9706  3.810   3642 1  -7.518  0.008    0   1  22 137   0   0  13    -99    -99  8309  3.846   3642 1  
    48825.6647      344    West         300       0x101bf       2.1058           -8.295  0.005    0   1   3 139   0   0   2    -99    -99  9531  3.934   3642 1  -7.420  0.009   35   1  29 211   0   0  13    -99    -99  8218  3.978   3642 1  
    48825.6747      346    West         300       0x1017f       2.0239           -8.287  0.004    0   1   5 143   0   0   2    -99    -99  9354  3.830   3642 1  -7.508  0.008    0   1  28 116   0   0  13    -99    -99  8162  3.874   3642 1  
    48826.6533      372    West         300       0x1017f       2.1801           -8.298  0.012    0   1  64 101   0   0   2    -99    -99  7315  6.211   3642 1  -7.502  0.023    0   9  81  96   0   0  13    -99    -99  5615  6.521   3642 1  
    48826.6630      374    West         300       0x101bf       2.0960           -8.288  0.011    0   1  56 116   0   0   2    -99    -99  7750  6.211   3642 1  -7.487  0.024    0   9  79  98   0   0  13    -99    -99  5848  6.630   3642 1  
    48828.6529      396    West         300       0x101bf       2.1327           -8.288  0.010    0   1  52  97   0   0   2    -99    -99  8247  5.904   3642 1  -7.504  0.020    0   1  78 101   0   0  13    -99    -99  5128  6.377   3642 1  
    48828.7581      407    West         300       0x1017f       1.5023           -8.268  0.005    0   1  20 101   0   0   2    -99    -99  6354  4.707   3642 1  -7.494  0.009    0   1  47 103   0   0  13    -99    -99  4489  4.886   3642 1  
    48828.8297      421    West         300       0x1017f       1.2857           -8.228  0.015    0   1  60 127   0   0   2    -99    -99 23362  6.418   3642 1  -7.507  0.020    0   9  78 114   0   0  13    -99    -99  7876  6.459   3642 1  
    48829.6283      424    West         300       0x1017f       2.3327           -8.263  0.004    0   1   0 141   0   0   2    -99    -99  6686  3.554   3642 1  -7.475  0.008    0   1  23 134   0   0  13    -99    -99  5038  3.753   3642 1  
    48829.7569      444    West         300       0x1017f       1.4969           -8.276  0.011    0   1   0 132   0   0   2    -99    -99  9688  3.845   3642 1  -7.478  0.018    0   1  18 124   0   0  13    -99    -99  7774  3.787   3642 1  
    48829.8347      451    West         300       0x101bf       1.2777              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.428  0.025   10   1  57 127   0   0  13    -99    -99 13967  5.501   3642 1  
    48831.6340      453    West         300       0x1017f       2.2280           -8.181  0.024    0   1  77 100   0   0   2    -99    -99  5879  8.250   3642 1  -7.515  0.046    0   9  97  97   0   0  13    -99    -99  5283  8.425   3642 1  
    48831.7365      473    West         300       0x1017f       1.5586           -8.207  0.012    0   1  60  90   0   0   2    -99    -99  5002  6.573   3642 1  -7.484  0.022    0   9  82  92   0   0  13    -99    -99  4339  6.804   3642 1  
    48831.8003      484    West         300       0x101bf       1.3407           -8.216  0.004    0   1   3 138   0   0   2    -99    -99  4316  4.099   3642 1  -7.418  0.006    0   1  24 110   0   0  13    -99    -99  3691  4.107   3642 1  
    48832.6323      489    West         300       0x1017f       2.2162           -8.213  0.007    0   1  38 107   0   0   2    -99    -99  5735  5.082   3642 1  -7.402  0.014    0   1  60  96   0   0  13    -99    -99  4686  5.377   3642 1  
    48833.7416      516    West         300       0x1017f       1.5128           -8.178  0.007    0   1  34 106   0   0   2    -99    -99  4906  5.221   3642 1  -7.400  0.012    0   1  62  94   0   0  13    -99    -99  4181  5.400   3642 1  
