!  Star 47.2496.8                          RA  04 55 43.233   DEC  -67 51 10.42
#  777 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.724          546.77,  860.85            122
#    Blue:            -9.284          564.99,  867.83            117
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6393      277    West         300       0x1017f       2.3883              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.050  0.018    0   1  68 129   0   0  15    -99    -99 12908  8.151   3642 1  
    48823.6488      279    West         300       0x1017f       2.2948              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.012  0.016    0   1  67 116   0   0  15    -99    -99 12627  7.437   3642 1  
    48823.6586      281    West         300       0x101bf       2.2041              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  15    -99    -99 12341  8.016   3642 0  
    48824.6298      311    West         300       0x1017f       2.4595              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.037  0.008    0   1  59 124   0   0  15    -99    -99 10310  4.505   3642 1  
    48824.6394      313    West         300       0x1017f       2.3593              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.024  0.007    0   1  56 132   0   0  15    -99    -99 10253  4.359   3642 1  
    48825.6547      342    West         300       0x101bf       2.1912              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.997  0.007    0   1  51 143   0   0  15    -99    -99  7473  3.883   3642 1  
    48825.6647      344    West         300       0x101bf       2.1058              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.998  0.006    0   1  50 139   0   0  15    -99    -99  7395  4.108   3642 1  
    48825.6747      346    West         300       0x1017f       2.0239              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.977  0.006    0   1  52 137   0   0  15    -99    -99  7318  4.041   3642 1  
    48826.6533      372    West         300       0x1017f       2.1801              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.966  0.012    0   1  65  94   0   0  15    -99    -99  5015  6.694   3642 1  
    48826.6630      374    West         300       0x101bf       2.0960              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.981  0.011    0   1  67  96   0   0  15    -99    -99  5271  6.705   3642 1  
    48828.6529      396    West         300       0x101bf       2.1327              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.917  0.012    0   1  68  77   0   0  15    -99    -99  4590  6.477   3642 1  
