!  Star 47.2618.1034                       RA  04 56 31.248   DEC  -67 49 23.64
#  776 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.058          111.71, 1025.60            125
#    Blue:            -9.240          137.30, 1030.60            104
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6488      279    West         300       0x1017f       2.2948              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.005  0.008    0  10   0 157   0   0  14    -99    -99 10659  7.253   3642 1  
    48824.6298      311    West         300       0x1017f       2.4595              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.068  0.004    0  10   0 165   0   0  14    -99    -99  8693  4.466   3642 1  
    48824.6394      313    West         300       0x1017f       2.3593              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.055  0.003    0  10   0 183   0   0  14    -99    -99  8515  4.360   3642 1  
    48825.6547      342    West         300       0x101bf       2.1912              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.120  0.002    0  10   0 195   0   0  14    -99    -99  5791  3.853   3642 1  
    48825.6647      344    West         300       0x101bf       2.1058              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.123  0.002    0  10   0 180   0   0  14    -99    -99  5691  4.050   3642 1  
    48825.6747      346    West         300       0x1017f       2.0239              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.123  0.002    0  10   0 195   0   0  14    -99    -99  5641  3.984   3642 1  
    48826.6533      372    West         300       0x1017f       2.1801              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.154  0.005    0  10   0 162   0   0  14    -99    -99  3482  6.761   3642 1  
    48826.6630      374    West         300       0x101bf       2.0960              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.156  0.005    0  10   0 168   0   0  14    -99    -99  3663  6.847   3642 1  
    48828.6529      396    West         300       0x101bf       2.1327              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.174  0.004    0  10   0 157   0   0  14    -99    -99  3020  6.498   3642 1  
    48828.7581      407    West         300       0x1017f       1.5023              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.207  0.002    0  10   0 182   0   0  14    -99    -99  2574  4.890   3642 1  
    48829.6283      424    West         300       0x1017f       2.3327              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.211  0.002    0  10   0 224   0   0  14    -99    -99  2981  4.009   3642 1  
    48829.7569      444    West         300       0x1017f       1.4969              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.187  0.005    0  10   0 155   0   0  14    -99    -99  5119  4.001   3642 1  
    48829.8347      451    West         300       0x101bf       1.2777              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.147  0.006    0  10   0 163   0   0  14    -99    -99 10597  5.703   3642 1  
