!  Star 54.2640.12                         RA  04 56 17.569   DEC  -66 18 19.70
#  265 observations from the production databases
#  Field inception date: 50235.0833
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -10.907         1418.82,  200.44             46
#    Blue:           -11.058         1441.99,  217.83             68
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48836.5907      714    West         300       0x101bf       2.6823              -99    -99  999 999 999 999 999 999   6    -99    -99  7417  5.045  11963 0 -11.062  0.001    0   1 255 253 217   0   9    -99    -99  4934  5.419  11963 1  
    48843.7965      849    West         300       0x101bf       1.2556          -10.846  0.001    0   1 255 188 155   0   6    -99    -99  5027  5.734  11963 1 -11.053  0.001    0   1 255 236 211   0   9    -99    -99  3856  6.100  11963 1  
    48854.6962      978    West         300       0x101bf       1.4607              -99    -99  999 999 999 999 999 999   6    -99    -99  7737  3.531  11963 0 -11.051  0.002    0   1 255 253 248   0   9    -99    -99  7159  3.644  11963 1  
    48856.7320     1079    West         300       0x101bf       1.3235              -99    -99  999 999 999 999 999 999   6    -99    -99  5929  3.794  11963 0 -11.063  0.002    0   5 255 208 247   0   9    -99    -99  4981  3.881  11963 1  
    49001.5769     2757    West         300       0x101bf       1.2608          -10.842  0.002    0   1 255 253 251   0   6    -99    -99  3584  2.777  11963 1 -10.999  0.002    0   1 255 224 253   0   9    -99    -99  2920  2.657  11963 1  
    49021.7003     3294    East         300       0x100bf       2.1465              -99    -99  999 999 999 999 999 999   2    -99    -99  2321  4.207  11963 0 -10.951  0.002    0   1 255 253 240   0  13    -99    -99  1940  4.213  11963 1  
    49025.7158     3369    East         300       0x101bf       2.4217              -99    -99  999 999 999 999 999 999   2    -99    -99 15181  5.113  11963 0     -99    -99  999 999 999 999 999 999  13    -99    -99 28377  5.182  11963 0  
    49042.5956     3649    East         300       0x101bf       1.7738          -10.865  0.001    0   1 255 208 241   0   2    -99    -99  2417  3.038  11963 1 -11.060  0.002    0   1 255 224 251   0  13    -99    -99  1809  2.836  11963 1  
    49042.6060     3651    East         300       0x101bf       1.8445          -10.835  0.002    0   1 255 225 246   0   2    -99    -99  2434  3.134  11963 1 -11.007  0.002    0   1 255 242 253   0  13    -99    -99  1736  3.048  11963 1  
    49065.6015     4355    East         300       0x101bf       2.3619          -10.810  0.002    0   1 255 212 247   0   2    -99    -99  2392  2.949  11963 1 -11.004  0.002    0   1 255 245 252   0  13    -99    -99  1951  2.935  11963 1  
    49095.4983     5408    East         300       0x101bf       2.1452          -10.824  0.002    0   1 255 247 246   0   2    -99    -99  2743  3.176  11963 1 -10.986  0.002    0   1 255 253 250   0  13    -99    -99  1975  3.180  11963 1  
    49118.4801     6666    East         300       0x101bf       2.6299          -10.871  0.001    0   1   0 171   0   0   2    -99    -99  3546  5.122  11963 1 -11.051  0.001    0   1   0 182   0   0  13    -99    -99  2404  5.304  11963 1  
    49186.8439    10092    West         300       0x101bf       1.3042          -10.867  0.001    0   1 255 186 199   0   6    -99    -99 15769  4.894  11963 1 -11.045  0.001    0   1 255 149 199   0   9    -99    -99  7000  5.102  11963 1  
    49196.7957    10534    West         300       0x101bf       1.3639          -10.875  0.001    0   1   0 212   0   0   6    -99    -99  2716  4.757  11963 1 -11.062  0.001    0   1 255 204 197   0   9    -99    -99  2274  5.047  11963 1  
    49209.7917    11046    West         300       0x101bf       1.2807          -10.863  0.002    0   1   0 148   0   0   6    -99    -99  2910  7.055  11963 1 -11.051  0.002    0   1   0 136   0   0   9    -99    -99  2820  7.495  11963 1  
    49217.7011    11493    West         300       0x101bf       1.4983          -10.860  0.002    0   1 255 222 243   0   6    -99    -99  2382  3.214  11963 1 -11.044  0.002    0   1 255 188 246   0   9    -99    -99  2158  3.299  11963 1  
    49224.6939    11963    West         300       0x101bf       1.4514          -10.875  0.002    0   1 255 172 251   0   6    -99    -99  2794  2.586  11963 1 -11.052  0.001    0   1 255 211 248   0   9    -99    -99  2733  2.639  11963 1  
    49256.6809    12346    West         300       0x101bf       1.2464          -10.724  0.002    0   1 255 253 253   0   6    -99    -99  4506  2.503  11963 1 -10.971  0.003    0   1 255 253 253   0   9    -99    -99  6291  2.523  11963 1  
    49269.7111    12772    West         300       0x101bf       1.1703          -10.865  0.001    0   1   0 177   0   0   6    -99    -99  2781  5.977  11963 1 -11.054  0.001    0   1   0 191   0   0   9    -99    -99  2711  6.343  11963 1  
    49282.7056    13046    West         300       0x101bf       1.1626          -10.850  0.001    0   1 255 229 241   0   6    -99    -99  2142  3.374  11963 1 -11.066  0.002    0   1 255 210 248   0   9    -99    -99  1965  3.518  11963 1  
    49287.6643    13238    West         300       0x101bf       1.1690          -10.853  0.002    0   1 255 253 252   0   6    -99    -99  4976  2.734  11963 1 -10.778  0.002    0   5 255 253 253   0   9    -99    -99  7577  2.917  11963 1  
    49309.7232    13552    West         300       0x101bf       1.2408          -10.857  0.001    0   1 255 193 233   0   6    -99    -99  2257  3.876  11963 1 -11.062  0.001    0   1 255 205 243   0   9    -99    -99  1976  3.982  11963 1  
    49315.5911    13782    West         300       0x101bf       1.1674          -10.855  0.001    0   1 255 210 181   0   6    -99    -99  7110  3.855  11963 1 -11.047  0.001    0   1 255 204 228   0   9    -99    -99  7549  3.971  11963 1  
    49378.5692    14157    West         300       0x00110       1.3142          -10.837  0.002    0   1 255 231 235   0   6    -99    -99 28023  3.695  11963 1 -10.992  0.002   -1   1 255 244 230   0   9    -99    -99 24920  4.148  11963 1  
    49390.6771    14469    East         300       0x101bf       2.0293          -10.834  0.001    0   1   0 195   0   0   2    -99    -99  2886  5.372  11963 1     -99    -99  999 999 999 999 999 999  13    -99    -99  2282  5.616  11963 0  
    49426.6189    15331    East         300       0x101bf       2.4297          -10.817  0.001    0   1 255 253 205   0   2    -99    -99  3275  4.383  11963 1     -99    -99  999 999 999 999 999 999  13    -99    -99  2547  4.759  11963 0  
    49450.5883    16206    East         300       0x101bf       2.8804          -10.857  0.001    0   1 255 201 220   0   2    -99    -99  3491  3.835  11963 1 -11.043  0.002    0   1 255 222 240   0  13    -99    -99  3028  4.004  11963 1  
    49518.7907    19347    West         300       0x101bf       2.0244          -10.872  0.002    0   1   0 145   0   0   6    -99    -99  5935  5.191  11963 1 -11.067  0.002    0   1   0 155   0   0   9    -99    -99  4383  5.387  11963 1  
    49534.7914    19957    West         300       0x101bf       1.7081          -10.851  0.001    0   1 255 206 172   0   6    -99    -99  4781  4.417  11963 1 -11.051  0.001    0   1 255 191 218   0   9    -99    -99  4024  4.533  11963 1  
