!  Star 54.2883.16                         RA  04 57 43.706   DEC  -66 15 27.16
#  266 observations from the production databases
#  Field inception date: 50235.0833
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -10.434          589.46,  468.97             45
#    Blue:           -10.593          627.45,  483.85             56
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48836.5907      714    West         300       0x101bf       2.6823          -10.375  0.003    0   2  26 170   0   0   6    -99    -99  7286  5.071  11963 1 -10.514  0.004    0   2  30 176   0   0   8    -99    -99  3191  5.375  11963 1  
    48843.7965      849    West         300       0x101bf       1.2556          -10.402  0.004    0   2  39 108   0   0   6    -99    -99  4989  5.798  11963 1 -10.566  0.004    0   2  44  91   0   0   8    -99    -99  2409  6.167  11963 1  
    48854.6962      978    West         300       0x101bf       1.4607          -10.385  0.003    0   2 255 250 232   0   6    -99    -99  7653  3.510  11963 1 -10.563  0.003    0  42 255 227 225   0   8    -99    -99  4451  3.661  11963 1  
    48856.7320     1079    West         300       0x101bf       1.3235          -10.390  0.003    0   2 255 183 225   0   6    -99    -99  5780  3.782  11963 1 -10.563  0.003    0   2 255 146 212   0   8    -99    -99  3090  3.904  11963 1  
    49001.5769     2757    West         300       0x101bf       1.2608          -10.404  0.003    0   2 255 144 244   0   6    -99    -99  3592  2.784  11963 1 -10.576  0.005    0   2 255 127 252   0   8    -99    -99  2945  2.652  11963 1  
    49021.7003     3294    East         300       0x100bf       2.1465          -10.399  0.002    0   2  14 214   0   0   2    -99    -99  2305  4.236  11963 1 -10.488  0.002    0   2 255 224 192   0  12    -99    -99  1895  4.187  11963 1  
    49025.7158     3369    East         300       0x101bf       2.4217          -10.395  0.003    0   2  12 225   0   0   2    -99    -99 15181  5.098  11963 1 -10.551  0.005    0   2 255 217 221   0  12    -99    -99 28050  5.057  11963 1  
    49042.5956     3649    East         300       0x101bf       1.7738          -10.416  0.002    0   2 255 125 222   0   2    -99    -99  2414  3.066  11963 1 -10.560  0.003    0   2 255 135 244   0  12    -99    -99  1836  2.842  11963 1  
    49042.6060     3651    East         300       0x101bf       1.8445          -10.396  0.003    0   2 255 115 225   0   2    -99    -99  2406  3.159  11963 1 -10.541  0.005    0   2 255 103 247   0  12    -99    -99  1804  3.041  11963 1  
    49065.6015     4355    East         300       0x101bf       2.3619          -10.394  0.002    0   2 255 131 228   0   2    -99    -99  2395  2.983  11963 1 -10.552  0.003    0   2 255 113 243   0  12    -99    -99  1930  2.947  11963 1  
    49095.4983     5408    East         300       0x101bf       2.1452          -10.399  0.003    0   2 255 160 230   0   2    -99    -99  2765  3.203  11963 1 -10.564  0.005    0   2 255 158 244   0  12    -99    -99  2050  3.180  11963 1  
    49118.4801     6666    East         300       0x101bf       2.6299          -10.419  0.003    0   2  38 106   0   0   2    -99    -99  3574  5.156  11963 1 -10.556  0.004    0   2  32  81   0   0  12    -99    -99  2425  5.356  11963 1  
    49186.8439    10092    West         300       0x101bf       1.3042          -10.409  0.003    0   2  26 108   0   0   6    -99    -99 15750  4.897  11963 1 -10.550  0.003    0   2  33 102   0   0   8    -99    -99  6900  5.151  11963 1  
    49196.7957    10534    West         300       0x101bf       1.3639          -10.436  0.003    0   2  31  92   0   0   6    -99    -99  2686  4.813  11963 1 -10.578  0.003    0   2  33 114   0   0   8    -99    -99  2199  5.153  11963 1  
    49209.7917    11046    West         300       0x101bf       1.2807          -10.445  0.005    0   2  41  90   0   0   6    -99    -99  2892  7.021  11963 1 -10.581  0.006    0   2  47  67 135   0   8    -99    -99  2759  7.498  11963 1  
    49217.7011    11493    West         300       0x101bf       1.4983          -10.452  0.002    0   2 255 127 220   0   6    -99    -99  2385  3.166  11963 1 -10.592  0.003    0   2 255 131 234   0   8    -99    -99  2110  3.329  11963 1  
    49224.6939    11963    West         300       0x101bf       1.4514          -10.423  0.003    0   2 255 126 245   0   6    -99    -99  2823  2.590  11963 1 -10.568  0.005    0   2 255 126 250   0   8    -99    -99  2675  2.680  11963 1  
