!  Star 59.5433.11                         RA  05 13 21.255   DEC  -65 39 14.95
#  309 observations from the production databases
#  Field inception date: 50062.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.286         1596.74,  710.53             20
#    Blue:            -8.434         1575.38,  683.43             94
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    49001.5993     2762    West         300       0x101bf       1.2753           -8.271  0.003    0   1   0 136   0   0   3    -99    -99  3429  3.634  13488 1  -8.433  0.003    0   1   0 113   0   0  12    -99    -99  2987  3.540  13488 1  
    49021.7228     3299    East         300       0x101bf       2.2314              -99    -99  999 999 999 999 999 999   7    -99    -99  2558  4.718  13488 0     -99    -99  999 999 999 999 999 999   8    -99    -99  1614  5.145  13488 0  
    49042.6399     3655    East         300       0x101bf       1.9968           -8.266  0.003    0   1   0 170   0   0   7    -99    -99  2739  2.828  13488 1  -8.429  0.003    0   1   0 184   0   0   8    -99    -99  1722  3.113  13488 1  
    49048.6753     3942    East         300       0x101bf       2.5243           -8.216  0.005    0   1   0  96   0   0   7    -99    -99  2693  5.265  13488 1  -8.358  0.005    0   1   0 106   0   0   8    -99    -99  1815  5.730  13488 1  
    49094.5204     5316    East         300       0x101bf       2.1991           -8.278  0.005    0   1   0 122   0   0   7    -99    -99  3030  3.663  13488 1  -8.412  0.005    0   1   0 108   0   0   8    -99    -99  2339  3.990  13488 1  
    49114.5017     6492    East         300       0x101bf       2.5966           -8.235  0.011    0   1   0 101   0   0   7    -99    -99 18835  5.440  13488 1  -8.339  0.012    0   1   0  92   0   0   8    -99    -99 17247  5.876  13488 1  
    49123.4736     6950    East         300       0x00110       2.6058           -8.243  0.004    0   1   0 129   0   0   7    -99    -99  4300  3.584  13488 1  -8.386  0.004    0   1   0 113  95   0   8    -99    -99  2502  3.969  13488 1  
    49127.4852     7378    East         300       0x101bf       2.8556           -8.231  0.004    0   1   0  99   0   0   7    -99    -99  4367  3.366  13488 1  -8.377  0.004    0   1   0 109   0   0   8    -99    -99  2959  3.736  13488 1  
    49164.8166     9118    West         300       0x101bf       1.7233           -8.161  0.006    0   1   0  96   0   0   3    -99    -99  2762  5.160  13488 1  -8.341  0.005    0   1   0 111   0   0  12    -99    -99  2503  5.461  13488 1  
    49184.7543     9913    West         300       0x101bf       1.7721           -8.248  0.005    0   1   0 126   0   0   3    -99    -99  3257  4.673  13488 1  -8.398  0.004    0   1   0 114   0   0  12    -99    -99  2652  4.722  13488 1  
    49189.7895    10264    West         300       0x101bf       1.5066           -8.210  0.004    0   1   0 192   0   0   3    -99    -99  2364  3.775  13488 1  -8.361  0.003    0   1   0 171   0   0  12    -99    -99  2019  3.632  13488 1  
    49203.8040    10750    West         300       0x101bf       1.3256           -8.257  0.004    0   1   0 119   0   0   3    -99    -99  5886  3.532  13488 1  -8.393  0.004    0   1   0 131   0   0  12    -99    -99  9022  3.331  13488 1  
    49211.7852    11210    West         300       0x101bf       1.3169           -8.250  0.004    0   1   0 134   0   0   3    -99    -99  2110  4.459  13488 1  -8.393  0.004    0   1   0 148   0   0  12    -99    -99  1693  4.659  13488 1  
    49222.7076    11800    West         300       0x101bf       1.4748           -8.253  0.003    0   1   0 156   0   0   3    -99    -99  2055  3.268  13488 1  -8.409  0.003    0   1   0 139   0   0  12    -99    -99  2496  2.954  13488 1  
    49224.7894    11981    West         300       0x101bf       1.2324           -8.289  0.003    0   1   0 170   0   0   3    -99    -99  1805  3.303  13488 1  -8.433  0.003    0   1   0 145   0   0  12    -99    -99  1928  2.959  13488 1  
    49255.6482    12263    West         300       0x101bf       1.3666           -8.263  0.003    0   1   0 173   0   0   3    -99    -99  4671  3.177  13488 1  -8.438  0.004    0   1  20 152   0   0  12    -99    -99  5490  3.274  13488 1  
    49257.7278    12428    West         300       0x101bf       1.1929           -8.223  0.003    0   1   0 186   0   0   3    -99    -99  3629  2.581  13488 1  -8.384  0.003    0   1   0 209   0   0  12    -99    -99  5133  2.655  13488 1  
    49268.6367    12712    West         300       0x100bf       1.2995           -8.237  0.003    0   1   0 135   0   0   3    -99    -99  2394  4.102  13488 1  -8.397  0.003    0   1   0 136   0   0  12    -99    -99  2548  3.910  13488 1  
    49273.6035    12887    West         300       0x101bf       1.3521           -8.181  0.003    0   1   0 182   0   0   3    -99    -99  2022  3.127  13488 1  -8.345  0.003    0   1   0 161   0   0  12    -99    -99  2293  2.827  13488 1  
    49283.6415    13103    West         300       0x101bf       1.2118           -8.248  0.003    0   1   0 167   0   0   3    -99    -99  2091  2.797  13488 1  -8.385  0.002    0   1   0 165   0   0  12    -99    -99  2181  2.694  13488 1  
    49291.5892    13353    West         300       0x101bf       1.2663           -8.162  0.005    0   1   0 147   0   0   3    -99    -99  9803  3.641  13488 1  -8.321  0.004    0   1   0 129   0   0  12    -99    -99 11647  3.403  13488 1  
    49307.6910    13488    West         300       0x101bf       1.1747           -8.271  0.002    0   1   0 171   0   0   3    -99    -99  1778  2.535  13488 1  -8.427  0.002    0   1   0 156   0   0  12    -99    -99  1644  2.511  13488 1  
    49312.6725    13657    West         300       0x101bf       1.1714           -8.149  0.003    0   1   0 113   0   0   3    -99    -99  2007  3.994  13488 1  -8.282  0.003    0   1   0 131   0   0  12    -99    -99  1569  4.379  13488 1  
    49317.6621    13844    West         300       0x101bf       1.1736           -8.166  0.003    0   1   0 111   0   0   3    -99    -99  4737  3.275  13488 1  -8.316  0.003    0   1   0 117   0   0  12    -99    -99  5720  3.513  13488 1  
    49375.7098    14023    East         300       0x101bf       1.8552           -8.174  0.003    0   1   0 136   0   0   7    -99    -99  2761  2.894  13488 1  -8.355  0.003    0   1   0 155   0   0   8    -99    -99  1944  3.146  13488 1  
    49380.7120    14242    East         300       0x0013f       1.9768           -8.250  0.007    0   1   0  90   0   0   7    -99    -99 17730  4.228  13488 1  -8.378  0.009    0   1   0 106   0   0   8    -99    -99 25539  4.547  13488 1  
    49398.6989    14557    East         300       0x101bf       2.3143              -99    -99  999 999 999 999 999 999   7    -99    -99  3084  3.253  13488 0  -8.407  0.003    0   1   0 125   0   0   8    -99    -99  2182  3.469  13488 1  
    49409.7006    14841    East         300       0x100bf       2.6937              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.386  0.012    0   1   0 134 175   0   8    -99    -99 37669  4.764  13488 1  
    49424.6003    15191    East         300       0x101bf       2.0534              -99    -99  999 999 999 999 999 999   7    -99    -99  3520  4.467  13488 0  -8.335  0.004    0   1   0  99 204   0   8    -99    -99  2429  4.564  13488 1  
    49448.5837    16046    East         300       0x101bf       2.5669           -8.302  0.020    0   1   0  92   0   0   7    -99    -99  3756  6.877  13488 1  -8.382  0.022    0   1   0  87   0   0   8    -99    -99  2670  7.414  13488 1  
    49460.5572    16594    East         300       0x101bf       2.6426           -8.299  0.004    0   1   0 133   0   0   7    -99    -99  3094  4.240  13488 1  -8.460  0.004    0   1   0 130   0   0   8    -99    -99  2157  4.664  13488 1  
    49513.8356    19100    West         300       0x101bf       1.8956           -8.282  0.004    0   1   0 142   0   0   3    -99    -99  7105  3.254  13488 1  -8.419  0.003    0   1   0 150   0   0  12    -99    -99  3693  3.084  13488 1  
    49518.7951    19348    West         300       0x101bf       2.1186           -8.252  0.042    0   1   0 100   0   0   3    -99    -99  6090  5.278  13488 1  -8.401  0.037    0   1   0  79   0   0  12    -99    -99  5053  5.101  13488 1  
    49534.8096    19961    West         300       0x101bf       1.6869           -8.311  0.006    0   1   0 109   0   0   3    -99    -99  3851  5.451  13488 1  -8.468  0.006    0   1   0 104   0   0  12    -99    -99  3551  5.605  13488 1  
    49541.8331    20474    West         300       0x001bf       1.4768           -8.249  0.003    0   1   0 152   0   0   3    -99    -99  3863  3.001  13488 1  -8.398  0.003    0   1   0 153   0   0  12    -99    -99  2380  2.612  13488 1  
    49552.7271    21115    West         300       0x101bf       1.9096           -8.276  0.004    0   1   0 112   0   0   3    -99    -99  7070  3.400  13488 1  -8.410  0.004    0   1   0 120   0   0  12    -99    -99  5854  3.411  13488 1  
    49555.7726    21302    West         300       0x101bf       1.5775           -8.238  0.008    0   1   0  93   0   0   3    -99    -99 10901  5.440  13488 1  -8.356  0.009    0   1   0 104   0   0  12    -99    -99 14624  5.292  13488 1  
    49569.7879    22178    West         300       0x101bf       1.3652           -8.336  0.003    0   1   0 144   0   0   3    -99    -99  2454  3.373  13488 1  -8.471  0.003    0   1   0 147   0   0  12    -99    -99  2059  3.308  13488 1  
    49577.7797    22642    West         300       0x101bf       1.3255           -8.298  0.004    0   1   0 163   0   0   3    -99    -99  1853  4.770  13488 1  -8.448  0.004    0   1   0 117   0   0  12    -99    -99  1819  4.935  13488 1  
    49586.7342    23139    West         300       0x101bf       1.3884           -8.308  0.006    0   1   0 106   0   0   3    -99    -99  6183  5.144  13488 1  -8.441  0.008    0   1   0  84   0   0  12    -99    -99 11849  5.169  13488 1  
    49605.7199    24109    West         300       0x101bf       1.2841           -8.295  0.003    0   1   0 218   0   0   3    -99    -99  2315  1.860  13488 1  -8.447  0.003    0   1   0 171   0   0  12    -99    -99  2518  1.715  13488 1  
    49611.7477    24517    West         300       0x101bf       1.2054           -8.248  0.009    0   1   0 153   0   0   3    -99    -99  2590  7.076  13488 1  -8.431  0.009    0   1   0  90   0   0  12    -99    -99  2588  7.370  13488 1  
    49619.7162    24950    West         300       0x101bf       1.2189           -8.265  0.006    0   1   0 147   0   0   3    -99    -99  3636  5.416  13488 1  -8.410  0.006    0   1   0  90   0   0  12    -99    -99  3855  5.644  13488 1  
    49635.7066    25577    West         300       0x101bf       1.1792           -8.294  0.004    0   1   0 104   0   0   3    -99    -99  1711  4.930  13488 1  -8.435  0.004    0   1   0 108   0   0  12    -99    -99  1705  5.014  13488 1  
    49649.5948    26084    West         300       0x101bf       1.2958           -8.365  0.003    0   1   0 131   0   0   3    -99    -99  3679  2.292  13488 1  -8.507  0.003    0   1   0 153   0   0  12    -99    -99  3847  2.140  13488 1  
    49670.6383    26451    West         300       0x101bf       1.1633           -8.272  0.005    0   1   0 144   0   0   3    -99    -99  3548  4.837  13488 1  -8.425  0.006    0   1   0 104   0   0  12    -99    -99  5321  4.932  13488 1  
    49690.6155    26807    West         300       0x101bf       1.1616           -8.285  0.002    0   1   0 197   0   0   3    -99    -99  1429  2.017  13488 1  -8.460  0.002    0   1   0 192   0   0  12    -99    -99  1535  1.943  13488 1  
    49691.7306    26889    West         300       0x101bf       1.3239           -8.330  0.003    0   1   0 160   0   0   3    -99    -99  7050  2.877  13488 1  -8.509  0.003    0   1   0 185   0   0  12    -99    -99  3973  2.909  13488 1  
    49692.5155    26901    West         300       0x101bf       1.2211           -8.347  0.002    0   1   0 138   0   0   3    -99    -99  1900  2.843  13488 1  -8.520  0.002    0   1   0 119   0   0  12    -99    -99  2106  2.660  13488 1  
    49695.6980    27005    West         300       0x101bf       1.2715           -8.286  0.003    0   1   0 140   0   0   3    -99    -99  1664  4.340  13488 1  -8.442  0.003    0   1   0 138   0   0  12    -99    -99  1454  4.466  13488 1  
    49696.7161    27065    West         300       0x101bf       1.3217           -8.276  0.003    0   1   0 131   0   0   3    -99    -99  1820  3.358  13488 1  -8.444  0.003    0   1   0 129   0   0  12    -99    -99  1505  3.665  13488 1  
    49702.7181    27282    East         300       0x101bf       1.3758           -8.262  0.003    0   1   0 153   0   0   7    -99    -99  7241  3.027  13488 1  -8.428  0.003    0   1   0 158   0   0   8    -99    -99  5941  3.154  13488 1  
    49703.5447    27302    West         300       0x101bf       1.1646           -8.276  0.004    0   1   0 114   0   0   3    -99    -99 11869  2.999  13488 1  -8.428  0.004    0   1   0 131   0   0  12    -99    -99 12193  3.050  13488 1  
    49704.7276    27382    East         300       0x101bf       1.4270           -8.296  0.004    0   1   0 117   0   0   7    -99    -99 16015  3.409  13488 1  -8.478  0.004    0   1   0 130   0   0   8    -99    -99 13892  3.603  13488 1  
    49716.6495    27472    West         300       0x101bf       1.2916           -8.270  0.005    0   1   0 150   0   0   3    -99    -99  1907  5.276  13488 1  -8.442  0.004    0   1   0 138   0   0  12    -99    -99  1538  5.008  13488 1  
    49728.6532    27624    East         300       0x101bf       1.3954           -8.274  0.002    0   1   0 170   0   0   7    -99    -99  1822  2.432  13488 1  -8.448  0.002    0   1   0 166   0   0   8    -99    -99  1291  2.486  13488 1  
    49730.7312    27737    East         300       0x101bf       1.8101           -8.340  0.003    0   1   0 149   0   0   7    -99    -99  2171  3.601  13488 1  -8.503  0.003    0   1   0 153   0   0   8    -99    -99  1487  3.847  13488 1  
    49740.5036    27820    West         300       0x101bf       1.1729           -8.342  0.003    0   1   0 111   0   0   3    -99    -99  2194  3.241  13488 1  -8.502  0.002    0   1   0 140   0   0  12    -99    -99  1523  3.294  13488 1  
    49742.5640    27914    East         300       0x101bf       1.2593           -8.292  0.003    0   1   0 158   0   0   7    -99    -99  2422  4.036  13488 1  -8.463  0.003    0   1   0 180   0   0   8    -99    -99  1441  4.202  13488 1  
    49746.6391    28010    East         300       0x101bf       1.5351           -8.275  0.002    0   1   0 161   0   0   7    -99    -99  1809  2.507  13488 1  -8.469  0.002    0   1   0 157   0   0   8    -99    -99  1440  2.610  13488 1  
    49748.4822    28099    East         300       0x101bf       1.1720           -8.253  0.003    0   1   0 101   0   0   7    -99    -99  2277  3.920  13488 1  -8.419  0.003    0   1   0 108   0   0   8    -99    -99  1706  4.016  13488 1  
    49749.6584    28160    East         300       0x101bf       1.6774           -8.285  0.003    0   1   0 122   0   0   7    -99    -99  2011  3.331  13488 1  -8.427  0.003    0   1   0 199 186   0   8    -99    -99  1433  3.521  13488 1  
    49751.7223    28237    East         300       0x101bf       2.2150           -8.301  0.005    0   1   0 100   0   0   7    -99    -99  2396  5.390  13488 1  -8.447  0.005    0   1   0 116 201   0   8    -99    -99  1763  5.782  13488 1  
    49755.5738    28353    East         300       0x101bf       1.3770           -8.263  0.002    0   1   0 150   0   0   7    -99    -99  1431  2.967  13488 1  -8.440  0.002    0   1   0 135   0   0   8    -99    -99  1169  3.077  13488 1  
    49760.6421    28458    East         300       0x101bf       1.7615           -8.274  0.005    0   1   0 167   0   0   7    -99    -99  7084  2.997  13488 1  -8.462  0.005    0   1   0 156   0   0   8    -99    -99  7180  3.201  13488 1  
    49760.6598    28462    East         300       0x101af       1.8851           -8.277  0.003    0   1   0 129   0   0   7    -99    -99  7053  3.169  13488 1  -8.455  0.003    0   1   0 131   0   0   8    -99    -99  7025  3.365  13488 1  
    49766.7368    28609    East         300       0x101bf       2.8932           -8.275  0.007    0   1   0 102   0   0   7    -99    -99 10337  5.124  13488 1  -8.420  0.011    0   1   0 100   0   0   8    -99    -99 16770  5.641  13488 1  
    49787.6310    28790    East         300       0x101bf       2.2867           -8.286  0.003    0   1   0 107   0   0   7    -99    -99  2290  3.797  13488 1  -8.418  0.003    0   1   0 120   0   0   8    -99    -99  1826  4.077  13488 1  
    49789.6392    28915    East         300       0x101bf       2.4376           -8.295  0.004    0   1   0 115   0   0   7    -99    -99  6409  3.820  13488 1  -8.441  0.004    0   1   0 117   0   0   8    -99    -99  8131  4.120  13488 1  
    49791.6214    29007    East         300       0x101bf       2.2998           -8.282  0.006    0   1   0 122   0   0   7    -99    -99 10772  4.616  13488 1  -8.407  0.009    0   1   0  93   0   0   8    -99    -99 20350  5.078  13488 1  
    49795.6568    29140    East         300       0x101bf       2.8824           -8.317  0.004    0   1   0 117   0   0   7    -99    -99 11686  3.243  13488 1  -8.437  0.005    0   1   0 120   0   0   8    -99    -99 15327  3.569  13488 1  
    49800.5323    29362    East         300       0x101bf       1.7581           -8.296  0.003    0   1   0 162   0   0   7    -99    -99  2015  3.674  13488 1  -8.440  0.003    0   1   0 137   0   0   8    -99    -99  1515  3.787  13488 1  
    49802.5870    29476    East         300       0x101bf       2.2548           -8.321  0.003    0   1   0 138   0   0   7    -99    -99  2255  3.666  13488 1  -8.462  0.003    0   1   0 111 148   0   8    -99    -99  1846  3.958  13488 1  
    49805.5944    29580    East         300       0x101bf       2.4245           -8.384  0.003    0   1   0 162   0   0   7    -99    -99  2613  3.754  13488 1  -8.452  0.003    0   1   0 132   0   0   8    -99    -99  2003  4.114  13488 1  
