!  Star 6.6215.4137                        RA  05 18 27.780   DEC  -70 00 46.56
#  1092 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.363          663.43, 1716.63             14
#    Blue:            -7.310          640.19, 1701.28            100
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6738      284    West         300       0x101bf       2.1462           -8.351  0.011    0   1  12 133   0   0   2    -99    -99 12594  6.663   5671 1  -7.338  0.027    0   1  34 140   0   0  13    -99    -99 13466  6.852   5671 1  
    48824.6811      321    West         300       0x101bf       2.0786           -8.345  0.007    0   1   0 153   0   0   2    -99    -99 14795  4.120   5671 1  -7.282  0.016    0   1   0 132   0   0  13    -99    -99 13585  4.239   5671 1  
    48825.7030      351    West         300       0x101bf       1.8880           -8.328  0.004    0   1   0 152   0   0   2    -99    -99  9642  3.862   5671 1  -7.258  0.009    0   1   0 152   0   0  13    -99    -99  8402  3.942   5671 1  
    48826.6878      379    West         300       0x101bf       1.9921           -8.325  0.006    0   1   0 139   0   0   2    -99    -99  8707  5.068   5671 1  -7.304  0.012    0   1  17 121   0   0  13    -99    -99  6418  5.366   5671 1  
    48828.6426      394    West         300       0x101bf       2.2919           -8.333  0.009    0   1  13 132   0   0   2    -99    -99  8836  6.589   5671 1  -7.642  0.020  -12   1 255 208 204 104  13    -99    -99  5372  7.040   5671 1  
    48829.6603      429    West         300       0x101bf       2.1294           -8.310  0.003    0   1   0 161   0   0   2    -99    -99  6918  3.691   5671 1  -7.300  0.010   -4   1  51 123 143   0  13    -99    -99  5091  3.886   5671 1  
    48831.6588      458    West         300       0x101bf       2.0991              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.292  0.017    0   1  34 117   0   0  13    -99    -99  5232  6.556   5671 1  
    48832.6580      494    West         300       0x101bf       2.0854              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.594  0.013  -11   1  47 206 191   0  13    -99    -99  4814  6.298   5671 1  
    48833.7770      521    West         300       0x101bf       1.4640           -8.322  0.005    0   1   0 134   0   0   2    -99    -99  5139  5.353   5671 1  -7.303  0.011    0   1  18 125   0   0  13    -99    -99  4507  5.547   5671 1  
    48834.6439      557    West         300       0x101bf       2.1478           -8.358  0.005    0   1   0 182   0   0   2    -99    -99  6309  4.959   5671 1  -7.279  0.015   -9   1  78 154   0   0  13    -99    -99  4784  5.226   5671 1  
    48835.7116      650    West         300       0x101bf       1.7082              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.328  0.011    0   1  22 117   0   0  13    -99    -99  4019  5.865   5671 1  
    48836.6317      720    West         300       0x101bf       2.2000              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.357  0.008    0   1   1 125   0   0  13    -99    -99  4734  4.491   5671 1  
    48841.6413      748    West         300       0x101bf       2.0155              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.353  0.014    0   1  10 124   0   0  13    -99    -99 10695  5.239   5671 1  
    48842.6710      786    West         300       0x101bf       1.8122              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.331  0.019    0   1  25 142   0   0  13    -99    -99 12337  5.920   5671 1  
    48843.6361      821    West         300       0x101bf       2.0136              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.311  0.014    1   1   5 189   0   0  13    -99    -99 16326  4.869   5671 1  
    48850.6596      886    West         300       0x101bd       1.7599           -8.390  0.006    0   1   0 137   0   0   2    -99    -99 14346  4.943   5671 1  -7.402  0.015    0   1  14 147   0   0  13    -99    -99 19260  5.210   5671 1  
    48851.6821      901    West         300       0x101bd       1.6374           -8.356  0.005    0   1   0 138   0   0   2    -99    -99 12075  4.894   5671 1  -7.350  0.013    0   1  10 137   0   0  13    -99    -99 13954  5.103   5671 1  
    48853.7841      941    West         300       0x101bf       1.3098           -8.328  0.008    0   1   7 127   0   0   2    -99    -99  9474  6.173   5671 1  -7.334  0.019    0   1  30 131   0   0  13    -99    -99  8761  6.514   5671 1  
    48854.7531      990    West         300       0x101bf       1.3689           -8.345  0.004    0   1   0 182 172   0   2    -99    -99  7783  4.268   5671 1  -7.298  0.008    0   1   0 136   0   0  13    -99    -99  7226  4.187   5671 1  
    48855.7164     1035    West         300       0x101bf       1.4637           -8.329  0.006  -41   1  62 196   0   0   2    -99    -99  7196  3.249   5671 1  -7.287  0.008  -36   1  43 154   0   0  13    -99    -99  6534  3.053   5671 1  
    48856.8055     1092    West         300       0x101bf       1.2644              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.283  0.007    0   1   0 124   0   0  13    -99    -99  5489  3.802   5671 1  
    48884.6548     1111    West         300       0x101bf       1.4298           -8.364  0.003    0   1   0 157   0   0   2    -99    -99  6504  4.159   5671 1  -7.323  0.006    0   1   0 123   0   0  13    -99    -99  5941  3.962   5671 1  
