!  Star 6.6696.60                          RA  05 21 47.997   DEC  -70 09 57.41
#  1086 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -7.762         1129.17,  842.25              6
#    Blue:            -6.732         1136.49,  848.74            118
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6738      284    West         300       0x101bf       2.1462           -3.226  1.744    0   5  83 105   0   0   1    -99    -99 13609  6.708   5671 1  -2.543  3.057    0   5  97 123   0   0  15    -99    -99 12454  7.006   5671 1  
    48824.6811      321    West         300       0x101bf       2.0786              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -2.795  1.134    0   5  59 126   0   0  15    -99    -99 12514  4.239   5671 1  
    48825.7030      351    West         300       0x101bf       1.8880           -2.362  1.094    0   5  40  98   0   0   1    -99    -99 10358  3.886   5671 1  -2.684   -736    9   5  52  95   0   0  15    -99    -99  7776  3.990   5671 1  
    48826.6878      379    West         300       0x101bf       1.9921           -3.598  0.541    0   5  54  79   0   0   1    -99    -99  9424  4.956   5671 1  -3.519  0.537    0   5  73  99   0   0  15    -99    -99  5947  5.253   5671 1  
    48828.6426      394    West         300       0x101bf       2.2919           -3.914  0.736    0   5  75  94   0   0   1    -99    -99  9711  6.452   5671 1  -2.658  2.202    0   5  95 101  67 176  15    -99    -99  4913  7.025   5671 1  
    48829.6603      429    West         300       0x101bf       2.1294           -1.147  -2478    0   5  23  94   0   0   1    -99    -99  7446  3.659   5671 1  -0.916  -2892    0   5  43  93   0   0  15    -99    -99  4623  3.919   5671 1  
    48831.6588      458    West         300       0x101bf       2.0991           -4.480  0.366    0   5  74  79   0   0   1    -99    -99  6825  6.086   5671 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48832.6580      494    West         300       0x101bf       2.0854           -3.549  0.773    0   5  68  79   0   0   1    -99    -99  6512  5.903   5671 1  -0.204    -99    0   5  88  74   0   0  15    -99    -99  4333  6.278   5671 0  
    48833.7770      521    West         300       0x101bf       1.4640           -1.246  -4881   -2   5  63  76   0   0   1    -99    -99  5598  5.218   5671 1  -3.620  0.496  -17   5  82  75   0   0  15    -99    -99  4129  5.388   5671 1  
    48834.6439      557    West         300       0x101bf       2.1478           -0.161 29.999    0   5  55  78   0   0   1    -99    -99  6761  4.848   5671 1  -0.040    -99   15   5  75  78   0   0  15    -99    -99  4218  5.219   5671 0  
    48835.7116      650    West         300       0x101bf       1.7082           -3.344  0.795    0   5  62  58   0   0   1    -99    -99  6119  5.510   5671 1  -2.470  1.577    0   5  85  69   0   0  15    -99    -99  3588  5.827   5671 1  
    48836.6317      720    West         300       0x101bf       2.2000           -3.917  0.258    0   5  40 121   0   0   1    -99    -99  6982  4.195   5671 1  -1.633  2.011    2   5  61  87   0   0  15    -99    -99  4258  4.497   5671 1  
    48841.6413      748    West         300       0x101bf       2.0155           -0.720  8.555    0   5  59 103   0   0   1    -99    -99 14711  4.825   5671 1  -2.129  -2160    0   5  71 109   0   0  15    -99    -99  9977  5.108   5671 1  
