!  Star 60.7474.723                        RA  05 26 27.224   DEC  -66 42 58.47
#  310 observations from the production databases
#  Field inception date: 50062.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.869         1894.62, 1783.38              0
#    Blue:            -8.538         1892.26, 1773.39            111
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    49001.6046     2763    West         300       0x101bf       1.2839           -8.883  0.002    0   1   0 210   0   0   1    -99    -99  3808  3.870   5319 1  -8.665  0.002    0   1   0 189   0   0  14    -99    -99  2768  3.692   5319 1  
    49020.7536     3242    East         300       0x101bf       2.3974           -8.924  0.003    0   1  10 178   0   0   5    -99    -99  2080  5.343   5319 1  -8.610  0.003    0   1  10 176   0   0  10    -99    -99  2013  5.474   5319 1  
    49042.6443     3656    East         300       0x101bf       1.9522           -9.035  0.002    0   1   0 196   0   0   5    -99    -99  2707  3.023   5319 1  -8.851  0.002    0   1   0 207   0   0  10    -99    -99  1841  3.119   5319 1  
    49048.6797     3943    East         300       0x101bf       2.4271           -9.001  0.004    0   1   8 103   0   0   5    -99    -99  2686  5.995   5319 1  -8.751  0.005    0   1  24  99   0   0  10    -99    -99  1961  6.341   5319 1  
    49094.5341     5319    East         300       0x101bf       2.2198           -8.860  0.002    0   1   0 178   0   0   5    -99    -99  2967  2.846   5319 1  -8.534  0.002    0   1   0 163   0   0  10    -99    -99  2450  2.891   5319 1  
    49114.5196     6496    East         300       0x101bf       2.6455           -9.056  0.011    0   1   0  98   0   0   5    -99    -99 43898  4.792   5319 1  -8.771  0.012    0   1   0 101   0   0  10    -99    -99 34614  5.009   5319 1  
    49123.5110     6956    East         300       0x101bf       2.8435           -9.166  0.002    0   1   0 169   0   0   5    -99    -99  3993  3.786   5319 1  -8.951  0.002    0   1   0 164   0   0  10    -99    -99  2632  4.053   5319 1  
    49127.4901     7379    East         300       0x101bf       2.7228           -9.076  0.002    0   1   0 181   0   0   5    -99    -99  4134  3.126   5319 1  -8.818  0.002    0   1   0 169   0   0  10    -99    -99  2985  3.197   5319 1  
    49146.4520     8271    East         300       0x101bf       2.8995           -8.796  0.011    0   1  49  64   0   0   5    -99    -99  5025  7.815   5319 1  -8.510  0.013    0   1  57  68   0   0  10    -99    -99  3756  8.305   5319 1  
    49165.7459     9201    West         300       0x101bf       2.2989           -9.111  0.004    0   1  20 103   0   0   1    -99    -99  3940  6.259   5319 1  -8.886  0.005    0   1  24  97   0   0  14    -99    -99  2873  6.654   5319 1  
    49184.8037     9922    West         300       0x101bf       1.5384           -8.903  0.002    0   1   0 253   0   0   1    -99    -99  2642  3.230   5319 1  -8.689  0.002    0   1   0 228   0   0  14    -99    -99  2070  3.256   5319 1  
    49189.8208    10271    West         300       0x101bf       1.4180           -8.958  0.002    0   1   0 190   0   0   1    -99    -99  2243  4.045   5319 1  -8.712  0.002    0   1   0 148   0   0  14    -99    -99  1711  4.166   5319 1  
    49208.7602    10962    West         300       0x101bf       1.4521           -8.907  0.004    0   1   0 110   0   0   1    -99    -99  7656  4.496   5319 1  -8.653  0.005    0   1   0 100   0   0  14    -99    -99  6345  4.647   5319 1  
    49215.7773    11332    West         300       0x101bf       1.3378           -8.821  0.004    0   1   0 142   0   0   1    -99    -99  2791  5.377   5319 1  -8.624  0.004    0   1   4 126   0   0  14    -99    -99  2082  5.757   5319 1  
    49222.7354    11806    West         300       0x101bf       1.4053           -8.913  0.002    0   1   0 214   0   0   1    -99    -99  2171  3.216   5319 1  -8.685  0.002    0   1   0 188   0   0  14    -99    -99  2171  2.935   5319 1  
    49255.6795    12270    West         300       0x101bf       1.3106           -8.876  0.002    0   1   9 204   0   0   1    -99    -99  4112  3.561   5319 1  -8.658  0.003    0   1  17 221   0   0  14    -99    -99  3894  4.161   5319 1  
    49260.6272    12527    West         300       0x101bf       1.4211           -8.849  0.002    0   1   0 213   0   0   1    -99    -99 12014  3.256   5319 1  -8.579  0.003    0   1   0 170   0   0  14    -99    -99 19495  2.941   5319 1  
    49268.6684    12719    West         300       0x101bf       1.2595           -8.982  0.001    0   1   0 209   0   0   1    -99    -99  2860  3.060   5319 1  -8.693  0.002    0   1   0 201   0   0  14    -99    -99  2676  2.904   5319 1  
    49273.6651    12894    West         300       0x101bf       1.2417           -8.993  0.001    0   1   0 217   0   0   1    -99    -99  2424  3.163   5319 1  -8.699  0.002    0   1   0 211   0   0  14    -99    -99  2132  3.075   5319 1  
    49283.6726    13110    West         300       0x101bf       1.1983           -8.867  0.002    0   1   0 226   0   0   1    -99    -99  1814  3.370   5319 1  -8.626  0.002    0   1   0 192   0   0  14    -99    -99  1755  3.146   5319 1  
    49291.6219    13360    West         300       0x101bf       1.2323           -8.903  0.005    0   1   0 116   0   0   1    -99    -99 30521  3.808   5319 1  -8.747  0.005    0   1   0  96   0   0  14    -99    -99 22691  3.703   5319 1  
    49291.6417    13361    West         300       0x101bf       1.2073           -8.927  0.002    0   1   0 204   0   0   1    -99    -99 10176  3.640   5319 1  -8.749  0.003    0   1   0 193   0   0  14    -99    -99 11215  4.050   5319 1  
    49307.7316    13496    West         300       0x101bf       1.2239           -8.942  0.001    0   1   0 235   0   0   1    -99    -99  3232  2.731   5319 1  -8.627  0.002    0   1   0 194   0   0  14    -99    -99  1876  2.541   5319 1  
    49313.5905    13704    West         300       0x101bf       1.1983           -8.909  0.002    0   1   0 164   0   0   1    -99    -99  2991  3.332   5319 1  -8.596  0.002    0   1   0 164   0   0  14    -99    -99  2934  3.402   5319 1  
    49376.5948    14058    West         300       0x101bf       1.3202           -8.872  0.002    0   1   0 188   0   0   1    -99    -99  6064  2.727   5319 1  -8.543  0.002    0   1   0 190   0   0  14    -99    -99  5251  2.851   5319 1  
    49386.6762    14379    East         300       0x101bf       1.7701           -8.780  0.002    0   1   0 247   0   0   5    -99    -99  3674  3.938   5319 1  -8.435  0.003    0   1   0 213   0   0  10    -99    -99  3418  3.868   5319 1  
