!  Star 61.8559.32                         RA  05 32 56.271   DEC  -67 00 50.62
#  425 observations from the production databases
#  Field inception date: 50062.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.099          325.28,  450.92             19
#    Blue:           -10.289          324.19,  431.07             99
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    49001.6091     2764    West         300       0x101bf       1.2833           -9.566  0.050    0   3 255  80 231 117   3    -99    -99  3963  3.636  13473 1 -10.372  0.020    0   3 255 140 249   0  13    -99    -99  3173  3.594  13473 1  
    49020.7581     3243    East         300       0x101bf       2.3872          -10.068  0.036    0   3 138 106   0   0   7    -99    -99  2495  5.544  13473 1 -10.765  0.022    0   3 111 113   0   0   9    -99    -99  2339  5.633  13473 1  
    49042.6488     3657    East         300       0x101bf       1.9466           -9.521  0.031    0   3 255 120 240   1   7    -99    -99  2829  2.620  13473 1 -10.299  0.028    0   5 255 140 251   0   9    -99    -99  1865  2.724  13473 1  
    49043.6948     3730    East         300       0x101bf       2.3841           -9.664  0.038    0   3 255  92 231   0   7    -99    -99  3074  3.385  13473 1  -9.823  0.143    0   3 255  28 242   0   9    -99    -99  1961  3.484  13473 1  
    49068.5945     4499    East         300       0x101bf       2.0772           -9.566  0.044    0   3 255  50 228   0   7    -99    -99  2670  3.397  13473 1 -10.451  0.006    0   3 255 247 238   0   9    -99    -99  1917  3.464  13473 1  
    49080.6325     4859    East         300       0x101bf       2.8318           -9.740  0.038    0   3 255 104 231   0   7    -99    -99  9487  3.334  13473 1 -10.348  0.042    0   3 255 119 246   0   9    -99    -99 12864  3.487  13473 1  
    49108.5107     6153    East         300       0x101bf       2.3075           -9.927  0.041    0   3 140  89   0   0   7    -99    -99 13347  3.999  13473 1 -10.751  0.007    0   3  71 206   0   0   9    -99    -99 12942  4.234  13473 1  
    49112.5122     6401    East         300       0x101bf       2.4361           -9.711  0.031    0   3 255  78 242   0   7    -99    -99 21830  3.107  13473 1 -10.603  0.019    0   3 255 134 251   0   9    -99    -99 28277  3.301  13473 1  
    49120.4827     6728    East         300       0x101bf       2.3537          -10.446  0.031    0   3 129  99   0   0   7    -99    -99  3727  8.761  13473 1 -10.375  0.126    0   3 135  47   0   0   9    -99    -99  2454  9.319  13473 1  
    49125.4832     7158    East         300       0x101bf       2.5107           -9.631  0.030    0   3 255 104 232   0   7    -99    -99  3472  2.904  13473 1  -9.774  0.166    0   3 255  44 248  24   9    -99    -99  2236  3.021  13473 1  
    49135.4512     7778    East         300       0x101bf       2.4565           -9.574  0.039    0   3 255  94 233   0   7    -99    -99  4666  3.279  13473 1 -10.001  0.086    0   3 255  72 245   0   9    -99    -99  4422  3.339  13473 1  
    49145.4460     8213    East         300       0x101bf       2.7151          -10.323  0.039    0   3 135  79   0   0   7    -99    -99 10869  8.475  13473 1 -10.369  0.112    0   3 134  60   0   0   9    -99    -99  8883  8.832  13473 1  
    49163.8063     9010    West         300       0x101bf       1.8761           -9.771  0.046    0   3 136  91   0   0   3    -99    -99  2861  3.972  13473 1 -10.086  0.069    0   3 255  64 238   0  13    -99    -99  2529  4.141  13473 1  
    49180.8127     9655    West         300       0x100af       1.5704              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    49188.8105    10181    West         300       0x101bf       1.4846           -9.940  0.045    0   3 139  81   0   0   3    -99    -99  1962  4.953  13473 1 -10.628  0.013    0   3 255 168 210   0  13    -99    -99  1449  5.121  13473 1  
    49203.7302    10734    West         300       0x101bf       1.6716           -9.776  0.046    0   3 255  70 204   0   3    -99    -99  8168  3.860  13473 1 -10.402  0.028    0   3 255 123 244   0  13    -99    -99 12683  4.016  13473 1  
    49210.7692    11143    West         300       0x101bf       1.4183           -9.895  0.046    0   3 141  72   0   0   3    -99    -99  3100  4.558  13473 1 -10.530  0.012    0   3 255 176 237   0  13    -99    -99  2633  4.651  13473 1  
    49218.7593    11572    West         300       0x101bf       1.3806           -9.710  0.045    0   3 136 101 180   0   3    -99    -99  2911  3.442  13473 1  -9.840  0.063    0   3 255  25 243   0  13    -99    -99  2863  3.397  13473 1  
