!  Star 62.7360.41                         RA  05 25 45.674   DEC  -66 16 53.69
#  386 observations from the production databases
#  Field inception date: 50445.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.225          871.42,  777.06            122
#    Blue:            -8.420          880.01,  783.98            117
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    49001.6136     2765    West         300       0x101bf       1.3020              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.456  0.002    0   1   0 182   0   0  15    -99    -99  3170  3.627   7272 1  
    49021.7273     3300    East         300       0x101bf       2.2015           -8.194  0.004    0   1  18 186   0   0   4    -99    -99  2659  4.627   7272 1  -8.436  0.003    0   1   0 211   0   0  11    -99    -99  1809  4.436   7272 1  
    49042.6533     3658    East         300       0x101bf       2.0515           -8.219  0.003    0   1   0 153   0   0   4    -99    -99  2997  3.199   7272 1  -8.439  0.002    0   1   0 184   0   0  11    -99    -99  2220  3.085   7272 1  
    49045.6898     3847    East         300       0x101bf       2.5022           -8.221  0.005    0   1  22 100   0   0   4    -99    -99  2349  5.128   7272 1  -8.449  0.004    0   1   0 139   0   0  11    -99    -99  1972  5.389   7272 1  
    49083.6099     4996    East         300       0x101bf       2.7892           -8.226  0.014    0   1  26  94   0   0   4    -99    -99 31974  5.806   7272 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    49095.5621     5422    East         300       0x101bf       2.6009           -8.223  0.003    3   1   0 172   0   0   4    -99    -99  2769  3.492   7272 1  -8.450  0.002    0   1   0 177   0   0  11    -99    -99  2430  3.233   7272 1  
    49114.4740     6486    East         300       0x101bf       2.2014           -8.191  0.006    0   1  14  92   0   0   4    -99    -99 16039  4.687   7272 1  -8.405  0.005    0   1   0 102   0   0  11    -99    -99 16325  4.825   7272 1  
    49123.4601     6946    East         300       0x101bf       2.3054           -8.198  0.003    0   1   9 141   0   0   4    -99    -99  4105  3.561   7272 1  -8.421  0.003    0   1   0 175   0   0  11    -99    -99  2656  3.696   7272 1  
    49126.4848     7272    East         300       0x101bf       2.6913           -8.227  0.003    0   1   0 186   0   0   4    -99    -99  4000  2.569   7272 1  -8.414  0.004    0   1  26 171   0   0  11    -99    -99  2740  2.692   7272 1  
    49144.4446     8115    East         300       0x101bf       2.8079           -8.220  0.013    0   1  30  95   0   0   4    -99    -99 14604  6.894   7272 1  -8.445  0.012    0   1  13 105   0   0  11    -99    -99 14723  7.269   7272 1  
