!  Star 67.9643.8                          RA  05 39 38.524   DEC  -67 19 22.93
#  307 observations from the production databases
#  Field inception date: 50062.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -11.532          892.54,  321.54             34
#    Blue:           -12.134          880.88,  328.92             72
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    49006.5789     2873    West         300       0x101bf       1.2421          -11.559  9.999    0  13   0 253   0   0   5    -99    -99  1627  3.264  13497 1 -12.416  0.002    0  13 255 253 245   0  10    -99    -99  1547  3.116  13497 1  
    49021.7407     3303    East         300       0x101bf       2.1920          -11.541  9.999    0  13   0 186   0   0   1    -99    -99  2556  5.086  13497 1 -12.130  9.999    0  13   0 253 238   0  14    -99    -99  1468  5.398  13497 1  
    49042.6803     3664    East         300       0x101bf       2.1658          -11.526  9.999    0  13   0 206   0   0   1    -99    -99  2875  3.129  13497 1 -12.531  0.002    0  13 255 253 252   1  14    -99    -99  1711  3.441  13497 1  
    49048.6842     3944    East         300       0x101bf       2.3634          -11.536  9.999    0  13   0 145   0   0   1    -99    -99  2691  5.170  13497 1 -12.131  9.999    0  13   0 179 190   0  14    -99    -99  1794  5.334  13497 1  
    49094.5385     5320    East         300       0x101bf       2.1643          -11.549  0.003    0  13   0 253 220   0   1    -99    -99  2989  3.074  13497 1 -12.144  0.002    0  13   0 176   0   0  14    -99    -99  2143  3.302  13497 1  
    49114.5240     6497    East         300       0x101bf       2.5741          -11.549  9.999    0  13   0 110   0   0   1    -99    -99 37348  4.838  13497 1 -12.143  0.004    0  13   0 175   0   0  14    -99    -99 27097  5.131  13497 1  
    49123.5199     6958    East         300       0x101bf       2.8247          -11.538  0.002    0  13   0 189   0   0   1    -99    -99  4067  3.930  13497 1 -12.141  0.001    0  13   0 253   0   0  14    -99    -99  2338  4.391  13497 1  
    49126.5074     7277    East         300       0x101bf       2.7759          -11.541  0.003    0  13   0 183   0   0   1    -99    -99  3606  3.167  13497 1 -12.154  9.999    0  13   0 253 199   0  14    -99    -99  2148  3.498  13497 1  
    49144.4717     8120    East         300       0x101bf       2.9527          -11.516  0.010    0  13   0  90   0   0   1    -99    -99 16425  7.236  13497 1 -12.144  0.005    0  13   0 167   0   0  14    -99    -99 14687  7.861  13497 1  
    49165.7506     9202    West         300       0x101bf       2.3596          -11.533  0.003    0  13   0 158   0   0   5    -99    -99  3591  5.553  13497 1 -12.128  0.002    0  13   0 242   0   0  10    -99    -99  2800  5.612  13497 1  
    49184.8082     9923    West         300       0x101bf       1.5658          -11.536  0.001    0  13   0 215   0   0   5    -99    -99  2619  3.338  13497 1 -12.387  0.053    0  13 255  68 235   0  10    -99    -99  2389  3.200  13497 1  
    49189.8252    10272    West         300       0x101bf       1.4394          -11.543  9.999    0  13 255 200   0   0   5    -99    -99  2308  4.238  13497 1 -12.810  0.001    0  13   0 253   0   0  10    -99    -99  2033  4.167  13497 1  
    49208.7647    10963    West         300       0x101bf       1.4747          -11.545  9.999    0  13 255 207 151   0   5    -99    -99  4017  4.539  13497 1 -12.126  9.999    0  13   0 217   0   0  10    -99    -99  4356  4.570  13497 1  
    49215.7818    11333    West         300       0x101bf       1.3542          -11.536  9.999    0  13 255 146   0   0   5    -99    -99  3070  6.481  13497 1 -12.119  0.002    0  13   0 177   0   0  10    -99    -99  2634  6.858  13497 1  
    49222.7399    11807    West         300       0x101bf       1.4253          -11.536  0.001    0  13 255 249 232   0   5    -99    -99  2293  3.483  13497 1 -12.388  0.002    0  13   0 192   0   0  10    -99    -99  2540  3.104  13497 1  
    49255.6841    12271    West         300       0x101bf       1.3247          -11.544  0.002    0  13 255 253 234   0   5    -99    -99  4022  3.714  13497 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    49260.6357    12528    West         300       0x101bf       1.4280          -11.841  0.002    0  13   0 198   0   0   5    -99    -99 12163  2.734  13497 1 -12.099  9.999    0  13 255 145 244   0  10    -99    -99 13564  2.432  13497 1  
    49268.6728    12720    West         300       0x101bf       1.2707          -12.040  0.001    0  13 255 251 240   0   5    -99    -99  2859  3.265  13497 1 -12.351  0.001    0  13 255 197 222   0  10    -99    -99  3129  2.982  13497 1  
    49273.6700    12895    West         300       0x101bf       1.2507          -12.103  0.001    0  13   0 209   0   0   5    -99    -99  2352  3.371  13497 1 -12.505  0.001    0  13 255 236 237   0  10    -99    -99  2382  3.234  13497 1  
    49283.6770    13111    West         300       0x101bf       1.2040          -12.178  0.001    0  13   0 224   0   0   5    -99    -99  1733  3.533  13497 1 -12.533  0.018    0  13  34  88   0   0  10    -99    -99  1970  3.334  13497 1  
    49291.6464    13362    West         300       0x101bf       1.2136          -12.245  0.002    0  13 255 251 245   0   5    -99    -99  9707  3.554  13497 1 -12.915  9.999    0  13 255 216 241   0  10    -99    -99 13164  3.716  13497 1  
    49307.7362    13497    West         300       0x101bf       1.2160          -11.566  0.002    0  13 255 176 253   0   5    -99    -99  5522  2.488  13497 1 -11.998  9.999    0  13   0 184 253   0  10    -99    -99  3091  2.514  13497 1  
    49313.6017    13706    West         300       0x101bf       1.1975          -12.092  9.999    0  13 255 171   0   0   5    -99    -99  2787  3.333  13497 1 -12.641  0.047    0  13 255   0 239   0  10    -99    -99  3144  3.466  13497 1  
    49376.5995    14059    West         300       0x101bf       1.3062          -11.685  0.001    0  13 255 218 211   0   5    -99    -99  6007  2.594  13497 1 -12.065  9.999    0  13   0 216 233   0  10    -99    -99  5920  2.594  13497 1  
    49386.6809    14380    East         300       0x101bf       1.7345          -11.538  9.999    0  13   0 248 240   0   1    -99    -99  3562  3.636  13497 1 -12.137  0.002    0  13 255 253 247   0  14    -99    -99  2909  3.704  13497 1  
    49399.6233    14597    East         300       0x101bf       1.6131          -11.542  0.027    0  13  61  27   0   0   1    -99    -99  2265  4.210  13497 1 -13.008  0.001    0  13 255 211 230   0  14    -99    -99  1689  4.311  13497 1  
    49409.7209    14845    East         300       0x100bf       2.6400          -11.529  0.003    0  13   0 178   0   0   1    -99    -99 19602  4.063  13497 1 -13.589  9.999    0  13   0 195 243   0  14    -99    -99 32524  4.355  13497 1  
    49424.6374    15199    East         300       0x101bf       2.1953          -11.517  0.003    0  13   0 137   0   0   1    -99    -99  3609  5.500  13497 1 -12.128  0.001    0  13   0 206 163   0  14    -99    -99  2456  5.804  13497 1  
    49448.6019    16050    East         300       0x101bf       2.5007          -11.522  9.999    0  13   0 195   0   0   1    -99    -99  3403  6.508  13497 1 -12.128  9.999    0  13   0 216   0   0  14    -99    -99  2490  7.120  13497 1  
    49460.5660    16596    East         300       0x101af       2.4637          -11.539  0.004    0  13   0 253 220   0   1    -99    -99  3042  3.727  13497 1 -12.693  9.999    0  13   0  53 228  67  14    -99    -99  1986  3.996  13497 1  
