!  Star 69.11947.14                        RA  05 53 26.027   DEC  -66 58 52.25
#  276 observations from the production databases
#  Field inception date: 50235.0833
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.920          135.14,  737.20             23
#    Blue:            -8.726          140.49,  713.47             98
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    49006.5879     2875    West         300       0x101bf       1.2438           -8.747  0.002    0   1   0 123   0   0   3    -99    -99  1495  3.930  11819 1  -8.585  0.003    0   1   0 122   0   0  13    -99    -99  1394  3.975  11819 1  
    49021.7527     3306    East         300       0x101bf       2.2208              -99    -99  999 999 999 999 999 999   7    -99    -99  3321  5.757  11819 0     -99    -99  999 999 999 999 999 999   9    -99    -99  1894  5.900  11819 0  
    49042.6907     3666    East         300       0x101bf       2.1788           -9.080  0.002    0   1   0 188   0   0   7    -99    -99  2985  3.192  11819 1  -9.069  0.002    0   1   0 208   0   0   9    -99    -99  1872  3.375  11819 1  
    49048.7091     3949    East         300       0x101bf       2.5364           -9.089  0.008    0   1  16 111   0   0   7    -99    -99  2586  9.204  11819 1  -8.997  0.010    0   1  16  95   0   0   9    -99    -99  1868  9.530  11819 1  
    49094.5746     5328    East         300       0x101bf       2.4333           -8.854  0.003    0   1   0 130   0   0   7    -99    -99  3353  2.816  11819 1  -8.616  0.004    0   1   0 115   0   0   9    -99    -99  2422  2.976  11819 1  
    49114.5619     6505    East         300       0x101bf       2.9341           -9.191  0.004    0   1   0 112   0   0   7    -99    -99 23038  4.790  11819 1  -9.032  0.005    0   1   0 115   0   0   9    -99    -99 21983  5.136  11819 1  
    49123.5391     6962    East         300       0x101bf       2.9557           -8.912  0.003    0   1   0 139   0   0   7    -99    -99  4094  3.986  11819 1  -8.655  0.003    0   1   0 107   0   0   9    -99    -99  2636  4.296  11819 1  
    49127.5044     7382    East         300       0x101bf       2.6588           -8.700  0.002    0   1   0 153   0   0   7    -99    -99  3466  3.570  11819 1  -8.394  0.003    0   1   0 142   0   0   9    -99    -99  2215  3.693  11819 1  
    49165.8227     9216    West         300       0x101bf       1.8222           -8.958  0.005    0   1   0 159   0   0   3    -99    -99  4439  4.843  11819 1  -9.024  0.005    0   1   6 195   0   0  13    -99    -99  4568  4.943  11819 1  
    49186.7952    10082    West         300       0x101bf       1.6457           -9.073  0.005    0   1   0  99   0   0   3    -99    -99  4397  5.257  11819 1  -8.887  0.006    0   1   0  95   0   0  13    -99    -99  3831  5.479  11819 1  
    49194.8104    10386    West         300       0x101bf       1.4762           -8.816  0.003    0   1   0 182   0   0   3    -99    -99  2526  4.459  11819 1  -8.681  0.003    0   1   0 153   0   0  13    -99    -99  2157  4.492  11819 1  
    49209.7468    11036    West         300       0x101bf       1.5745           -9.165  0.003    0   1   0 118   0   0   3    -99    -99  2775  5.962  11819 1  -8.998  0.004    0   1   0 110   0   0  13    -99    -99  3019  6.227  11819 1  
    49216.7463    11401    West         300       0x101bf       1.4944           -9.077  0.003    0   1   0 124   0   0   3    -99    -99  2459  5.314  11819 1  -8.873  0.004    0   1   0 114   0   0  13    -99    -99  2162  5.542  11819 1  
    49222.8123    11819    West         300       0x101bf       1.2613           -8.908  0.002    0   1   0 186   0   0   3    -99    -99  3015  2.661  11819 1  -8.725  0.002    0   1   0 185   0   0  13    -99    -99  2493  2.562  11819 1  
    49255.7502    12284    West         300       0x101bf       1.2215           -8.676  0.003    0   1   0 156   0   0   3    -99    -99  2100  4.220  11819 1  -8.447  0.003    0   1   0 149   0   0  13    -99    -99  2093  4.402  11819 1  
    49269.6632    12762    West         300       0x101bf       1.3043           -9.167  0.003    0   1   0 159   0   0   3    -99    -99  2722  5.330  11819 1  -9.048  0.003    0   1   0 158   0   0  13    -99    -99  2649  5.615  11819 1  
