!  Star 7.7291.2                           RA  05 25 20.682   DEC  -70 50 07.92
#  1353 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.355         1579.46,   60.66             32
#    Blue:            -8.774         1555.61,   72.44             80
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6794      285    West         300       0x101bf       2.1449           -9.368  0.005    0   1   8 124   0   0   5    -99    -99 12524  6.617   2419 1  -8.810  0.008    0   1  20 125   0   0  11    -99    -99 13750  6.522   2419 1  
    48824.6859      322    West         300       0x101bf       2.0816           -9.390  0.007    0   1   0 149   0   0   5    -99    -99 21312  4.286   2419 1  -8.784  0.011   -6   1   0 144   0   0  11    -99    -99 19007  4.092   2419 1  
    48825.7121      352    West         300       0x101bf       1.8615           -9.384  0.003    0   1   3 199   0   0   5    -99    -99  9098  5.536   2419 1  -8.806  0.004    0   1   0 179   0   0  11    -99    -99  8394  5.300   2419 1  
    48826.6955      381    West         300       0x101bf       1.9462           -9.377  0.003    0   1   0 146   0   0   5    -99    -99  8641  4.800   2419 1  -8.795  0.004    0   1   2 139   0   0  11    -99    -99  6472  4.950   2419 1  
    48828.6581      397    West         300       0x101bf       2.2061           -9.361  0.004    0   1  11 124   0   0   5    -99    -99  8389  6.239   2419 1  -8.788  0.006    0   1  18 122   0   0  11    -99    -99  5134  6.509   2419 1  
    48829.6711      430    West         300       0x101bf       2.0894           -9.362  0.002    0   1   0 184   0   0   5    -99    -99  6280  3.838   2419 1  -8.788  0.003    0   1   0 180   0   0  11    -99    -99  4936  3.815   2419 1  
    48831.6640      459    West         300       0x101bf       2.1013           -9.353  0.004    0   1   7 126   0   0   5    -99    -99  6246  6.169   2419 1  -8.791  0.006    0   1  20 122   0   0  11    -99    -99  5178  6.278   2419 1  
    48832.6631      495    West         300       0x101bf       2.0897           -9.341  0.004    0   1   7 116   0   0   5    -99    -99  5836  6.432   2419 1  -8.781  0.006    0   1  21 119   0   0  11    -99    -99  4647  6.674   2419 1  
    48833.7828      522    West         300       0x101bf       1.4672           -9.355  0.002    0   1   0 155   0   0   5    -99    -99  4489  4.438   2419 1  -8.781  0.003    0   1   1 139   0   0  11    -99    -99  4094  4.401   2419 1  
    48834.6514      558    West         300       0x101bf       2.1335           -9.354  0.003    0   1   0 188   0   0   5    -99    -99  5795  4.910   2419 1  -8.748  0.004    0   1   7 184   0   0  11    -99    -99  4447  5.325   2419 1  
    48835.7064      649    West         300       0x101bf       1.7650           -9.355  0.003    0   1   3 140   0   0   5    -99    -99  5225  6.194   2419 1  -8.776  0.005    0   1  14 121   0   0  11    -99    -99  3782  6.291   2419 1  
    48836.6399      721    West         300       0x101bf       2.1738           -9.364  0.002    0   1   0 152   0   0   5    -99    -99  6269  4.405   2419 1  -8.790  0.003    0   1   0 152   0   0  11    -99    -99  4589  4.425   2419 1  
    48841.6467      749    West         300       0x101bf       2.0193           -9.369  0.003    0   1   1 141   0   0   5    -99    -99 13064  4.824   2419 1  -8.809  0.004    0   1   0 130   0   0  11    -99    -99 10557  4.840   2419 1  
    48842.6764      787    West         300       0x101bf       1.8160           -9.381  0.004    0   1   8 131   0   0   5    -99    -99 13646  5.529   2419 1  -8.821  0.006    0   1  12 131   0   0  11    -99    -99 12390  5.751   2419 1  
    48843.6416      822    West         300       0x101bf       2.0190           -9.390  0.003    0   1   0 157   0   0   5    -99    -99 18140  4.367   2419 1  -8.832  0.004    0   1   0 145   0   0  11    -99    -99 16975  4.633   2419 1  
    48849.7882      870    West         300       0x101bf       1.3356              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48851.6866      902    West         300       0x101bd       1.6450           -9.418  0.003    0   1   0 129   0   0   5    -99    -99 11627  5.227   2419 1  -8.850  0.005    0   1  14 137   0   0  11    -99    -99 14244  5.297   2419 1  
    48854.7577      991    West         300       0x101bf       1.3747           -9.392  0.002    0   1   0 216   0   0   5    -99    -99  7557  4.603   2419 1  -8.812  0.003    0   1   0 158   0   0  11    -99    -99  7259  4.450   2419 1  
    48855.7208     1036    West         300       0x101bf       1.4704           -9.428  0.005    0   1  56 192   0   0  -1    -99    -99   -99    -99      0 1  -8.807  0.003    0   1   0 232   0   0  11    -99    -99  6308  3.374   2419 1  
    48856.6386     1060    West         300       0x101bf       1.8194           -9.382  0.003    0   1   0 143   0   0   5    -99    -99  5358  4.901   2419 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48856.8102     1093    West         300       0x101bf       1.2688           -9.389  0.002    0   1   0 183   0   0   5    -99    -99  6956  3.898   2419 1  -8.817  0.003    0   1   0 154   0   0  11    -99    -99  5908  3.841   2419 1  
    48884.6410     1108    West         300       0x101bf       1.4941           -9.431  0.002    0   1   0 153   0   0   5    -99    -99  6342  4.529   2419 1  -8.843  0.003    0   1   0 136   0   0  11    -99    -99  5363  4.405   2419 1  
    48885.6181     1144    West         300       0x101bf       1.5679           -9.436  0.002    0   1   0 174   0   0   5    -99    -99  4556  4.225   2419 1  -8.854  0.002    0   1   0 158   0   0  11    -99    -99  4866  4.139   2419 1  
    48887.6724     1183    West         300       0x101bf       1.3790           -9.437  0.003    0   1   9 135   0   0   5    -99    -99  4500  6.573   2419 1  -8.851  0.005    0   1  20 130   0   0  11    -99    -99  4778  6.735   2419 1  
    48888.7272     1205    West         300       0x101bf       1.2726           -9.444  0.002    0   1   0 203   0   0   5    -99    -99  5293  3.682   2419 1  -8.868  0.003    0   1   0 213   0   0  11    -99    -99  5175  3.914   2419 1  
    48892.7637     1228    West         300       0x101bf       1.2307           -9.429  0.002    0   1   0 173   0   0   5    -99    -99  3376  4.621   2419 1  -8.859  0.003    0   1   0 153   0   0  11    -99    -99  3259  4.785   2419 1  
    48894.7329     1241    West         300       0x101bf       1.2484           -9.359  0.003    0   1   0 214   0   0   5    -99    -99  4413  5.492   2419 1  -8.852  0.005    0   1  11 149   0   0  11    -99    -99  4266  5.923   2419 1  
    48895.7583     1274    West         300       0x101bf       1.2294           -9.414  0.002    0   1   0 191   0   0   5    -99    -99  3601  4.249   2419 1  -8.826  0.002    0   1   0 153   0   0  11    -99    -99  3591  4.160   2419 1  
    48896.7605     1287    West         300       0x101bf       1.2274           -9.418  0.002    0   1   0 137   0   0   5    -99    -99  4143  3.815   2419 1  -8.844  0.002    0   1   0 156   0   0  11    -99    -99  3899  3.914   2419 1  
    48906.5791     1307    West         300       0x101bf       1.5000           -9.350  0.002    0   1   0 138   0   0   5    -99    -99 24406  3.922   2419 1  -8.752  0.004    0   1   0 151   0   0  11    -99    -99 38706  3.865   2419 1  
    48907.5911     1322    West         300       0x101bf       1.4522           -9.338  0.003    0   1   0 183   0   0   5    -99    -99 27349  4.660   2419 1  -8.757  0.005    0   1   0 157   0   0  11    -99    -99 38542  4.400   2419 1  
    48908.4497     1335    West         300       0x101bf       2.1678           -9.346  0.003    0   1   0 167   0   0   5    -99    -99 20063  4.846   2419 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48909.5650     1377    West         300       0x00110       1.5042           -9.351  0.004    0   1   0 165   0   0   5    -99    -99 38203  3.299   2419 1  -8.762  0.006    0   1   0 159   0   0  11    -99    -99 33633  2.958   2419 1  
    48914.7564     1392    West         300       0x101bf       1.2275           -9.333  0.003    0   1   5 173   0   0   5    -99    -99  6052  5.235   2419 1  -8.757  0.004    0   1  18 167   0   0  11    -99    -99  5762  5.602   2419 1  
    48915.6019     1402    West         300       0x101bf       1.3650           -9.367  0.004    0   1   9 106   0   0   5    -99    -99  4807  6.808   2419 1  -8.738  0.007    0   1  21 126   0   0  11    -99    -99  4802  7.146   2419 1  
