!  Star 7.7656.29                          RA  05 27 35.510   DEC  -70 44 38.46
#  1371 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.317          526.92,  602.78             38
#    Blue:            -7.632          521.31,  606.58             73
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6794      285    West         300       0x101bf       2.1449           -8.339  0.012    0   1  32 105   0   0   5    -99    -99 13317  6.637   2419 1  -7.622  0.022    0   1  41 130   0   0  10    -99    -99 13961  6.614   2419 1  
    48824.6859      322    West         300       0x101bf       2.0816           -8.311  0.019   16   1   0 134   0   0   5    -99    -99 22816  4.355   2419 1  -7.615  0.032  -12   1   0 132   0   0  10    -99    -99 19385  4.293   2419 1  
    48825.7121      352    West         300       0x101bf       1.8615           -8.330  0.006    0   1  21 142   0   0   5    -99    -99  9821  5.291   2419 1  -7.623  0.010    0   1  17 133   0   0  10    -99    -99  8562  5.123   2419 1  
    48826.6955      381    West         300       0x101bf       1.9462           -8.296  0.005    0   1   0 129   0   0   5    -99    -99  9357  4.669   2419 1  -7.613  0.008    0   1   0 126   0   0  10    -99    -99  6668  4.864   2419 1  
    48828.6581      397    West         300       0x101bf       2.2061           -8.316  0.009    0   1  24 118   0   0   5    -99    -99  9098  6.204   2419 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48829.6711      430    West         300       0x101bf       2.0894           -8.283  0.004    0   1   0 142   0   0   5    -99    -99  6818  3.824   2419 1  -7.608  0.006    0   1   0 137   0   0  10    -99    -99  5096  3.835   2419 1  
    48831.6640      459    West         300       0x101bf       2.1013           -8.309  0.008    0   1  30 110   0   0   5    -99    -99  6817  6.190   2419 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48832.6631      495    West         300       0x101bf       2.0897           -8.313  0.009    0   1  35 103 136   0   5    -99    -99  6392  6.392   2419 1  -7.602  0.014    0   1  37 118   0   0  10    -99    -99  4832  6.686   2419 1  
    48833.7828      522    West         300       0x101bf       1.4672           -8.285  0.004    0   1   0 134   0   0   5    -99    -99  4911  4.416   2419 1  -7.605  0.006    0   1   0 127   0   0  10    -99    -99  4257  4.421   2419 1  
    48834.6514      558    West         300       0x101bf       2.1335           -8.293  0.006    0   1   1 161 190   0   5    -99    -99  6368  4.826   2419 1  -7.625  0.008    0   1   7 136   0   0  10    -99    -99  4694  5.200   2419 1  
    48835.7064      649    West         300       0x101bf       1.7650           -8.267  0.007    0   1  35 111   0   0   5    -99    -99  5613  6.315   2419 1  -7.590  0.011    0   1  38 107   0   0  10    -99    -99  3954  6.408   2419 1  
    48836.6399      721    West         300       0x101bf       2.1738           -8.272  0.005    0   1   0 123 107   0   5    -99    -99  6782  4.429   2419 1  -7.600  0.007    0   1   0 122   0   0  10    -99    -99  4737  4.490   2419 1  
    48841.6467      749    West         300       0x101bf       2.0193           -8.253  0.007    0   1   0 119   0   0   5    -99    -99 13981  4.827   2419 1  -7.568  0.011    0   1   0 131   0   0  10    -99    -99 10853  4.888   2419 1  
    48842.6764      787    West         300       0x101bf       1.8160           -8.259  0.009    0   1   3 125   0   0   5    -99    -99 14620  5.464   2419 1  -7.602  0.015    0   1  16 129   0   0  10    -99    -99 12473  5.749   2419 1  
    48843.6416      822    West         300       0x101bf       2.0190           -8.259  0.006    0   1   0 130   0   0   5    -99    -99 19313  4.357   2419 1  -7.577  0.011    0   1   0 130   0   0  10    -99    -99 17228  4.625   2419 1  
    48849.7882      870    West         300       0x101bf       1.3356           -8.257  0.005    0   1   0 124   0   0  -1    -99    -99   -99    -99      0 1  -7.560  0.011    0   1   0 141   0   0  10    -99    -99     0  0.000   2419 1  
    48851.6866      902    West         300       0x101bd       1.6450           -8.259  0.007    0   1   0 116   0   0   5    -99    -99 12620  5.198   2419 1  -7.567  0.013    0   1   9 128   0   0  10    -99    -99 14652  5.335   2419 1  
    48854.7577      991    West         300       0x101bf       1.3747           -8.239  0.005    0   1   0 174   0   0   5    -99    -99  8263  4.576   2419 1  -7.585  0.007   -7   1   0 135   0   0  10    -99    -99  7544  4.537   2419 1  
