!  Star 70.11469.103                       RA  05 50 33.474   DEC  -66 36 53.48
#  266 observations from the production databases
#  Field inception date: 50453.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -5.931          640.61,  882.24             41
#    Blue:            -5.326          639.00,  899.01             57
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    49006.5923     2876    West         300       0x101bf       1.2506           -5.870  0.097   72   2 130  31   0   0   6    -99    -99  1532  4.074  30462 1  -5.109  0.105   66   2 126  65   0   0   8    -99    -99  1354  3.890  30462 1  
    49021.7571     3307    East         300       0x101bf       2.3331           -5.862  0.118   61   2 132  69   0   0   2    -99    -99  4405  5.530  30462 1  -5.225  0.112   72   2 129  70   0   0  12    -99    -99  2325  5.379  30462 1  
    49042.6952     3667    East         300       0x101bf       2.2857           -5.895  0.090   60   2 124  65   0   0   2    -99    -99  2767  3.369  30462 1  -5.090  0.148   59   2 123  47 223   0  12    -99    -99  1880  3.452  30462 1  
    49059.6241     4159    East         300       0x101bf       2.0527           -5.887  0.106   72   2 129  69   0   0   2    -99    -99  5690  3.953  30462 1  -5.158  0.111   69   2 117  86   0   0  12    -99    -99  5815  3.709  30462 1  
    49094.6004     5334    East         300       0x101bf       2.8453           -5.876  0.088   75   2 117  68   0   0   2    -99    -99  3154  2.826  30462 1  -5.161  0.092   83   2 108  75   0   0  12    -99    -99  2495  2.781  30462 1  
    49117.5299     6576    East         300       0x101bf       2.7342           -5.750  0.146   76   2 130  69   0   0   2    -99    -99  8061  5.273  30462 1  -5.306  0.131   82   2 123  72   0   0  12    -99    -99  6743  5.385  30462 1  
    49124.4869     7054    East         300       0x101bf       2.4426           -5.845  0.110   79   2 132  61   0   0   2    -99    -99  3348  4.792  30462 1  -5.175  0.116   82   2 129  71   0   0  12    -99    -99  2208  4.942  30462 1  
    49127.5155     7384    East         300       0x100af       2.9133              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    49146.4637     8273    East         300       0x101bf       2.9132           -5.930  0.170   63   4 136  73   0   0   2    -99    -99  5786  6.935  30462 1  -5.453  0.308   73   4 255  63 222   0  12    -99    -99  4696  7.368  30462 1  
    49186.8294    10089    West         300       0x101bf       1.4695           -5.960  0.093   70   2 131  55   0   0   6    -99    -99  3317  4.560  30462 1  -5.063  0.129   73   2 127  70   0   0   8    -99    -99  2323  4.816  30462 1  
    49196.7818    10531    West         300       0x101bf       1.5582           -5.883  0.109   62   2 131  54   0   0   6    -99    -99  2890  5.346  30462 1  -5.151  0.135   51   2 129  79   0   0   8    -99    -99  2380  5.664  30462 1  
    49209.7777    11043    West         300       0x101bf       1.4289           -6.061  0.119   45   2 130  70   0   0   6    -99    -99  2927  7.057  30462 1  -5.190  0.208   15   4 132  72   0   0   8    -99    -99  2918  7.512  30462 1  
    49216.7793    11408    West         300       0x101bf       1.3620           -5.980  0.094   65   2 130  48   0   0   6    -99    -99  2505  4.596  30462 1  -5.271  0.105   58   2 131  68   0   0   8    -99    -99  2037  4.758  30462 1  
    49224.6806    11960    West         300       0x101bf       1.6872           -5.964  0.078   70   2 123  90   0   0   6    -99    -99  3476  2.612  30462 1  -5.151  0.097   76   2 118  73   0   0   8    -99    -99  3280  2.764  30462 1  
    49256.6675    12343    West         300       0x101bf       1.3712           -5.955  0.077   64   2 115  83   0   0   6    -99    -99  4995  2.594  30462 1  -5.058  0.107   55   2 112  82   0   0   8    -99    -99  6578  2.676  30462 1  
    49269.6969    12769    West         300       0x101bf       1.2260           -5.861  0.110   55   2 136  59   0   0   6    -99    -99  2711  4.783  30462 1  -5.218  0.116   23   2 130  71   0   0   8    -99    -99  2630  5.036  30462 1  
    49282.6908    13043    West         300       0x101bf       1.1906           -6.009  0.079   38   2 122  72   0   0   6    -99    -99  2001  2.934  30462 1  -5.147  0.095    7   2 125  77   0   0   8    -99    -99  1955  3.048  30462 1  
    49286.7205    13196    West         300       0x101bf       1.1692           -5.850  0.098   53   2 131  64   0   0   6    -99    -99  1952  3.381  30462 1  -5.175  0.097   25   2 126  73   0   0   8    -99    -99  1817  3.523  30462 1  
    49309.6962    13549    West         300       0x101bf       1.1750           -5.953  0.084   60   2 119  63   0   0   6    -99    -99  2374  3.115  30462 1  -5.094  0.104   65   2 126  71   0   0   8    -99    -99  2090  3.195  30462 1  
    49315.5773    13779    West         300       0x101bf       1.2167           -5.877  0.095   70   2 125  71   0   0   6    -99    -99  4283  3.482  30462 1  -5.157  0.108   70   2 124  77   0   0   8    -99    -99  6310  3.618  30462 1  
    49378.5596    14155    West         300       0x00110       1.2330           -5.904  0.112   59   2 122  71   0   0   6    -99    -99 28258  2.979  30462 1  -5.403  0.122   13   2 106  88   0   0   8    -99    -99 23315  3.074  30462 1  
    49390.6547    14464    East         300       0x101bf       1.6253           -5.924  0.096   78   2 130  52   0   0   2    -99    -99  2583  4.697  30462 1  -5.207  0.104   89   2 128  60   0   0  12    -99    -99  2067  4.728  30462 1  
    49399.7208    14617    East         300       0x101bf       2.3132           -5.864  0.098   87   2 132  44   0   0   2    -99    -99  2425  4.363  30462 1  -5.233  0.096   95   2 127  52   0   0  12    -99    -99  1974  4.410  30462 1  
    49426.6056    15328    East         300       0x101bf       1.9459           -5.818  0.096   76   2 126  56   0   0   2    -99    -99  2906  3.135  30462 1  -5.082  0.101   90   2 126  66   0   0  12    -99    -99  2331  3.289  30462 1  
    49449.6253    16134    East         300       0x101bf       2.8101           -6.025  0.095   76   2 130  50   0   0   2    -99    -99  3111  4.652  30462 1  -5.367  0.099   83   2 127  59   0   0  12    -99    -99  2862  4.750  30462 1  
    49461.5911    16669    East         300       0x101bf       2.7898           -5.910  0.126   70   2 131  62   0   0   2    -99    -99  3013  5.532  30462 1  -5.230  0.163   74   4 130  67 149   0  12    -99    -99  2500  5.709  30462 1  
    49530.7429    19702    West         300       0x101bf       2.5292           -6.007  0.107   73   2 132  51   0   0   6    -99    -99  7402  4.981  30462 1  -5.164  0.164   79   4 129  82   0   0   8    -99    -99  9306  5.280  30462 1  
