!  Star 73.13246.10                        RA  06 01 43.297   DEC  -69 08 30.69
#  274 observations from the production databases
#  Field inception date: 50235.0833
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.020          740.94,  283.31            123
#    Blue:            -9.328          754.33,  299.05            113
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    49006.6059     2879    West         300       0x101bf       1.2922              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.257  0.002    0   1   0 163   0   0  15    -99    -99  1246  3.962   4467 1  
    49037.7358     3586    East         300       0x101bf       2.3508           -9.119  0.003    0   1   0 157   0   0   4    -99    -99  2554  4.735   4467 1  -9.419  0.003    0   1   0 195 204   0  11    -99    -99  2150  4.412   4467 1  
    49042.7089     3670    East         300       0x101bf       2.2316           -9.018  0.003    0   1   0 168   0   0   4    -99    -99  2804  3.748   4467 1  -9.333  0.002    0   1   0 214   0   0  11    -99    -99  1896  3.746   4467 1  
    49068.4422     4467    East         300       0x101bf       1.3005           -9.018  0.002    0   1   0 149   0   0   4    -99    -99  2298  2.416   4467 1  -9.329  0.001    0   1   0 253   0   0  11    -99    -99  1827  2.175   4467 1  
    49094.6400     5341    East         300       0x101bf       2.9572           -9.140  0.005    0   1   0 118   0   0   4    -99    -99  3488  3.490   4467 1  -9.381  0.004    0   1   0 213 128   0  11    -99    -99  2972  3.623   4467 1  
    49114.5817     6507    East         300       0x101bf       2.9111           -8.814  0.012    0   1   0 101   0   0   4    -99    -99 23446  6.120   4467 1  -9.156  0.011    0   1   0 100 172   0  11    -99    -99 23891  6.361   4467 1  
    49123.5649     6967    East         300       0x101bf       2.9950           -8.853  0.003    0   1   0 147  50   1   4    -99    -99  4121  4.179   4467 1  -9.185  0.003    0   1   0 132   0   0  11    -99    -99  2826  4.404   4467 1  
    49126.5574     7287    East         300       0x101bf       3.0082           -8.967  0.003    0   1   0 132   0   0   4    -99    -99  3510  3.310   4467 1  -9.266  0.002    0   1   0 177   0   0  11    -99    -99  2687  3.493   4467 1  
    49188.7641    10171    West         300       0x101bf       1.7956              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.324  0.003    0   1   0 161   0   0  15    -99    -99  1615  4.704   4467 1  
    49196.8134    10538    West         300       0x101bf       1.4726              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.164  0.003    0   1   0 126   0   0  15    -99    -99  2008  4.577   4467 1  
    49210.7286    11134    West         300       0x101bf       1.6653              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.312  0.004    0   1   0 118   0   0  15    -99    -99  2553  6.162   4467 1  
    49218.6829    11561    West         300       0x101bf       1.7943              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.202  0.005    0   1   0 105   0   0  15    -99    -99  4095  3.986   4467 1  
    49218.7105    11563    West         300       0x101bf       1.6481              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.207  0.003    0   1   0 129   0   0  15    -99    -99  2432  3.733   4467 1  
    49224.7136    11967    West         300       0x101bf       1.5612              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.280  0.002    0   1   0 149   0   0  15    -99    -99  2380  2.725   4467 1  
