!  Star 76.9969.13                         RA  05 41 39.456   DEC  -69 49 24.83
#  519 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -11.350         1260.17,   35.72             17
#    Blue:           -12.075         1228.88,   45.55             91
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48884.7933     1133    West         300       0x101bf       1.2225              -99    -99  999 999 999 999 999 999   3    -99    -99  8015  4.456   3536 0     -99    -99  999 999 999 999 999 999  12    -99    -99  9704  4.444   3536 0  
    48885.7424     1164    West         300       0x101bf       1.2687              -99    -99  999 999 999 999 999 999   3    -99    -99  5762  3.522   3536 0     -99    -99  999 999 999 999 999 999  12    -99    -99  5268  3.690   3536 0  
    48908.5578     1350    West         300       0x101bf       1.6008          -11.318  0.004    0  13   0 253   0   0   3    -99    -99 19277  3.412   3536 1 -12.215  9.999    0  13   0 208 251   0  12    -99    -99 24206  2.939   3536 1  
    48915.6804     1419    West         300       0x101bf       1.2447          -11.311  0.002    0  13   0 159   0   0   3    -99    -99  4486  7.285   3536 1 -12.017  0.003    0  13   0 143   0   0  12    -99    -99  4319  7.546   3536 1  
    48917.6283     1479    West         300       0x101bf       1.3125          -11.345  9.999    0  13   0 253 246   0   3    -99    -99  4232  3.517   3536 1 -12.219  0.002    0  13 255 214 224   0  12    -99    -99  4276  3.279   3536 1  
    48919.6353     1545    West         300       0x101bf       1.2903          -11.341  0.004    0  13   0 162   0   0   3    -99    -99  7222  2.658   3536 1 -12.076  9.999    0  13   0 158   0   0  12    -99    -99  7144  2.511   3536 1  
    48927.5747     1624    West         300       0x101bf       1.3703          -11.345  0.001    0  53   0 195   0   0   3    -99    -99  5824  4.830   3536 1     -99    -99  999 999 999 999 999 999  12    -99    -99  5317  4.968   3536 0  
    48928.6122     1691    West         300       0x101bf       1.2879          -11.362  0.003    0  13   0 171   0   0   3    -99    -99  5882  2.852   3536 1 -11.914  0.002    0  53 255 226 229   0  12    -99    -99  6136  2.856   3536 1  
    48929.5525     1741    West         300       0x101bf       1.4148          -11.351  0.003    0  53   0 185   0   0   3    -99    -99  8418  3.943   3536 1     -99    -99  999 999 999 999 999 999  12    -99    -99  9319  4.172   3536 0  
    48931.5667     1824    West         300       0x101bf       1.3633          -11.359  9.999    0  53   0 177 180   0   3    -99    -99  8959  3.478   3536 1     -99    -99  999 999 999 999 999 999  12    -99    -99 11657  3.783   3536 0  
