!  Star 77.7069.213                        RA  05 23 43.490   DEC  -69 32 07.39
#  1713 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -6.847         1824.18, 1204.14              8
#    Blue:            -6.152         1784.05, 1194.68             93
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48825.6288      337    West         300       0x101bf       2.5644           -8.093  0.008  -19   2  79 120   0   0   2    -99    -99  9742  4.517   2962 1  -7.711  0.049    0   2  83  11   0   0  12    -99    -99   299  4.714   2962 1  
    48828.7931      414    West         300       0x101bf       1.4713           -7.927  0.015  -37   2  90  85   0   0   2    -99    -99  6108  6.417   2962 1  -7.486  0.018  -60   2  97 120   0   0  12    -99    -99  5390  6.606   2962 1  
    48829.8021      447    West         300       0x101bf       1.4336           -7.861  0.010  -43   2  77  97   0   0   2    -99    -99  7068  4.651   2962 1  -7.440  0.011  -62   2  82 117   0   0  12    -99    -99  5592  4.712   2962 1  
    48831.7794      480    West         300       0x101bf       1.4893           -7.679  0.010   -7   2  73  82   0   0   2    -99    -99  5564  4.357   2962 1  -7.261  0.011  -18   2  87  90   0   0  12    -99    -99  4750  4.458   2962 1  
    48832.8230      512    West         300       0x101bf       1.3550           -7.612  0.012  -43   2  85 101   0   0   2    -99    -99  9734  4.758   2962 1  -7.180  0.013  -48   2  86  82   0   0  12    -99    -99  5200  4.922   2962 1  
    48833.8108      527    West         300       0x101bf       1.3784           -7.556  0.019  -44   2  90  70   0   0   2    -99    -99  5373  6.216   2962 1  -7.103  0.023  -64   2  97  81   0   0  12    -99    -99  4790  6.516   2962 1  
    48834.7849      578    West         300       0x101bf       1.4439           -7.451  0.011  -16   2  73  84   0   0   2    -99    -99  5304  4.135   2962 1  -7.055  0.012  -21   2  83  88   0   0  12    -99    -99  4589  4.307   2962 1  
    48835.6712      642    West         300       0x101bf       1.9858           -7.407  0.029  -23   2  96  62   0   0   2    -99    -99  5999  6.902   2962 1  -7.026  0.033  -13   2 103  88   0   0  12    -99    -99  4892  7.390   2962 1  
    48836.7561      741    West         300       0x101bf       1.5244           -7.321  0.022  -66   2  77 122   0   0   2    -99    -99  9649  4.205   2962 1  -6.947  0.026   -4   2  54 130   0   0  12    -99    -99  9562  4.210   2962 1  
    48841.7758      771    West         300       0x101bf       1.4086           -7.629  0.013  -19   2  86  84   0   0   2    -99    -99  5785  5.250   2962 1  -7.407  0.011  -44   2  87  89   0   0  12    -99    -99  4225  5.345   2962 1  
    48842.8242      810    West         300       0x101bf       1.2922           -7.679  0.012  -21   2  77 107   0   0   2    -99    -99  8543  3.789   2962 1  -7.497  0.014    0   2  77 128   0   0  12    -99    -99 10288  3.880   2962 1  
    48843.7760      845    West         300       0x101bf       1.3931           -7.778  0.015  -15   2  89  78   0   0   2    -99    -99  5766  6.007   2962 1  -7.561  0.015    0   2  95  95   0   0  12    -99    -99  5211  6.326   2962 1  
    48849.7787      868    West         300       0x101bf       1.3467           -7.995  0.009  -34   2  85 107   0   0   2    -99    -99 13561  4.562   2962 1  -7.628  0.011  -49   2  85 131   0   0  12    -99    -99 18792  4.835   2962 1  
    48851.7733      921    West         300       0x101bf       1.3465           -7.931  0.015  -42   2  91  95   0   0   2    -99    -99 10035  6.298   2962 1  -7.532  0.020  -48   2  98 135  45  17  12    -99    -99 12408  6.515   2962 1  
    48853.8216      949    West         300       0x101bf       1.2536           -7.838  0.013  -56   2  85 121   0   0   2    -99    -99 19899  5.178   2962 1  -7.398  0.017  -35   2  90 136   0   0  12    -99    -99 17828  5.531   2962 1  
    48854.7050      980    West         300       0x100bf       1.5289              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -7.306  0.013  -64   2  85 106   0   0  -1    -99    -99   -99    -99      0 1  
    48855.6753     1026    West         300       0x101bf       1.6410              -99    -99  999 999 999 999 999 999   2    -99    -99  6977  3.169   2962 0  -7.161  0.008  -36  42  70 156   0   0  12    -99    -99  6795  3.046   2962 1  
    48856.7580     1082    West         300       0x101bf       1.3513              -99    -99  999 999 999 999 999 999   2    -99    -99  6631  3.803   2962 0  -6.982  0.011  -40   2  73 111   0   0  12    -99    -99  5856  3.804   2962 1  
    48882.6066     1100    West         300       0x101bf       1.6478           -7.565  0.008    0   2  63 103   0   0   2    -99    -99  9281  3.788   2962 1  -7.082  0.009  -44   2  66 110   0   0  12    -99    -99  9855  3.469   2962 1  
    48884.6180     1103    West         300       0x101bf       1.5736           -7.282  0.016    0   2  86 106   0   0   2    -99    -99  6145  4.888   2962 1  -6.942  0.016  -48   2  88  92   0   0  12    -99    -99  5672  4.926   2962 1  
    48884.6641     1113    West         300       0x101bf       1.4131           -7.374  0.014   51   2  83  87   0   0   2    -99    -99  6094  4.901   2962 1  -6.908  0.014    0   2  88 111   0   0  12    -99    -99  6281  4.414   2962 1  
    48884.7043     1123    West         300       0x101bf       1.3167           -7.382  0.015   50   2  86 100   0   0   2    -99    -99  5856  5.222   2962 1  -6.935  0.014    0   2  86 102   0   0  12    -99    -99  6415  4.598   2962 1  
    48884.7801     1130    West         300       0x101bf       1.2224           -7.410  0.017    0   2  86  80   0   0   2    -99    -99  6439  5.641   2962 1  -6.942  0.020    0   2  96  97   0   0  12    -99    -99  6326  6.019   2962 1  
    48885.5851     1137    West         300       0x101bf       1.7129           -7.336  0.009  -38   2  70 117  12   0   2    -99    -99  5742  3.255   2962 1  -6.888  0.010  -43   2  77 103   0   0  12    -99    -99  5882  3.464   2962 1  
    48887.6492     1178    West         300       0x101bf       1.4331           -7.307  0.021  -40   2  89  70   0   0   2    -99    -99  5371  5.897   2962 1  -6.839  0.027  -48   2  94  95   0   0  12    -99    -99  5679  6.144   2962 1  
    48892.7287     1223    West         300       0x101bf       1.2467           -7.840  0.008  -31   2  82  87   0   0   2    -99    -99  4351  4.363   2962 1  -7.614  0.007  -61   2  90 110   0   0  12    -99    -99  4430  4.613   2962 1  
    48894.7101     1236    West         300       0x101bf       1.2624           -7.976  0.010  -16   2  85  76   0   0   2    -99    -99  4218  5.325   2962 1  -7.683  0.010   -9   2  93 102   0   0  12    -99    -99  4170  5.734   2962 1  
    48895.6892     1260    West         300       0x101bf       1.2895           -8.024  0.004  -41   2  56 120   0   0   2    -99    -99  4606  3.138   2962 1  -7.733  0.005  -69   2  61  95   0   0  12    -99    -99  4790  3.057   2962 1  
    48895.6921     1261    West         150       0x101bf       1.2850           -8.047  0.006  -26   2  67 144   0   0   2    -99    -99  2329  3.523   2962 1  -7.718  0.007  -64   2  75 103   0   0  12    -99    -99  2435  3.427   2962 1  
    48895.7019     1264    West          75       0x101bf       1.2699           -8.019  0.007  -33   2  57 106   0   0   2    -99    -99  1156  3.386   2962 1  -7.740  0.007  -69   2  63 101   0   0  12    -99    -99  1198  3.265   2962 1  
    48895.7081     1265    West         450       0x101bf       1.2615           -8.026  0.004  -35   2  74 126   0   0   2    -99    -99  6770  3.519   2962 1  -7.745  0.005  -64   2  65  92   0   0  12    -99    -99  6990  3.349   2962 1  
    48895.7110     1266    West          35       0x101bf       1.2579           -8.030  0.009  -42   2  60 112   0   0   2    -99    -99   550  3.379   2962 1  -7.728  0.010  -71   2  66 112   0   0  12    -99    -99   572  3.246   2962 1  
    48895.7125     1267    West         600       0x00110       1.2464           -8.052  0.004  -13   2  69 125   0   0   2    -99    -99  8764  3.668   2962 1  -7.712  0.005  -46   2  76  87 221   0  12    -99    -99  9013  3.450   2962 1  
    48896.7376     1282    West         300       0x101bf       1.2287           -8.071  0.007  -57   2  72 109   0   0   2    -99    -99  5375  4.064   2962 1  -7.755  0.008  -80   2  77 109   0   0  12    -99    -99  5528  4.063   2962 1  
