!  Star 77.7555.14                         RA  05 26 54.158   DEC  -69 24 48.02
#  1710 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.752          236.11, 1919.15             15
#    Blue:            -7.987          222.47, 1901.54             96
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48825.6288      337    West         300       0x101bf       2.5644              -99    -99  999 999 999 999 999 999   2    -99    -99  9995  4.400   2962 0  -8.003  0.010    3  43  27  92   0   0  13    -99    -99  8117  4.753   2962 1  
    48828.7931      414    West         300       0x101bf       1.4713              -99    -99  999 999 999 999 999 999   2    -99    -99  6009  6.465   2962 0     -99    -99  999 999 999 999 999 999  13    -99    -99  4796  6.759   2962 0  
    48829.8021      447    West         300       0x101bf       1.4336              -99    -99  999 999 999 999 999 999   2    -99    -99  7018  4.669   2962 0     -99    -99  999 999 999 999 999 999  13    -99    -99  5188  4.748   2962 0  
    48831.7794      480    West         300       0x101bf       1.4893              -99    -99  999 999 999 999 999 999   2    -99    -99  5613  4.289   2962 0     -99    -99  999 999 999 999 999 999  13    -99    -99  4342  4.438   2962 0  
    48832.8230      512    West         300       0x101bf       1.3550              -99    -99  999 999 999 999 999 999   2    -99    -99  9582  4.754   2962 0     -99    -99  999 999 999 999 999 999  13    -99    -99  4728  4.899   2962 0  
    48833.8108      527    West         300       0x101bf       1.3784              -99    -99  999 999 999 999 999 999   2    -99    -99  5193  6.193   2962 0     -99    -99  999 999 999 999 999 999  13    -99    -99  4290  6.509   2962 0  
    48834.7849      578    West         300       0x101bf       1.4439              -99    -99  999 999 999 999 999 999   2    -99    -99  5311  4.086   2962 0     -99    -99  999 999 999 999 999 999  13    -99    -99  4190  4.255   2962 0  
    48835.6712      642    West         300       0x101bf       1.9858              -99    -99  999 999 999 999 999 999   2    -99    -99  5895  6.814   2962 0     -99    -99  999 999 999 999 999 999  13    -99    -99  4440  7.315   2962 0  
    48836.7561      741    West         300       0x101bf       1.5244              -99    -99  999 999 999 999 999 999   2    -99    -99  9873  4.147   2962 0     -99    -99  999 999 999 999 999 999  13    -99    -99  9160  4.279   2962 0  
    48841.7758      771    West         300       0x101bf       1.4086           -8.790  0.004    0   1  27 141   0   0   2    -99    -99  5564  5.231   2962 1  -8.027  0.006    0   1  33 122   0   0  13    -99    -99  3785  5.350   2962 1  
    48842.8242      810    West         300       0x101bf       1.2922           -8.777  0.004    0   1   0 143   0   0   2    -99    -99  8653  3.771   2962 1  -7.977  0.008    0   1  17 133   0   0  13    -99    -99 10021  3.856   2962 1  
    48843.7760      845    West         300       0x101bf       1.3931           -8.779  0.005    0   1  30 122   0   0   2    -99    -99  5590  6.027   2962 1  -8.018  0.009    0   1  44 113   0   0  13    -99    -99  4794  6.326   2962 1  
    48849.7787      868    West         300       0x101bf       1.3467           -8.776  0.004    0   1  16 136   0   0   2    -99    -99 13490  4.558   2962 1  -8.010  0.007    0   1  28 140   0   0  13    -99    -99 18226  4.790   2962 1  
    48851.7733      921    West         300       0x101bf       1.3465              -99    -99  999 999 999 999 999 999   2    -99    -99 10045  6.321   2962 0  -8.065  0.011    0   1  47 129   0   0  13    -99    -99 11825  6.621   2962 1  
    48853.8216      949    West         300       0x101bf       1.2536              -99    -99  999 999 999 999 999 999   2    -99    -99 20238  5.209   2962 0  -8.052  0.009    0   1  40 143   0   0  13    -99    -99 17452  5.540   2962 1  
    48854.7050      980    West         300       0x100bf       1.5289              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.051  0.006    0   1  26 128   0   0  -1    -99    -99   -99    -99      0 1  
    48855.6753     1026    West         300       0x101bf       1.6410              -99    -99  999 999 999 999 999 999   2    -99    -99  6995  3.086   2962 0  -8.029  0.004    0   1   3 192   0   0  13    -99    -99  6309  3.123   2962 1  
    48856.7580     1082    West         300       0x101bf       1.3513              -99    -99  999 999 999 999 999 999   2    -99    -99  6599  3.794   2962 0  -8.039  0.004    0   1  20 155   0   0  13    -99    -99  5443  3.806   2962 1  
    48882.6066     1100    West         300       0x101bf       1.6478           -8.799  0.003    0   1  12 168   0   0   2    -99    -99  9488  3.703   2962 1  -8.022  0.004    0   1  14 143   0   0  13    -99    -99  9301  3.611   2962 1  
    48884.6180     1103    West         300       0x101bf       1.5736           -8.815  0.003    0   1  16 173   0   0   2    -99    -99  6238  4.784   2962 1  -8.064  0.005    0   1  29 130   0   0  13    -99    -99  5262  4.908   2962 1  
    48884.6641     1113    West         300       0x101bf       1.4131           -8.828  0.003    0   1  20 181   0   0   2    -99    -99  6492  4.668   2962 1  -8.059  0.005    0   1  23 133   0   0  13    -99    -99  5861  4.434   2962 1  
    48884.7043     1123    West         300       0x101bf       1.3167           -8.837  0.003    0   1  27 209   0   0   2    -99    -99  6307  5.029   2962 1  -8.074  0.005    0   1  27 139   0   0  13    -99    -99  5927  4.666   2962 1  
    48884.7801     1130    West         300       0x101bf       1.2224           -8.833  0.004    0   1  27 168   0   0   2    -99    -99  6491  5.781   2962 1  -8.067  0.007    0   1  38 126   0   0  13    -99    -99  5861  6.066   2962 1  
    48885.5851     1137    West         300       0x101bf       1.7129           -8.809  0.002    0   1   0 212   0   0   2    -99    -99  5704  3.234   2962 1  -8.036  0.004    0   1   4 188   0   0  13    -99    -99  5499  3.488   2962 1  
    48887.6492     1178    West         300       0x101bf       1.4331           -8.848  0.004    0   1  34 136   0   0   2    -99    -99  5294  5.840   2962 1  -8.100  0.008    0   1  40 112   0   0  13    -99    -99  5422  6.084   2962 1  
    48892.7287     1223    West         300       0x101bf       1.2467           -8.842  0.003    0   1  10 155   0   0   2    -99    -99  4052  4.381   2962 1  -8.081  0.004    0   1  20 127   0   0  13    -99    -99  3859  4.623   2962 1  
    48894.7101     1236    West         300       0x101bf       1.2624           -8.835  0.004    0   1  28 152   0   0   2    -99    -99  4043  5.337   2962 1  -8.051  0.006    0   1  37 120   0   0  13    -99    -99  3841  5.704   2962 1  
    48895.6892     1260    West         300       0x101bf       1.2895           -8.575  9.999    0  47   0   0   0   0   2    -99    -99  4349  3.028   2962 1  -8.038  0.003    0   1   0 137   0   0  13    -99    -99  4299  3.031   2962 1  
    48895.6921     1261    West         150       0x101bf       1.2850              -99    -99  999 999 999 999 999 999   2    -99    -99  2215  3.418   2962 0  -8.048  0.004    0   1   6 118   0   0  13    -99    -99  2181  3.395   2962 1  
    48895.7019     1264    West          75       0x101bf       1.2699              -99    -99  999 999 999 999 999 999   2    -99    -99  1150  3.295   2962 0  -8.059  0.005    0   1   0 109   0   0  13    -99    -99  1069  3.257   2962 1  
    48895.7081     1265    West         450       0x101bf       1.2615              -99    -99  999 999 999 999 999 999   2    -99    -99  6419  3.394   2962 0  -8.066  0.003    0   1   1 126   0   0  13    -99    -99  6273  3.341   2962 1  
    48895.7110     1266    West          35       0x101bf       1.2579              -99    -99  999 999 999 999 999 999   2    -99    -99   591  3.226   2962 0  -8.052  0.008    0   1   0 112   0   0  13    -99    -99   512  3.169   2962 1  
    48895.7125     1267    West         600       0x00110       1.2464              -99    -99  999 999 999 999 999 999   2    -99    -99  8252  3.550   2962 0  -8.058  0.002    0   1   5 144   0   0  13    -99    -99  8067  3.446   2962 1  
    48896.7376     1282    West         300       0x101bf       1.2287           -8.803  0.003    0  41   8 156 106   0   2    -99    -99  5255  3.974   2962 1  -8.064  0.005    0   1  14 114   0   0  13    -99    -99  5159  4.012   2962 1  
    48901.7684     1298    West         300       0x101bf       1.2125           -8.895  0.005    0   1  19 219   0   0   2    -99    -99  5643  6.703   2962 1  -8.078  0.008    0   1  39 179   0   0  13    -99    -99  5206  5.987   2962 1  
    48901.7747     1299    West         300       0x101bf       1.2129           -8.798  0.002    0   1   0 147   0   0   2    -99    -99 10118  3.504   2962 1  -8.014  0.004    0   1   9 119   0   0  13    -99    -99  7374  3.591   2962 1  
    48906.5562     1302    West         300       0x101bf       1.5812           -8.784  0.004    0   1   9 159   0   0   2    -99    -99 25254  4.225   2962 1  -8.004  0.008  -15   1  27 162   0   0  13    -99    -99 38700  4.595   2962 1  
    48906.6080     1314    West         300       0x101bf       1.4018           -8.761  0.003    0   1   3 158   0   0   2    -99    -99 27549  3.724   2962 1  -7.978  0.007  -20   1  12 165   0   0  13    -99    -99 38626  3.762   2962 1  
    48907.5422     1317    West         300       0x101bf       1.6301           -8.760  0.003    0   1   0 158   0   0   2    -99    -99 29642  3.452   2962 1  -7.984  0.007  -16   1   3 166   0   0  13    -99    -99 38347  3.514   2962 1  
    48908.4272     1330    West         300       0x101bf       2.3773           -8.785  0.002    0   1   0 179   0   0   2    -99    -99 16465  2.322   2962 1  -7.981  0.004    0   1   0 167   0   0  13    -99    -99 13697  2.617   2962 1  
    48908.5365     1347    West         300       0x101bf       1.6436           -8.763  0.002    0   1   0 162   0   0   2    -99    -99 20710  2.912   2962 1  -7.995  0.004    0   1   0 148   0   0  13    -99    -99 23847  2.946   2962 1  
    48908.6634     1360    West         300       0x101bf       1.2745           -8.760  0.002    0   1   0 180   0   0   2    -99    -99 15589  2.940   2962 1  -7.975  0.004   -2   1   0 159   0   0  13    -99    -99 19219  2.717   2962 1  
    48909.5452     1372    West         300       0x101bf       1.5924           -8.769  0.002    0   1   0 166   0   0   2    -99    -99 15787  2.825   2962 1  -7.990  0.004    0   1   0 154   0   0  13    -99    -99 16254  2.742   2962 1  
    48914.7264     1386    West         300       0x101bf       1.2129           -8.763  0.004    0  41  27 145   0   0   2    -99    -99  6307  5.018   2962 1  -8.030  0.006    0   1  39 110   0   0  13    -99    -99  5176  5.529   2962 1  
    48915.5784     1397    West         300       0x101bf       1.4166           -8.818  0.006    0   1  33 127   0   0   2    -99    -99  5373  6.554   2962 1  -8.075  0.011    0   1  50 114   0   0  13    -99    -99  5220  7.096   2962 1  
    48916.6626     1436    West         300       0x101bf       1.2471           -8.808  0.003    0   1   8 146   0   0   2    -99    -99  4484  4.146   2962 1  -8.052  0.004    0   1  27 123   0   0  13    -99    -99  4284  4.296   2962 1  
    48917.5002     1458    West         300       0x101bf       1.6996           -8.797  0.002    0   1   0 188   0   0   2    -99    -99  6440  3.388   2962 1  -8.048  0.004    0   1   3 165   0   0  13    -99    -99  5949  3.620   2962 1  
    48918.6912     1504    West         300       0x101bf       1.2201           -8.817  0.002    0   1   0 207   0   0   2    -99    -99  4685  2.571   2962 1  -8.041  0.004    0   1  35 151   0   0  13    -99    -99  4464  2.540   2962 1  
    48919.5012     1520    West         300       0x101bf       1.6690           -8.810  0.002    0   1   0 170   0   0   2    -99    -99  6162  3.096   2962 1  -8.050  0.003    0   1   0 152   0   0  13    -99    -99  5698  3.211   2962 1  
    48920.4769     1571    West         300       0x101bf       1.7804           -8.807  0.002    0   1   0 154   0   0   2    -99    -99  6437  2.944   2962 1  -8.063  0.003    0   1   0 133   0   0  13    -99    -99  5818  3.000   2962 1  
    48923.6967     1583    West         300       0x101bf       1.2135           -8.815  0.008    0   1   0 129   0   0   2    -99    -99  6835  3.603   2962 1  -8.040  0.014    0   1   3 122   0   0  13    -99    -99  6386  3.463   2962 1  
    48927.4445     1598    West         300       0x101bf       1.8585           -8.806  0.003    0   1  11 170   0   0   2    -99    -99  9627  4.308   2962 1  -8.029  0.006    0   1  30 140   0   0  13    -99    -99  8212  4.708   2962 1  
    48928.4802     1664    West         300       0x101bf       1.6515           -8.779  0.002    0   1   0 167   0   0   2    -99    -99  8591  3.316   2962 1  -8.025  0.004    0   1  12 152 182   0  13    -99    -99  9204  3.635   2962 1  
    48929.4279     1714    West         300       0x101bf       1.9293           -8.796  0.003    0   1   6 164   0   0   2    -99    -99 11812  4.080   2962 1  -8.023  0.006    0   1  20 147   0   0  13    -99    -99 12556  4.385   2962 1  
    48929.6630     1763    West         300       0x101bf       1.2192           -8.780  0.002    0   1   0 169   0   0   2    -99    -99  4516  3.291   2962 1  -8.008  0.004    0   1  10 150   0   0  13    -99    -99  4313  3.458   2962 1  
    48930.4311     1780    West         300       0x101bf       1.8906           -8.800  0.007    0   1  37 145   0   0   2    -99    -99 16352  6.137   2962 1  -8.068  0.013    0   1  44 135   0   0  13    -99    -99 16857  6.625   2962 1  
    48931.4151     1799    West         300       0x101bf       1.9783           -8.791  0.004    0   1  15 140   0   0   2    -99    -99 15240  4.303   2962 1  -8.030  0.007    0   1  24 146   0   0  13    -99    -99 18621  4.593   2962 1  
    48931.6136     1834    West         300       0x101bf       1.2567           -8.771  0.002    0   1   0 156   0   0   2    -99    -99  7578  3.244   2962 1  -8.003  0.004    0   1   1 142   0   0  13    -99    -99  9779  3.350   2962 1  
    48932.7462     1868    West         300       0x101bf       1.2449           -8.749  0.003    0   1   0 144   0   0   2    -99    -99 11309  3.240   2962 1  -8.001  0.005    0   1   1 131   0   0  13    -99    -99  8813  3.514   2962 1  
    48933.4587     1871    West         300       0x101bf       1.6896           -8.764  0.003    0   1   0 160   0   0   2    -99    -99 21870  3.081   2962 1  -7.986  0.005    0   1   0 155  78   0  13    -99    -99 27606  3.115   2962 1  
    48933.6732     1892    West         300       0x101bf       1.2129           -8.760  0.002    0   1   0 168   0   0   2    -99    -99  9968  3.147   2962 1  -7.997  0.004    0   1   0 157   0   0  13    -99    -99 12315  3.325   2962 1  
    48935.5240     1898    West         300       0x101bf       1.4156           -8.810  0.010    0   1  43 130   0   0   2    -99    -99 28222  7.307   2962 1  -7.961  0.023  -10   1  53 161   0   0  13    -99    -99 33138  7.638   2962 1  
    48937.5944     1926    West         300       0x101bf       1.2602           -8.752  0.004    0   1  14 150   0   0   2    -99    -99 19549  4.595   2962 1  -7.954  0.008    0   1  34 145   0   0  13    -99    -99 20176  4.996   2962 1  
    48938.4567     1953    West         300       0x101bf       1.6344           -8.752  0.003    0   1   0 147   0   0   2    -99    -99  8619  3.755   2962 1  -7.985  0.004    0   1  16 127   0   0  13    -99    -99  7195  3.899   2962 1  
    48939.4889     2014    West         300       0x101bf       1.4931           -8.747  0.002    0   1   0 143   0   0   2    -99    -99  5933  3.561   2962 1  -7.955  0.004    0   1   8 138   0   0  13    -99    -99  5145  3.713   2962 1  
    48939.6468     2040    West         300       0x101bf       1.2150           -8.749  0.003    0   1   8 146   0   0   2    -99    -99 13070  3.975   2962 1  -7.978  0.005    0   1  25 124   0   0  13    -99    -99 12465  4.194   2962 1  
    48941.5465     2058    West         300       0x101bf       1.3208           -8.741  0.003    0   1   0 167   0   0   2    -99    -99  5932  3.383   2962 1  -7.975  0.004    0   1   1 138   0   0  13    -99    -99  5823  3.413   2962 1  
    48941.6713     2084    West         300       0x101bf       1.2136           -8.737  0.003    0   1   0 180   0   0   2    -99    -99  9204  3.635   2962 1  -7.988  0.005    0   1  20 157   0   0  13    -99    -99  9056  3.882   2962 1  
    48947.5791     2095    West         300       0x101bf       1.2459           -8.833  0.005    0   1  36 119   0   0   2    -99    -99  4159  6.277   2962 1  -8.052  0.008    0   1  43 102   0   0  13    -99    -99  3980  6.281   2962 1  
    48947.7027     2119    West         300       0x101bf       1.2422           -8.796  0.005    0   1  35 123   0   0   2    -99    -99  4442  6.008   2962 1  -8.047  0.007    0   1  45 110   0   0  13    -99    -99  3180  6.351   2962 1  
    48948.6285     2137    West         300       0x101bf       1.2135           -8.805  0.002    0   1   0 179   0   0   2    -99    -99  4139  2.746   2962 1  -8.021  0.003    0   1   0 144   0   0  13    -99    -99  3845  2.688   2962 1  
    48949.4835     2156    West         300       0x101bf       1.4223           -8.796  0.002    0   1   0 161   0   0   2    -99    -99  5334  3.130   2962 1  -8.020  0.003    0   1   0 145   0   0  13    -99    -99  5281  3.119   2962 1  
    48964.6338     2179    West         300       0x101bf       1.2234           -8.756  0.005    0   1  19 106   0   0   2    -99    -99  9557  4.973   2962 1  -7.984  0.010    0   1  37  87   0   0  13    -99    -99 10129  5.391   2962 1  
    48965.4685     2200    West         300       0x101bf       1.3503           -8.704  0.005    0   1  12 155   0   0   2    -99    -99 15340  4.317   2962 1  -7.977  0.010    0   1  30 104   0   0  13    -99    -99 15478  4.555   2962 1  
    48965.6070     2226    West         300       0x101bf       1.2137           -8.751  0.005    0   1   9 114   0   0   2    -99    -99 15340  4.221   2962 1  -7.989  0.009    0   1  26 102   0   0  13    -99    -99 16343  4.519   2962 1  
    48965.7129     2238    East         300       0x101bf       1.3326           -8.745  0.004    0  41   0 140  81   0   6    -99    -99 14379  3.343   2962 1  -7.925  0.006    0   1   3 112   0   0   9    -99    -99 13997  3.293   2962 1  
    48966.4633     2245    West         300       0x101bf       1.3560           -8.755  0.003    0   1   0 135   0   0   2    -99    -99 12432  3.315   2962 1  -7.929  0.006    0   1   2 122   0   0  13    -99    -99 12686  3.371   2962 1  
    48966.5872     2269    West         300       0x101bf       1.2126           -8.755  0.004    0   1   0 142   0   0   2    -99    -99 13013  3.610   2962 1  -7.968  0.007    0   1  21 106   0   0  13    -99    -99 13660  3.875   2962 1  
    48966.7243     2298    East         300       0x101bf       1.3649           -8.756  0.004    0  41  15 117   0   0   6    -99    -99 14363  4.293   2962 1  -7.946  0.008    0   1  19 107   0   0   9    -99    -99 13423  4.230   2962 1  
    48967.6893     2303    West         300       0x101bf       1.2975           -8.723  0.005    0   1   0 175   0   0   2    -99    -99 20935  3.452   2962 1  -7.949  0.010   25   1  18 163   0   0  13    -99    -99 17611  4.045   2962 1  
    48967.7082     2307    West         300       0x101bf       1.3342           -8.733  0.003    0   1   0 147   0   0   2    -99    -99  9752  3.002   2962 1  -7.954  0.005    0   1   0 126   0   0  13    -99    -99 10173  3.175   2962 1  
    48967.7262     2308    East         300       0x101bf       1.3765           -8.744  0.003    0   1   0 140   0   0   6    -99    -99 11332  3.099   2962 1  -7.912  0.005    0   1   0 107   0   0   9    -99    -99 11317  2.964   2962 1  
    48973.7405     2313    East         300       0x101bf       1.4665           -8.733  0.011    0   1   0 131   0   0   6    -99    -99 51347  3.663   2962 1  -7.950  0.013    0   1   9 101   0   0   9    -99    -99 15916  3.807   2962 1  
    48974.5138     2316    West         300       0x101bf       1.2385           -8.777  0.004    0   1   4 119   0   0   2    -99    -99  3713  3.872   2962 1  -7.993  0.006    0   1  12 100   0   0  13    -99    -99  3306  3.771   2962 1  
    48983.6562     2324    West         300       0x101bf       1.3168           -8.791  0.003    0   1   1 109   0   0   2    -99    -99  2932  3.698   2962 1  -8.008  0.005    0   1  17 105   0   0  13    -99    -99  2024  3.900   2962 1  
