!  Star 78.6215.42                         RA  05 18 27.450   DEC  -70 00 46.44
#  1672 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.294          389.19,  463.79             35
#    Blue:            -7.298          385.09,  469.84             76
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48825.6343      338    West         300       0x101bf       2.4627              -99    -99  999 999 999 999 999 999   5    -99    -99 11108  4.556   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  8693  4.447   2841 0  
    48828.7980      415    West         300       0x101bf       1.4362              -99    -99  999 999 999 999 999 999   5    -99    -99  6045  5.611   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  4661  5.620   2841 0  
    48829.8104      448    West         300       0x101bf       1.3926              -99    -99  999 999 999 999 999 999   5    -99    -99  7241  5.270   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  4886  5.299   2841 0  
    48831.7846      481    West         300       0x101bf       1.4527              -99    -99  999 999 999 999 999 999   5    -99    -99  5609  4.371   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  4267  4.300   2841 0  
    48832.8282      513    West         300       0x101bf       1.3301              -99    -99  999 999 999 999 999 999   5    -99    -99 23797  5.380   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  6797  5.521   2841 0  
    48833.8162      528    West         300       0x101bf       1.3500              -99    -99  999 999 999 999 999 999   5    -99    -99  6445  7.100   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  4292  7.321   2841 0  
    48834.7901      579    West         300       0x101bf       1.4103              -99    -99  999 999 999 999 999 999   5    -99    -99  5310  3.829   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  4110  3.875   2841 0  
    48835.6760      643    West         300       0x101bf       1.9163              -99    -99  999 999 999 999 999 999   5    -99    -99  6114  6.141   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  4458  6.396   2841 0  
    48841.7809      772    West         300       0x101bf       1.3793           -8.307  0.004    0   1   0 159   0   0   5    -99    -99  5944  4.594   2841 1  -7.312  0.007    0   1   0 118   0   0  10    -99    -99  3675  4.551   2841 1  
    48842.8300      811    West         300       0x101bf       1.2732           -8.327  0.004    0   1   0 152 142   0   5    -99    -99 10186  3.414   2841 1  -7.329  0.011   13   1   0 144   0   0  10    -99    -99 18533  3.387   2841 1  
    48843.7810      846    West         300       0x101bf       1.3650           -8.330  0.005    0   1   0 112   0   0   5    -99    -99  5801  5.118   2841 1  -7.344  0.010    0   1  18 120   0   0  10    -99    -99  4530  5.337   2841 1  
    48854.7095      981    West         300       0x101bf       1.4911              -99    -99  999 999 999 999 999 999   5    -99    -99  8287  4.617   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  7584  4.608   2841 0  
    48855.6801     1027    West         300       0x101bf       1.5951              -99    -99  999 999 999 999 999 999   5    -99    -99  7438  3.196   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  6363  3.086   2841 0  
    48856.7624     1083    West         300       0x101bf       1.3279              -99    -99  999 999 999 999 999 999   5    -99    -99  6969  3.783   2841 0     -99    -99  999 999 999 999 999 999  10    -99    -99  5376  3.745   2841 0  
    48882.6121     1101    West         300       0x101bf       1.5979           -8.309  0.003    0   1   0 190   0   0   5    -99    -99  9590  4.329   2841 1  -7.300  0.007   15   1   0 149   0   0  10    -99    -99  9296  4.138   2841 1  
    48884.6225     1104    West         300       0x101bf       1.5333           -8.302  0.004    0   1   0 138   0   0   5    -99    -99  6551  4.953   2841 1  -7.316  0.008    0   1  11 118   0   0  10    -99    -99  5197  5.067   2841 1  
    48885.5898     1138    West         300       0x101bf       1.6622           -8.306  0.003    0   1   0 167   0   0   5    -99    -99  5706  3.611   2841 1  -7.345  0.005    0   1   0 134   0   0  10    -99    -99  5285  3.725   2841 1  
    48885.7561     1167    West         300       0x101bf       1.2328           -8.302  0.003    0   1   0 195   0   0   5    -99    -99  6166  3.614   2841 1  -7.321  0.005    0   1   0 161   0   0  10    -99    -99  5192  3.756   2841 1  
    48887.6537     1179    West         300       0x101bf       1.4033           -8.297  0.005    0   1   3 119   0   0   5    -99    -99  5156  5.585   2841 1  -7.333  0.010    0   1  23 122   0   0  10    -99    -99  5016  5.715   2841 1  
    48888.7085     1201    West         300       0x101bf       1.2798           -8.302  0.003    0   1   0 182   0   0   5    -99    -99  5339  3.697   2841 1  -7.345  0.006    0   1   0 150   0   0  10    -99    -99  4802  3.856   2841 1  
    48892.7389     1224    West         300       0x101bf       1.2314           -8.286  0.003    0   1   0 138   0   0   5    -99    -99  4150  4.749   2841 1  -7.321  0.007    0   1  10 127   0   0  10    -99    -99  3708  4.956   2841 1  
    48894.7146     1237    West         300       0x101bf       1.2496           -8.270  0.004    0   1   0 146   0   0   5    -99    -99  4206  5.360   2841 1  -7.266  0.010    0   1  25 119   0   0  10    -99    -99  3802  5.673   2841 1  
    48895.6835     1259    West         300       0x101bf       1.2892           -8.260  0.002    0   1   0 166   0   0   5    -99    -99  4451  3.030   2841 1  -7.259  0.004  -19   1   0 138   0   0  10    -99    -99  4176  2.996   2841 1  
    48896.7424     1283    West         300       0x101bf       1.2215           -8.266  0.004   -1   1   0 135   0   0   5    -99    -99  4980  4.579   2841 1  -7.242  0.009  -35   1   6 117   0   0  10    -99    -99  4435  4.821   2841 1  
    48901.7638     1297    West         300       0x101bf       1.2121           -8.275  0.004    0   1   4 253   0   0   5    -99    -99  3210  5.694   2841 1  -7.215  0.008   31   1  22 199   0   0  10    -99    -99  2562  5.816   2841 1  
    48901.7792     1300    West         300       0x101bf       1.2143           -8.296  0.003    0   1   0 155   0   0   5    -99    -99 29276  3.072   2841 1  -7.260  0.007    0   1   0 129   0   0  10    -99    -99 17341  3.076   2841 1  
    48906.5607     1303    West         300       0x101bf       1.5400           -8.311  0.005    0   1   0 134   0   0   5    -99    -99 27859  3.927   2841 1  -7.360  0.013    0   1   0 151   0   0  10    -99    -99 40320  3.965   2841 1  
    48907.5467     1318    West         300       0x101bf       1.5855           -8.316  0.005    0   1   0 148   0   0   5    -99    -99 31882  3.791   2841 1  -7.381  0.013   33   1   0 155   0   0  10    -99    -99 39394  3.681   2841 1  
    48908.4317     1331    West         300       0x101bf       2.2904           -8.318  0.003    0   1   0 176   0   0   5    -99    -99 18490  2.646   2841 1  -7.356  0.006   10   1   0 152   0   0  10    -99    -99 15321  2.645   2841 1  
    48908.6885     1364    West         300       0x101bf       1.2372           -8.326  0.003    0   1   0 166   0   0   5    -99    -99 16284  2.923   2841 1  -7.336  0.006    0   1   0 152   0   0  10    -99    -99 18988  2.911   2841 1  
    48909.5497     1373    West         300       0x101bf       1.5507           -8.328  0.003    0   1   0 180 163   0   5    -99    -99 17472  2.944   2841 1  -7.313  0.006    0   1   0 146   0   0  10    -99    -99 17447  2.715   2841 1  
    48914.7310     1387    West         300       0x101bf       1.2122           -8.284  0.004   -2   1   0 145   0   0   5    -99    -99  6639  5.165   2841 1  -7.283  0.010  -25   1  19 126   0   0  10    -99    -99  5294  5.490   2841 1  
    48915.5832     1398    West         300       0x101bf       1.3871           -8.290  0.007    0   1  17 110   0   0   5    -99    -99  5037  6.719   2841 1  -7.316  0.017    0   1  40 109   0   0  10    -99    -99  4654  7.096   2841 1  
    48915.6590     1414    West         300       0x101bf       1.2477           -8.269  0.006    0   1   9 113   0   0   5    -99    -99  4486  6.260   2841 1  -7.276  0.013    0   1  33 108   0   0  10    -99    -99  4160  6.562   2841 1  
    48915.7564     1435    West         300       0x101bf       1.2205           -8.257  0.016   -2   1  13 118   0   0   5    -99    -99 10089  6.794   2841 1  -7.312  0.039  -39   1  39 122   0   0  10    -99    -99  9219  7.150   2841 1  
    48916.6671     1437    West         300       0x101bf       1.2366           -8.307  0.003    0   1   0 124   0   0   5    -99    -99  4570  4.418   2841 1  -7.294  0.007    0   1   4 130   0   0  10    -99    -99  4102  4.550   2841 1  
    48917.5048     1459    West         300       0x101bf       1.6500           -8.304  0.003    0   1   0 146   0   0   5    -99    -99  6414  3.534   2841 1  -7.308  0.006    0   1   0 125   0   0  10    -99    -99  5724  3.459   2841 1  
    48918.6968     1505    West         300       0x101bf       1.2150           -8.291  0.002    0   1   0 156   0   0   5    -99    -99  4670  2.964   2841 1  -7.297  0.004    0   1   0 152   0   0  10    -99    -99  4153  2.993   2841 1  
    48919.5078     1521    West         300       0x101bf       1.6119           -8.278  0.003    0   1   0 158   0   0   5    -99    -99  6228  3.135   2841 1  -7.290  0.005    0   1   0 126   0   0  10    -99    -99  5454  2.977   2841 1  
    48920.4815     1572    West         300       0x101bf       1.7257           -8.270  0.003    0   1   0 134   0   0   5    -99    -99  6820  2.956   2841 1  -7.282  0.005    0   1   0 133   0   0  10    -99    -99  5844  2.850   2841 1  
    48923.7081     1584    West         300       0x101bf       1.2122           -8.272  0.003    0   1   0 189   0   0   5    -99    -99  5652  3.393   2841 1  -7.264  0.006    0   1   0 141   0   0  10    -99    -99  4625  3.308   2841 1  
    48927.4490     1599    West         300       0x101bf       1.7989           -8.277  0.006    0   1   0 155   0   0   5    -99    -99 10523  4.939   2841 1  -7.294  0.013    0   1  20 133   0   0  10    -99    -99  8509  5.211   2841 1  
    48928.4848     1665    West         300       0x101bf       1.6051           -8.292  0.003    0   1   0 148   0   0   5    -99    -99  8956  3.064   2841 1  -7.316  0.005    0   1   0 131   0   0  10    -99    -99  9151  3.064   2841 1  
    48929.4325     1715    West         300       0x101bf       1.8646           -8.295  0.004    0   1   0 145   0   0   5    -99    -99 12436  3.994   2841 1  -7.303  0.010    0   1   0 135   0   0  10    -99    -99 12634  4.127   2841 1  
    48930.4359     1781    West         300       0x101bf       1.8275           -8.281  0.009    0   1   7 112   0   0   5    -99    -99 17078  6.051   2841 1  -7.270  0.025    0   1  32 132   0   0  10    -99    -99 16777  6.390   2841 1  
    48931.4330     1800    West         300       0x101bf       1.8282           -8.296  0.004    0   1   0 133   0   0   5    -99    -99 14903  3.805   2841 1  -7.309  0.009    0   1   0 132   0   0  10    -99    -99 17662  3.833   2841 1  
    48931.6187     1835    West         300       0x101bf       1.2438           -8.310  0.003    0   1   0 125   0   0   5    -99    -99  8165  3.166   2841 1  -7.332  0.005    0   1   0 138   0   0  10    -99    -99  9826  3.213   2841 1  
    48932.7520     1869    West         300       0x101bf       1.2576           -8.355  0.021  -23   1   0 139  86   0   5    -99    -99 48555  2.945   2841 1  -7.362  0.041   52   1   0 145   0   0  10    -99    -99 29361  3.028   2841 1  
    48933.4633     1872    West         300       0x101bf       1.6408           -8.322  0.010    0   1   0 149   0   0   5    -99    -99 55197  3.865   2841 1  -7.328  0.023   60   1   0 150   0   0  10    -99    -99 46398  3.705   2841 1  
    48933.5883     1876    West         300       0x101bf       1.2755           -8.321  0.003    0   1   0 144   0   0   5    -99    -99 14124  3.577   2841 1  -7.318  0.008    0   1   0 139   0   0  10    -99    -99 18646  3.590   2841 1  
    48933.7448     1896    West         300       0x101bf       1.2522           -8.334  0.003    0   1   0 147 143   0   5    -99    -99  9110  3.384   2841 1  -7.323  0.005    0   1   0 130   0   0  10    -99    -99  7236  3.289   2841 1  
    48935.5287     1899    West         300       0x101bf       1.3869           -8.254  0.020    0   1  28 124 128   0   5    -99    -99 28099  7.642   2841 1  -7.314  0.050   29   1  47 140   0   0  10    -99    -99 32110  7.934   2841 1  
    48937.5992     1927    West         300       0x101bf       1.2472           -8.298  0.006    0   1   0 138   0   0   5    -99    -99 20962  4.812   2841 1  -7.326  0.014    0   1  13 133   0   0  10    -99    -99 20981  5.101   2841 1  
    48938.4614     1954    West         300       0x101bf       1.5884           -8.301  0.003    0   1   0 133   0   0   5    -99    -99 10849  3.780   2841 1  -7.318  0.007    0   1   0 126   0   0  10    -99    -99  8813  3.746   2841 1  
    48939.4946     2015    West         300       0x101bf       1.4545           -8.311  0.003    0   1   0 139   0   0   5    -99    -99  7156  3.838   2841 1  -7.336  0.006    0   1   0 129   0   0  10    -99    -99  5851  3.862   2841 1  
    48939.6518     2041    West         300       0x101bf       1.2124           -8.301  0.004    0   1   0 149   0   0   5    -99    -99 13708  4.091   2841 1  -7.307  0.008    0   1   0 135   0   0  10    -99    -99 12769  4.213   2841 1  
    48941.5509     2059    West         300       0x101bf       1.3011           -8.302  0.004    0   1   0 138   0   0   5    -99    -99  6404  3.591   2841 1  -7.307  0.008    0   1   0 131   0   0  10    -99    -99  5825  3.597   2841 1  
    48941.6758     2085    West         300       0x101bf       1.2161           -8.307  0.003    0   1   0 175   0   0   5    -99    -99 10414  3.473   2841 1  -7.321  0.007    0   1   0 155   0   0  10    -99    -99  9761  3.573   2841 1  
    48947.5845     2096    West         300       0x101bf       1.2349           -8.270  0.006    0   1  12 109 173   0   5    -99    -99  4182  6.373   2841 1  -7.275  0.013    0   1  34 111   0   0  10    -99    -99  3648  6.561   2841 1  
    48947.7125     2121    West         300       0x101bf       1.2596           -8.325  0.006    0   1   3  98 204   0   5    -99    -99  4563  5.952   2841 1  -7.300  0.011    0   1  29 105   0   0  10    -99    -99  3151  6.192   2841 1  
    48948.6382     2139    West         300       0x101bf       1.2121           -8.303  0.002    0   1   0 181   0   0   5    -99    -99  4363  3.000   2841 1  -7.280  0.004    0   1   0 136   0   0  10    -99    -99  3649  2.928   2841 1  
    48949.4880     2157    West         300       0x101bf       1.3933           -8.300  0.002    0   1   0 143 189   0   5    -99    -99  5458  2.994   2841 1  -7.291  0.005    0   1   0 138   0   0  10    -99    -99  5174  2.887   2841 1  
