!  Star 78.6460.7                          RA  05 19 56.050   DEC  -69 48 06.44
#  1677 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.773         1726.90, 1672.28             51
#    Blue:            -7.959         1727.44, 1689.91             67
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48825.6343      338    West         300       0x101bf       2.4627           -9.609  0.003    0   1   0 152   0   0   7    -99    -99 11838  4.411   5663 1  -7.567  0.013    0   1  39 107   0   0   9    -99    -99  9162  4.525   5663 1  
    48828.7980      415    West         300       0x101bf       1.4362           -9.627  0.003    0   1  11 144   0   0   7    -99    -99  6879  5.591   5663 1  -7.531  0.018    0   9  68  82   0   0   9    -99    -99  5198  5.735   5663 1  
    48829.8104      448    West         300       0x101bf       1.3926           -9.626  0.003    0   1   1 154   0   0   7    -99    -99  7995  5.219   5663 1  -7.545  0.016    0   9  64  85   0   0   9    -99    -99  5432  5.330   5663 1  
    48831.7846      481    West         300       0x101bf       1.4527           -9.621  0.002    0   1   0 169   0   0   7    -99    -99  6271  4.347   5663 1  -7.564  0.010    0   1  50 103   0   0   9    -99    -99  4702  4.400   5663 1  
    48832.8282      513    West         300       0x101bf       1.3301           -9.629  0.003    0   1   7 135   0   0   7    -99    -99 25219  5.366   5663 1  -7.552  0.017    0   9  62  86   0   0   9    -99    -99  7437  5.556   5663 1  
    48833.8162      528    West         300       0x101bf       1.3500           -9.623  0.005    0   1  25  96   0   0   7    -99    -99  7256  7.099   5663 1  -7.574  0.030    0   1  79  57   0   0   9    -99    -99  4837  7.395   5663 1  
    48834.7901      579    West         300       0x101bf       1.4103           -9.620  0.002    0   1   0 154   0   0   7    -99    -99  6064  3.749   5663 1  -7.567  0.008    0   9  30  99   0   0   9    -99    -99  4665  3.816   5663 1  
    48835.6760      643    West         300       0x101bf       1.9163           -9.646  0.004    0   1  13 116   0   0   7    -99    -99  6799  6.036   5663 1  -7.589  0.020    0   9  66  73   0   0   9    -99    -99  4908  6.393   5663 1  
    48841.7809      772    West         300       0x101bf       1.3793           -9.664  0.002    0   1   0 196   0   0   7    -99    -99  6744  4.582   5663 1  -7.625  0.011    0   1  51 104   0   0   9    -99    -99  4264  4.637   5663 1  
    48842.8300      811    West         300       0x101bf       1.2732           -9.548  0.002    0   1   0 227 197   0   7    -99    -99 10862  3.397   5663 1  -7.569  0.010    0   1  15 120   0   0   9    -99    -99 19648  3.353   5663 1  
    48843.7810      846    West         300       0x101bf       1.3650           -9.667  0.003    0   1   1 126   0   0   7    -99    -99  6589  5.068   5663 1  -7.613  0.016    0   1  68  88   0   0   9    -99    -99  5185  5.334   5663 1  
    48854.7095      981    West         300       0x101bf       1.4911           -9.700  0.002    0   1   0 197   0   0   7    -99    -99  9145  4.586   5663 1  -7.683  0.012    0   1  48 158 189   0   9    -99    -99  8251  4.658   5663 1  
    48855.6801     1027    West         300       0x101bf       1.5951           -9.665  0.002    0   1 255 253 192   0   7    -99    -99  8177  3.256   5663 1  -7.725  0.006  -10   1   1 168  70   0   9    -99    -99  6996  3.142   5663 1  
    48856.7624     1083    West         300       0x101bf       1.3279           -9.703  0.002    0   1   0 221   0   0   7    -99    -99  7732  3.803   5663 1  -7.705  0.007    0   1  36 121 113   0   9    -99    -99  5937  3.787   5663 1  
    48882.6121     1101    West         300       0x101bf       1.5979           -9.763  0.002    0   1   0 234   0   0   7    -99    -99 10403  4.312   5663 1  -7.834  0.008    0   1  45 145   0   0   9    -99    -99 10114  4.267   5663 1  
    48884.6225     1104    West         300       0x101bf       1.5333           -9.759  0.002    0   1   3 166   0   0   7    -99    -99  7371  4.834   5663 1  -7.813  0.010    0   1  61  95   0   0   9    -99    -99  5992  5.024   5663 1  
    48885.5898     1138    West         300       0x101bf       1.6622           -9.763  0.002    0   1 255 200 212   0   7    -99    -99  6474  3.505   5663 1  -7.826  0.006    0   1  18 137   0   0   9    -99    -99  6116  3.625   5663 1  
    48885.7561     1167    West         300       0x101bf       1.2328           -9.706  0.002    0   1 255 201 218   0   7    -99    -99  7043  3.632   5663 1  -7.797  0.006    0   1  34 139   0   0   9    -99    -99  6138  3.673   5663 1  
    48887.6537     1179    West         300       0x101bf       1.4033           -9.761  0.003    0   1  11 137   0   0   7    -99    -99  5974  5.534   5663 1  -7.837  0.014   -1   9  69  96   0   0   9    -99    -99  5890  5.724   5663 1  
    48888.7085     1201    West         300       0x101bf       1.2798           -9.755  0.002    0   1   0 213   0   0   7    -99    -99  6153  3.671   5663 1  -7.801  0.007    0   1  34 135   0   0   9    -99    -99  5665  3.756   5663 1  
    48892.7389     1224    West         300       0x101bf       1.2314           -9.763  0.002    0   1   0 155   0   0   7    -99    -99  4999  4.713   5663 1  -7.829  0.009    0   1  54  88   0   0   9    -99    -99  4641  4.890   5663 1  
    48894.7146     1237    West         300       0x101bf       1.2496           -9.745  0.003    0   1   6 154   0   0   7    -99    -99  5085  5.331   5663 1  -7.814  0.012    0   1  69  80   0   0   9    -99    -99  4622  5.618   5663 1  
    48895.6835     1259    West         300       0x101bf       1.2892           -9.740  0.003    0   1 255 167 237   0   7    -99    -99  5260  3.035   5663 1  -7.834  0.004    0   1   0 129   0   0   9    -99    -99  4921  2.959   5663 1  
    48896.7424     1283    West         300       0x101bf       1.2215           -9.774  0.002    0   1   0 154   0   0   7    -99    -99  5965  4.501   5663 1  -7.865  0.009    0   1  45  93   0   0   9    -99    -99  5273  4.694   5663 1  
    48901.7638     1297    West         300       0x101bf       1.2121           -9.824  0.003  -14   9  16 253   0   0   7    -99    -99  2782  6.282   5663 1  -7.875  0.013    0   9  72 171   0   0   9    -99    -99  2301  6.277   5663 1  
    48901.7792     1300    West         300       0x101bf       1.2143           -9.761  0.004    0   1 255 152 240   0   7    -99    -99 31186  3.116   5663 1  -7.877  0.005  -10   1   6 134   0   0   9    -99    -99 19001  3.023   5663 1  
    48906.5607     1303    West         300       0x101bf       1.5400           -9.795  0.003    0   1 255 154 218   0   7    -99    -99 29661  3.840   5663 1  -7.891  0.009    0   1  24 142   0   0   9    -99    -99 43208  3.972   5663 1  
    48907.5467     1318    West         300       0x101bf       1.5855           -9.803  0.003    0   1 255 177 222   0   7    -99    -99 33751  3.720   5663 1  -7.918  0.009    0   1  22 139   0   0   9    -99    -99 42081  3.757   5663 1  
    48908.4317     1331    West         300       0x101bf       2.2904           -9.856  0.003    0   9 255 213 241   0   7    -99    -99 19743  2.606   5663 1  -7.941  0.004    0   1   0 195   0   0   9    -99    -99 16385  2.774   5663 1  
