!  Star 78.6698.38                         RA  05 21 49.298   DEC  -70 04 34.90
#  1673 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.188          805.20,   94.11             45
#    Blue:            -7.713          816.41,  139.45             56
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48825.6343      338    West         300       0x101bf       2.4627           -8.287  0.007    0   1  33 114   0   0   6    -99    -99 11151  4.361   5663 1  -7.862  0.010    0   1  31  98   0   0   8    -99    -99  5554  4.464   5663 1  
    48828.7980      415    West         300       0x101bf       1.4362           -8.467  0.008    0   1  52  88   0   0   6    -99    -99  6225  5.556   5663 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48829.8104      448    West         300       0x101bf       1.3926           -8.694  0.006    0   1  47 108   0   0   6    -99    -99  7368  5.227   5663 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48831.7846      481    West         300       0x101bf       1.4527           -8.954  0.003    0   1  27 134   0   0   6    -99    -99  5815  4.283   5663 1  -8.766  0.003   -7   1  30 112   0   0   8    -99    -99  2784  4.409   5663 1  
    48832.8282      513    West         300       0x101bf       1.3301           -8.909  0.006    0   1  44 121   0   0   6    -99    -99 23890  5.412   5663 1     -99    -99  999 999 999 999 999 999   8    -99    -99  4449  5.680   5663 0  
    48833.8162      528    West         300       0x101bf       1.3500           -8.862  0.010    0   1  72  92   0   0   6    -99    -99  6583  7.152   5663 1  -8.574  0.012    0  43  72 146   0   0   8    -99    -99  2747  7.621   5663 1  
    48834.7901      579    West         300       0x101bf       1.4103              -99    -99  999 999 999 999 999 999   6    -99    -99  5500  3.777   5663 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48835.6760      643    West         300       0x101bf       1.9163           -8.811  0.007    0   1  55  97   0   0   6    -99    -99  6167  6.107   5663 1  -8.482  0.008    0  41  58  95   0   0   8    -99    -99  2835  6.498   5663 1  
    48841.7809      772    West         300       0x101bf       1.3793           -8.742  0.004   -6   1  30 144   0   0   6    -99    -99  6080  4.488   5663 1  -8.319  0.005   -9   1  34 128   0   0   8    -99    -99  2420  4.632   5663 1  
    48842.8300      811    West         300       0x101bf       1.2732           -8.694  0.003    0   1   1 156   0   0   6    -99    -99 10135  3.371   5663 1  -8.278  0.006  -13   1   0 123   0   0   8    -99    -99 12066  3.438   5663 1  
    48843.7810      846    West         300       0x101bf       1.3650           -8.656  0.005    0   1  41  95   0   0   6    -99    -99  5867  5.161   5663 1  -8.241  0.008    0   1  49  84   0   0   8    -99    -99  2922  5.477   5663 1  
    48854.7095      981    West         300       0x101bf       1.4911              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999   8    -99    -99  4785  4.647   5663 0  
    48855.6801     1027    West         300       0x101bf       1.5951              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999   8    -99    -99  4133  3.193   5663 0  
    48856.7624     1083    West         300       0x101bf       1.3279              -99    -99  999 999 999 999 999 999   6    -99    -99  7015  3.762   5663 0     -99    -99  999 999 999 999 999 999   8    -99    -99  3448  3.870   5663 0  
    48882.6121     1101    West         300       0x101bf       1.5979           -8.869  0.003   -7   1  28 185   0   0   6    -99    -99  9706  4.122   5663 1  -8.668  0.003    0   1  22 188   0   0   8    -99    -99  5971  4.166   5663 1  
    48884.6225     1104    West         300       0x101bf       1.5333           -8.747  0.004    0   1  41 126   0   0   6    -99    -99  6648  4.849   5663 1  -8.442  0.006    0   1  46 119   0   0   8    -99    -99  3375  5.124   5663 1  
