!  Star 79.5137.17                         RA  05 11 52.051   DEC  -69 15 55.95
#  1564 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.721          493.96, 1075.43             27
#    Blue:           -10.101          489.53, 1072.08             78
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48825.6394      339    West         300       0x101bf       2.4084           -9.660  0.002    0   1   0 174   0   0   4    -99    -99 11096  4.452   2842 1 -10.050  0.002    0   1   0 215   0   0  10    -99    -99  9170  4.488   2842 1  
    48828.8031      416    West         300       0x101bf       1.4032           -9.662  0.002    0   1   0 189   0   0   4    -99    -99  6322  5.322   2842 1 -10.061  0.002    0   1   0 194   0   0  10    -99    -99  5006  5.406   2842 1  
    48829.8188      449    West         300       0x101bf       1.3538           -9.664  0.002    0   1   0 232   0   0   4    -99    -99  7624  4.461   2842 1 -10.065  0.001    0   1   0 238   0   0  10    -99    -99  4842  4.404   2842 1  
    48831.7898      482    West         300       0x101bf       1.4190           -9.661  0.002    0   1   0 196   0   0   4    -99    -99  5514  4.376   2842 1 -10.065  0.001    0   1   0 216   0   0  10    -99    -99  4389  4.327   2842 1  
    48833.8221      529    West         300       0x101bf       1.3202           -9.653  0.003    0   1   0 141   0   0   4    -99    -99 10518  6.942   2842 1 -10.050  0.003    0   1   0 157   0   0  10    -99    -99  5050  7.254   2842 1  
    48834.7955      580    West         300       0x101bf       1.3783           -9.683  0.001    0   1   0 199   0   0   4    -99    -99  5504  3.766   2842 1 -10.076  0.001    0   1 255 197 214   0  10    -99    -99  4593  3.765   2842 1  
    48835.6808      644    West         300       0x101bf       1.8657           -9.671  0.004    0   1   0 136   0   0   4    -99    -99  6499  7.270   2842 1 -10.051  0.003    0   1   0 164   0   0  10    -99    -99  4970  7.624   2842 1  
    48841.7859      773    West         300       0x101bf       1.3495           -9.719  0.001    0   1   0 253   0   0   4    -99    -99  6075  4.202   2842 1 -10.088  0.001    0   1   0 253   0   0  10    -99    -99  3855  4.183   2842 1  
    48843.7860      847    West         300       0x101bf       1.3359           -9.707  0.002    0   1   0 182   0   0   4    -99    -99  5674  4.596   2842 1 -10.082  0.001    0   1   0 204   0   0  10    -99    -99  4511  4.743   2842 1  
    48851.7827      923    West         300       0x101bd       1.2988           -9.683  0.004    0   1   0 136   0   0   4    -99    -99 10816  7.131   2842 1 -10.074  0.003    0   1   0 160   0   0  10    -99    -99 12436  7.479   2842 1  
    48854.7140      982    West         300       0x100af       1.4544           -9.698  0.002    0   1   0 246   0   0  -1    -99    -99   -99    -99      0 1 -10.085  0.001    0   1   0 249   0   0  -1    -99    -99   -99    -99      0 1  
    48855.6846     1028    West         300       0x101bf       1.5561              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.800  0.008    0   1 255 191 238   0  -1    -99    -99   -99    -99      0 1  
    48856.7671     1084    West         300       0x101bf       1.3024           -9.716  0.001    0   1   0 253   0   0   4    -99    -99  7264  3.547   2842 1 -10.099  0.001    0   1 255 253 219   0  10    -99    -99  5843  3.513   2842 1  
    48882.6217     1102    West         300       0x101bf       1.5378           -9.736  0.001    0  41   0 244   0   0   4    -99    -99  9805  4.240   2842 1 -10.103  0.001    0   1 255 253 217   0  10    -99    -99  9694  4.142   2842 1  
    48884.6273     1105    West         300       0x101bf       1.4954           -9.721  0.001    0   1   0 173   0   0   4    -99    -99  6807  4.444   2842 1 -10.116  0.001    0   1   0 216   0   0  10    -99    -99  5763  4.533   2842 1  
    48885.5943     1139    West         300       0x101bf       1.6206           -9.734  0.001    0  41 255 234 184   0   4    -99    -99  5650  3.716   2842 1 -10.104  0.001    0   1 255 243 225   0  10    -99    -99  5662  3.753   2842 1  
    48887.6582     1180    West         300       0x101bf       1.3731           -9.725  0.002    0  41   0 142   0   0   4    -99    -99  6145  5.754   2842 1 -10.107  0.002    0   1   0 186   0   0  10    -99    -99  6256  5.952   2842 1  
    48888.7131     1202    West         300       0x101bf       1.2582           -9.731  0.001    0   1   0 248   0   0   4    -99    -99  5325  3.668   2842 1 -10.109  0.001    0   1 255 253 209   0  10    -99    -99  4912  3.788   2842 1  
    48892.7503     1225    West         300       0x101bf       1.2117           -9.721  0.001    0   1   0 203   0   0   4    -99    -99  4484  4.577   2842 1 -10.114  0.001    0   1   0 218   0   0  10    -99    -99  4127  4.780   2842 1  
    48894.7191     1238    West         300       0x101bf       1.2316           -9.727  0.002    0   1   0 197   0   0   4    -99    -99  4548  5.318   2842 1 -10.132  0.001    0   1   0 253   0   0  10    -99    -99  4304  5.656   2842 1  
    48895.7448     1271    West         300       0x101bf       1.2103           -9.723  0.001    0   1   0 159   0   0   4    -99    -99  4817  3.959   2842 1 -10.117  0.001    0   1 255 201 211   0  10    -99    -99  4593  4.004   2842 1  
    48896.7468     1284    West         300       0x101bf       1.2082           -9.733  0.002    0   1   0 157   0   0   4    -99    -99  5086  4.692   2842 1 -10.123  0.001    0   1   0 179   0   0  10    -99    -99  4729  4.917   2842 1  
    48906.5652     1304    West         300       0x101bf       1.5030           -9.735  0.003    0   1 255 155 232   0   4    -99    -99 28150  3.616   2842 1 -10.096  0.004    0   1 255 174 244   0  10    -99    -99 41701  3.674   2842 1  
    48907.5512     1319    West         300       0x101bf       1.5471           -9.728  0.003    0   1 255 195 224   0   4    -99    -99 30405  3.774   2842 1 -10.082  0.004    0   1 255 208 239   0  10    -99    -99 39760  3.656   2842 1  
    48908.4362     1332    West         300       0x101bf       2.2403           -9.783  0.003    0   1 255 204 244   0   4    -99    -99 20477  2.489   2842 1 -10.111  0.003    0   1 255 238 247   0  10    -99    -99 17959  2.604   2842 1  
