!  Star 79.5501.13                         RA  05 14 18.086   DEC  -69 12 35.14
#  1575 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.757         1322.66, 1398.17             54
#    Blue:            -9.585         1328.41, 1420.87             70
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48825.6394      339    West         300       0x101bf       2.4084           -9.727  0.002    0   1   0 167   0   0   7    -99    -99 11419  4.441   5664 1  -9.614  0.002    0   1   0 152   0   0   9    -99    -99  9015  4.559   5664 1  
    48828.8031      416    West         300       0x101bf       1.4032           -9.730  0.002    0   1   1 158   0   0   7    -99    -99  6642  5.288   5664 1  -9.607  0.002    0   1   0 154   0   0   9    -99    -99  5017  5.451   5664 1  
    48829.8188      449    West         300       0x101bf       1.3538           -9.732  0.002    0   1   0 207   0   0   7    -99    -99  7967  4.473   5664 1  -9.594  0.002    0   1   0 200   0   0   9    -99    -99  4829  4.511   5664 1  
    48831.7898      482    West         300       0x101bf       1.4190           -9.703  0.002    0   1   0 177   0   0   7    -99    -99  5902  4.364   5664 1  -9.574  0.002    0   1   0 176   0   0   9    -99    -99  4465  4.404   5664 1  
    48833.8221      529    West         300       0x101bf       1.3202           -9.697  0.005    0   1  27 122   0   0   7    -99    -99 10881  7.041   5664 1  -9.582  0.004    0   1  14 114   0   0   9    -99    -99  5079  7.287   5664 1  
    48834.7955      580    West         300       0x101bf       1.3783           -9.726  0.001    0   1   0 186   0   0   7    -99    -99  5769  3.747   5664 1  -9.570  0.001    0   1   0 170   0   0   9    -99    -99  4477  3.816   5664 1  
    48835.6808      644    West         300       0x101bf       1.8657              -99    -99  999 999 999 999 999 999   7    -99    -99  6801  7.289   5664 0     -99    -99  999 999 999 999 999 999   9    -99    -99  4917  7.639   5664 0  
    48841.7859      773    West         300       0x101bf       1.3495           -9.778  0.002    0   1   0 235   0   0   7    -99    -99  6383  4.202   5664 1  -9.569  0.002    0   1   0 226   0   0   9    -99    -99  3864  4.271   5664 1  
    48843.7860      847    West         300       0x101bf       1.3359           -9.772  0.002    0   1   0 179   0   0   7    -99    -99  5917  4.702   5664 1  -9.555  0.002    0   1   0 190   0   0   9    -99    -99  4514  4.896   5664 1  
    48851.7827      923    West         300       0x101bd       1.2988           -9.712  0.005    0   1  29 109   0   0   7    -99    -99 11166  7.180   5664 1     -99    -99  999 999 999 999 999 999   9    -99    -99 12376  7.514   5664 0  
