!  Star 80.6469.11                         RA  05 20 19.497   DEC  -69 11 16.74
#  1505 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -10.798         1285.48, 1320.70             25
#    Blue:           -11.139         1269.82, 1312.67             86
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.5141     1461    West         300       0x101bf       1.6188              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0 -11.312  0.002    0   5 255 253 251   0  11    -99    -99  6141  3.359   2416 1  
    48917.5525     1470    West         300       0x00110       1.4504          -10.784  0.003    0   1 255 253 240   0   4    -99    -99  5204  4.345   2416 1 -11.246  0.002    0   9 255 253 250   0  11    -99    -99  5373  4.075   2416 1  
    48917.5993     1473    West         300       0x101bf       1.3335              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0 -11.319  0.002    0   5 255 253 251   0  11    -99    -99  4892  3.647   2416 1  
    48917.6672     1487    West         300       0x101bf       1.2273          -10.863  0.002    0   1 255 243 246   0   4    -99    -99  5183  3.383   2416 1 -11.344  0.002    7   5 255 253 251   0  11    -99    -99  4887  3.354   2416 1  
    48917.7421     1500    West         300       0x101bf       1.2063          -10.838  0.002    0   1 255 181 246   0   4    -99    -99  5155  3.308   2416 1 -11.418  0.003    0   5 255 223 253   0  11    -99    -99  4829  3.408   2416 1  
    48918.7068     1507    West         300       0x101bf       1.2037          -10.879  0.002    0   1 255 221 248   0   4    -99    -99  5139  3.170   2416 1 -11.367  0.002   16   5 255 253 252   0  11    -99    -99  4792  3.178   2416 1  
    48919.5170     1523    West         300       0x101bf       1.5821          -10.778  0.002    0   1 255 253 246   0   4    -99    -99  5885  3.567   2416 1 -11.170  0.002    0   9 255 253 253   0  11    -99    -99  5750  3.219   2416 1  
    48920.4907     1574    West         300       0x101bf       1.6940          -10.788  0.002    0   1 255 123 242   0   4    -99    -99  7438  3.330   2416 1 -11.265  0.002    0   9 255 253 250   0  11    -99    -99  7052  3.263   2416 1  
    48923.7173     1586    West         300       0x101bf       1.2038          -10.814  0.002    0   1 255 196 247   0   4    -99    -99  5976  3.008   2416 1 -11.380  0.003    0   9 255 154 252   0  11    -99    -99  5284  2.967   2416 1  
    48927.4583     1601    West         300       0x101bf       1.7664          -10.812  0.002    0   1 255 192 231   0   4    -99    -99 10036  4.526   2416 1 -11.332  0.002    0   5 255 253 241   0  11    -99    -99  8682  4.789   2416 1  
    48927.6504     1639    West         300       0x101bf       1.2185          -10.833  0.002    0   1 255 184 236   0   4    -99    -99  5587  4.221   2416 1 -11.413  0.002    0   5 255 215 247   0  11    -99    -99  4891  4.254   2416 1  
    48928.4941     1667    West         300       0x101bf       1.5750          -10.845  0.002    0   1 255 193 250   0   4    -99    -99  8653  3.022   2416 1 -11.218  0.003    0   5 255 253 253   0  11    -99    -99  9561  2.974   2416 1  
    48929.4422     1717    West         300       0x101bf       1.8288          -10.864  0.002    0   1 255 204 241   0   4    -99    -99 12381  3.754   2416 1 -11.342  0.003    5   5 255 253 249   0  11    -99    -99 13375  3.951   2416 1  
    48930.4454     1783    West         300       0x101bf       1.7929          -10.798  0.002    0   1   0 155   0   0   4    -99    -99 16393  6.115   2416 1 -11.333  0.002    0   9 255 224 211   0  11    -99    -99 17398  6.557   2416 1  
    48931.4434     1802    West         300       0x101bf       1.7892          -10.842  0.002    7   1 255 253 228   0   4    -99    -99 18461  3.805   2416 1 -11.271  0.003   27   9 255 253 244   0  11    -99    -99 21150  3.796   2416 1  
    48931.4528     1804    West         300       0x101bf       1.7355          -10.797  0.003    0   1 255 142 248   0   4    -99    -99 13708  3.453   2416 1 -11.231  0.003    0   5 255 247 253   0  11    -99    -99 17897  3.351   2416 1  
    48931.6336     1839    West         300       0x101bf       1.2232          -10.790  0.002    0   1 255 134 248   0   4    -99    -99  7566  3.249   2416 1 -11.399  0.002    0   5 255 215 253   0  11    -99    -99  9273  3.386   2416 1  
    48933.5976     1878    West         300       0x101bf       1.2574          -10.847  0.003    0   1 255 178 247   0   4    -99    -99 14072  3.541   2416 1 -11.402  0.004    0   5 255 211 253   0  11    -99    -99 19253  3.468   2416 1  
    48935.6015     1903    West         300       0x101bf       1.2450          -10.786  0.003    0   1 255 212 219   0   4    -99    -99 23332  5.720   2416 1 -11.335  0.003    0   5 255 202 242   0  11    -99    -99 29002  5.556   2416 1  
    48937.6084     1929    West         300       0x101bf       1.2313          -10.762  0.003    0   1 255 208 222   0   4    -99    -99 23744  5.286   2416 1 -11.345  0.003    0   5 255 237 235   0  11    -99    -99 24451  5.833   2416 1  
    48938.4842     1959    West         300       0x101bf       1.5055          -10.840  0.003    0   1 255 179 248   0   4    -99    -99 13798  3.734   2416 1 -11.334  0.002    0   5 255 246 251   0  11    -99    -99 13078  3.575   2416 1  
    48939.4632     2009    West         300       0x101bf       1.5783          -10.830  0.002    0   1 255 175 243   0   4    -99    -99  6195  3.911   2416 1 -11.266  0.002    0   5 255 253 249   0  11    -99    -99  5252  4.109   2416 1  
    48939.4663     2010    West          60       0x101bf       1.5654          -10.825  0.002    0   1   0 182   0   0   4    -99    -99  1273  3.865   2416 1 -11.359  0.001    0   9   0 242   0   0  11    -99    -99  1083  3.888   2416 1  
    48939.4691     2011    West          10       0x101bf       1.5534          -10.818  0.004    0   1   0 139   0   0   4    -99    -99   237  3.604   2416 1 -11.349  0.003    0   9   0 206   0   0  11    -99    -99   197  3.629   2416 1  
    48939.4775     2012    West           5       0x101bf       1.5203          -10.834  0.005    0   1   0 129   0   0   4    -99    -99   133  3.443   2416 1 -11.359  0.004    0   9   0 172   0   0  11    -99    -99   106  3.459   2416 1  
    48939.4822     2013    West         100       0x101bf       1.5023          -10.834  0.001    0   1   0 162   0   0   4    -99    -99  2090  3.599   2416 1 -11.345  0.001    0   9 255 253 227   0  11    -99    -99  1826  3.587   2416 1  
    48939.6631     2043    West         300       0x101bf       1.2026          -10.853  0.003    0   1 255 140 244   0   4    -99    -99 13593  4.006   2416 1 -11.366  0.003    0   5 255 185 250   0  11    -99    -99 13515  4.115   2416 1  
    48941.5603     2061    West         300       0x101bf       1.2812          -10.796  0.002    0   1 255 226 231   0   4    -99    -99  6683  3.969   2416 1 -11.342  0.002    1   9 255 239 246   0  11    -99    -99  6413  3.844   2416 1  
    48941.6856     2087    West         300       0x101bf       1.2099          -10.843  0.003    0   1 255 200 244   0   4    -99    -99 11549  3.753   2416 1 -11.375  0.002    0   5 255 223 250   0  11    -99    -99 10896  3.864   2416 1  
    48947.5990     2099    West         300       0x101bf       1.2163          -10.780  0.002    0   1   0 164   0   0   4    -99    -99  4187  6.660   2416 1 -11.331  0.002    0   9 255 203 220   0  11    -99    -99  4058  6.590   2416 1  
    48947.7223     2123    West         300       0x101bf       1.2611          -10.815  0.002    0   1 255 167 178   0   4    -99    -99  4974  5.879   2416 1 -10.206  0.004   38   5 255 253 229   0  11    -99    -99  3673  6.269   2416 1  
    48948.6810     2142    West         300       0x101bf       1.2189          -10.825  0.003    0   1 255 183 251   0   4    -99    -99  4593  3.202   2416 1 -11.685  9.999    0  13 255 202 247   0  11    -99    -99  3936  3.235   2416 1  
    48949.4928     2159    West         300       0x00110       1.3690          -10.809  0.002    0   1 255 195 246   0   4    -99    -99  5309  3.371   2416 1 -11.324  0.003    0   5 255 253 253   0  11    -99    -99  5485  3.191   2416 1  
    48964.6474     2182    West         300       0x101bf       1.2264          -10.839  0.002    0   1 255 164 180   0   4    -99    -99  9978  4.507   2416 1 -11.346  0.002    0   9 255 188 234   0  11    -99    -99 10503  4.747   2416 1  
    48965.4831     2203    West         300       0x101bf       1.3045          -10.817  0.002    0   1 255 146 217   0   4    -99    -99 16358  4.292   2416 1 -11.325  0.002    1   9 255 214 240   0  11    -99    -99 16974  4.238   2416 1  
