!  Star 80.6956.207                        RA  05 22 56.944   DEC  -68 58 16.87
#  1522 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -6.237         2026.41,  535.25              2
#    Blue:            -4.752         2020.05,  544.76            119
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.5141     1461    West         300       0x101bf       1.6188              -99    -99  999 999 999 999 999 999   1    -99    -99  6004  3.364   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  5267  3.445   5666 0  
    48917.5525     1470    West         300       0x00110       1.4504              -99    -99  999 999 999 999 999 999   1    -99    -99  4843  4.144   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4507  4.119   5666 0  
    48917.5993     1473    West         300       0x101bf       1.3335              -99    -99  999 999 999 999 999 999   1    -99    -99  4643  3.642   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4105  3.743   5666 0  
    48917.6672     1487    West         300       0x101bf       1.2273           -9.115  0.002    9   1  22 214   0   0   1    -99    -99  4575  3.380   5666 1  -7.979  0.003 -102   1  65 186   0   0  15    -99    -99  3917  3.362   5666 1  
    48917.7421     1500    West         300       0x101bf       1.2063           -9.098  0.002   44   1  29 181   0   0   1    -99    -99  4505  3.327   5666 1  -7.964  0.003  -97   1  69 168   0   0  15    -99    -99  3872  3.423   5666 1  
    48918.7068     1507    West         300       0x101bf       1.2037              -99    -99  999 999 999 999 999 999   1    -99    -99  4438  3.165   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  3997  3.138   5666 0  
    48919.5170     1523    West         300       0x101bf       1.5821              -99    -99  999 999 999 999 999 999   1    -99    -99  5835  3.327   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  5000  3.260   5666 0  
    48920.4907     1574    West         300       0x101bf       1.6940              -99    -99  999 999 999 999 999 999   1    -99    -99  7244  3.191   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  6054  3.311   5666 0  
    48923.7173     1586    West         300       0x101bf       1.2038              -99    -99  999 999 999 999 999 999   1    -99    -99  5818  2.943   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4593  2.898   5666 0  
    48927.4583     1601    West         300       0x101bf       1.7664              -99    -99  999 999 999 999 999 999   1    -99    -99  9731  4.570   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  7406  4.959   5666 0  
    48927.6504     1639    West         300       0x101bf       1.2185              -99    -99  999 999 999 999 999 999   1    -99    -99  5043  4.131   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4087  4.172   5666 0  
    48928.4941     1667    West         300       0x101bf       1.5750              -99    -99  999 999 999 999 999 999   1    -99    -99  8350  2.960   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  8396  3.094   5666 0  
    48929.4422     1717    West         300       0x101bf       1.8288              -99    -99  999 999 999 999 999 999   1    -99    -99 12020  3.767   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 11534  4.117   5666 0  
    48930.4454     1783    West         300       0x101bf       1.7929              -99    -99  999 999 999 999 999 999   1    -99    -99 16414  6.111   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 15168  6.592   5666 0  
    48931.4434     1802    West         300       0x101bf       1.7892              -99    -99  999 999 999 999 999 999   1    -99    -99 18494  3.898   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 18395  4.182   5666 0  
    48931.4528     1804    West         300       0x101bf       1.7355              -99    -99  999 999 999 999 999 999   1    -99    -99 13805  3.343   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 15625  3.547   5666 0  
    48931.6336     1839    West         300       0x101bf       1.2232              -99    -99  999 999 999 999 999 999   1    -99    -99  7211  3.252   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  8066  3.431   5666 0  
    48933.5976     1878    West         300       0x101bf       1.2574              -99    -99  999 999 999 999 999 999   1    -99    -99 13815  3.438   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 16829  3.540   5666 0  
    48935.6015     1903    West         300       0x101bf       1.2450              -99    -99  999 999 999 999 999 999   1    -99    -99 23378  5.607   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 25505  5.750   5666 0  
    48937.6084     1929    West         300       0x101bf       1.2313              -99    -99  999 999 999 999 999 999   1    -99    -99 23202  5.436   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 21371  6.180   5666 0  
    48938.4842     1959    West         300       0x101bf       1.5055              -99    -99  999 999 999 999 999 999   1    -99    -99 13710  3.553   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 11637  3.614   5666 0  
    48939.4632     2009    West         300       0x101bf       1.5783              -99    -99  999 999 999 999 999 999   1    -99    -99  5943  3.916   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4495  4.186   5666 0  
    48939.4663     2010    West          60       0x101bf       1.5654              -99    -99  999 999 999 999 999 999   1    -99    -99  1295  3.627   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99   895  3.789   5666 0  
    48939.4691     2011    West          10       0x101bf       1.5534              -99    -99  999 999 999 999 999 999   1    -99    -99   313  3.477   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99   157  3.651   5666 0  
    48939.4775     2012    West           5       0x101bf       1.5203              -99    -99  999 999 999 999 999 999   1    -99    -99   214  3.433   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99    83  3.522   5666 0  
    48939.4822     2013    West         100       0x101bf       1.5023              -99    -99  999 999 999 999 999 999   1    -99    -99  2028  3.528   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  1500  3.651   5666 0  
    48939.6631     2043    West         300       0x101bf       1.2026              -99    -99  999 999 999 999 999 999   1    -99    -99 13210  4.002   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 11835  4.151   5666 0  
    48941.5603     2061    West         300       0x101bf       1.2812              -99    -99  999 999 999 999 999 999   1    -99    -99  6298  3.883   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  5451  3.851   5666 0  
    48941.6856     2087    West         300       0x101bf       1.2099           -6.185  9.999    0  47   0 129   0   0   1    -99    -99 11172  3.796   5666 1     -99    -99  999 999 999 999 999 999  15    -99    -99  9468  3.875   5666 0  
    48947.5990     2099    West         300       0x101bf       1.2163              -99    -99  999 999 999 999 999 999   1    -99    -99  3969  6.518   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  3246  6.492   5666 0  
    48947.7223     2123    West         300       0x101bf       1.2611           -9.137  0.003   10   1  67 137   0   0   1    -99    -99  4454  5.889   5666 1  -7.971  0.007  -26   1 107 141   0   0  15    -99    -99  2851  6.197   5666 1  
    48948.6810     2142    West         300       0x101bf       1.2189           -9.167  0.001  -19   1  15 222   0   0   1    -99    -99  4232  3.138   5666 1     -99    -99  999 999 999 999 999 999  15    -99    -99  3412  3.173   5666 0  
    48949.4928     2159    West         300       0x00110       1.3690              -99    -99  999 999 999 999 999 999   1    -99    -99  5084  3.230   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99  4763  3.217   5666 0  
    48964.6474     2182    West         300       0x101bf       1.2264           -9.165  0.003  -47   1  44 147   0   0   1    -99    -99  9585  4.479   5666 1     -99    -99  999 999 999 999 999 999  15    -99    -99  9108  4.739   5666 0  
    48965.4831     2203    West         300       0x101bf       1.3045              -99    -99  999 999 999 999 999 999   1    -99    -99 16020  4.176   5666 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48965.6212     2229    West         300       0x101bf       1.2099              -99    -99  999 999 999 999 999 999   1    -99    -99 15261  3.962   5666 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    48965.7268     2241    East         300       0x101bf       1.3653           -9.129  0.003    0   1  16 195   0   0   4    -99    -99 13232  3.275   5666 1  -7.962  0.005  -36   1  55 131   0   0  10    -99    -99 13200  3.124   5666 1  
    48966.4777     2248    West         300       0x101bf       1.3098              -99    -99  999 999 999 999 999 999   1    -99    -99 13035  3.540   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 12238  3.637   5666 0  
    48966.6013     2272    West         300       0x101bf       1.2039              -99    -99  999 999 999 999 999 999   1    -99    -99 13223  3.545   5666 0     -99    -99  999 999 999 999 999 999  15    -99    -99 12658  4.066   5666 0  
