!  Star 80.7555.2819                       RA  05 26 54.553   DEC  -69 24 49.61
#  1516 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.953           25.79,   93.36             44
#    Blue:            -8.182           49.98,  141.34             60
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.5141     1461    West         300       0x101bf       1.6188           -8.897  0.004    0   1  34 157   0   0   6    -99    -99  6084  3.397   5666 1  -8.088  0.007    0   1  41 126   0   0   8    -99    -99  3511  3.590   5666 1  
    48917.5525     1470    West         300       0x00110       1.4504           -8.935  0.004    0   1  33 165   0   0   6    -99    -99  4822  3.934   5666 1  -8.088  0.009    0   1  54 124   0   0   8    -99    -99  2983  4.174   5666 1  
    48917.5993     1473    West         300       0x101bf       1.3335           -8.904  0.004    0   1  27 132   0   0   6    -99    -99  4686  3.674   5666 1  -8.107  0.007    0   1  53 114   0   0   8    -99    -99  2795  3.852   5666 1  
    48917.6672     1487    West         300       0x101bf       1.2273           -8.927  0.004    0   1  27 134   0   0   6    -99    -99  4916  3.271   5666 1  -8.128  0.007    0   1  35 117   0   0   8    -99    -99  2792  3.374   5666 1  
    48917.7421     1500    West         300       0x101bf       1.2063              -99    -99  999 999 999 999 999 999   6    -99    -99  4652  3.397   5666 0     -99    -99  999 999 999 999 999 999   8    -99    -99  2685  3.481   5666 0  
    48918.7068     1507    West         300       0x101bf       1.2037           -8.900  0.003    0   1  19 156   0   0   6    -99    -99  4723  3.121   5666 1  -8.132  0.006    0   1  43 126   0   0   8    -99    -99  2797  3.082   5666 1  
    48919.5170     1523    West         300       0x101bf       1.5821           -8.917  0.003    0   1  16 175   0   0   6    -99    -99  5858  3.165   5666 1  -8.097  0.007    0   1  40 133   0   0   8    -99    -99  3352  3.286   5666 1  
    48920.4907     1574    West         300       0x101bf       1.6940           -8.892  0.004    0   1  18 125   0   0   6    -99    -99  7222  3.242   5666 1  -8.058  0.008    0   1  43 116   0   0   8    -99    -99  4109  3.407   5666 1  
    48923.7173     1586    West         300       0x101bf       1.2038           -8.852  0.004    0   1  19 131   0   0   6    -99    -99  5796  2.907   5666 1  -8.105  0.007    0   1  26 115   0   0   8    -99    -99  3157  2.922   5666 1  
    48927.4583     1601    West         300       0x101bf       1.7664           -8.867  0.005    0   1  42 134   0   0   6    -99    -99  9818  4.696   5666 1  -8.078  0.012    0   1  59 114   0   0   8    -99    -99  5118  5.044   5666 1  
    48927.6504     1639    West         300       0x101bf       1.2185           -8.919  0.004    0   1  32 124   0   0   6    -99    -99  5338  3.976   5666 1  -8.094  0.009    0   1  55 105   0   0   8    -99    -99  2856  4.196   5666 1  
    48928.4941     1667    West         300       0x101bf       1.5750           -8.852  0.003    0   1  14 153   0   0   6    -99    -99  8444  3.069   5666 1  -8.057  0.007    0   1  51 123   0   0   8    -99    -99  5641  3.225   5666 1  
    48929.4422     1717    West         300       0x101bf       1.8288           -8.849  0.005    0   1  31 143   0   0   6    -99    -99 12019  4.038   5666 1  -8.064  0.011   -7   1  57 111   0   0   8    -99    -99  7924  4.329   5666 1  
    48930.4454     1783    West         300       0x101bf       1.7929           -8.865  0.010   -3   1  51 102   0   0   6    -99    -99 16282  6.393   5666 1  -8.066  0.021  -16   1  71 102   0   0   8    -99    -99 10406  6.905   5666 1  
    48931.4434     1802    West         300       0x101bf       1.7892           -8.861  0.006  -24   1  35 228   0   0   6    -99    -99 18127  3.845   5666 1  -8.057  0.015  -37   1  54 181   0   0   8    -99    -99 12656  4.141   5666 1  
    48931.4528     1804    West         300       0x101bf       1.7355           -8.842  0.004    0   1  23 124   0   0   6    -99    -99 13678  3.376   5666 1  -8.043  0.009    0   1  48 114   0   0   8    -99    -99 10773  3.548   5666 1  
    48931.6336     1839    West         300       0x101bf       1.2232           -8.878  0.003    0   1  23 118   0   0   6    -99    -99  7107  3.397   5666 1  -8.055  0.007    0   1  38 103   0   0   8    -99    -99  5495  3.570   5666 1  
    48933.5976     1878    West         300       0x101bf       1.2574           -8.887  0.004    0   1  27 143   0   0   6    -99    -99 13667  3.352   5666 1  -8.051  0.009    0   1  44 117   0   0   8    -99    -99 11610  3.504   5666 1  
    48935.6015     1903    West         300       0x101bf       1.2450           -8.881  0.007    0   1  42 121   0   0   6    -99    -99 22911  5.175   5666 1  -8.027  0.016  -21   1  65 114   0   0   8    -99    -99 17460  5.404   5666 1  
    48937.6084     1929    West         300       0x101bf       1.2313           -8.829  0.008   -1   1  46 138   0   0   6    -99    -99 22151  5.835   5666 1  -8.087  0.018  -24   1  66 124   0   0   8    -99    -99 14513  6.087   5666 1  
    48938.4842     1959    West         300       0x101bf       1.5055           -8.860  0.004    0   1  28 137   0   0   6    -99    -99 13535  3.477   5666 1  -8.005  0.009    0   1  54  93   0   0   8    -99    -99  7815  3.671   5666 1  
    48939.4632     2009    West         300       0x101bf       1.5783           -8.844  0.005    0   1  34 122   0   0   6    -99    -99  5902  4.184   5666 1  -8.014  0.010    0   1  51  96   0   0   8    -99    -99  3042  4.421   5666 1  
    48939.4663     2010    West          60       0x101bf       1.5654           -8.850  0.006    0   1  29 114   0   0   6    -99    -99  1215  3.750   5666 1  -8.003  0.013    0   1  53  89   0   0   8    -99    -99   617  4.008   5666 1  
    48939.4691     2011    West          10       0x101bf       1.5534           -8.877  0.012    0   1  29 117   0   0   6    -99    -99   220  3.742   5666 1  -7.984  0.030    0   1  54  99   0   0   8    -99    -99   108  3.989   5666 1  
    48939.4775     2012    West           5       0x101bf       1.5203           -8.858  0.016    0   1  29 114   0   0   6    -99    -99   120  3.561   5666 1  -8.059  0.039    0   1  54 103   0   0   8    -99    -99    56  3.723   5666 1  
    48939.4822     2013    West         100       0x101bf       1.5023           -8.872  0.005    0   1  24 111   0   0   6    -99    -99  1980  3.607   5666 1  -8.004  0.011    0   1  48  93   0   0   8    -99    -99  1046  3.826   5666 1  
    48939.6631     2043    West         300       0x101bf       1.2026           -8.838  0.005    0   1  31 104   0   0   6    -99    -99 13084  3.994   5666 1  -8.037  0.010    0   1  53  98   0   0   8    -99    -99  7928  4.097   5666 1  
    48941.5603     2061    West         300       0x101bf       1.2812           -8.890  0.004    0   1  25 132   0   0   6    -99    -99  6485  3.719   5666 1  -8.049  0.009    0   1  50 113   0   0   8    -99    -99  3799  3.872   5666 1  
    48941.6856     2087    West         300       0x101bf       1.2099           -8.823  0.005   -5   1  30 117   0   0   6    -99    -99 11159  3.755   5666 1  -8.051  0.009  -15   1  53  91   0   0   8    -99    -99  6478  3.741   5666 1  
    48947.5990     2099    West         300       0x101bf       1.2163           -8.913  0.007    0   1  49 102   0   0   6    -99    -99  4132  6.236   5666 1  -8.071  0.014    0   1  68  83   0   0   8    -99    -99  2337  6.497   5666 1  
    48947.7223     2123    West         300       0x101bf       1.2611           -8.796  0.007    0  41  48  89   0   0   6    -99    -99  4469  6.049   5666 1  -8.019  0.014    0   1  67  68   0   0   8    -99    -99  2043  6.318   5666 1  
    48948.6810     2142    West         300       0x101bf       1.2189           -8.802  0.003    0   1  30 125   0   0   6    -99    -99  4330  3.191   5666 1  -8.047  0.006    0   1  47 111   0   0   8    -99    -99  2244  3.310   5666 1  
    48949.4928     2159    West         300       0x00110       1.3690           -8.883  0.003    0   1  22 161   0   0   6    -99    -99  5222  3.174   5666 1  -8.080  0.007    0   1  43 124   0   0   8    -99    -99  3218  3.314   5666 1  
    48964.6474     2182    West         300       0x101bf       1.2264           -8.887  0.006    0   1  36  89   0   0   6    -99    -99  9937  4.557   5666 1  -8.049  0.011    0   1  58  75   0   0   8    -99    -99  9976  4.624   5666 1  
