!  Star 81.8394.1358                       RA  05 32 13.263   DEC  -69 55 59.23
#  971 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -4.869         1982.12, 1255.65             24
#    Blue:            -4.723         1955.30, 1247.25             82
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7329     1498    West         300       0x101bf       1.2132           -6.972  0.015 -144   2 124 170   0   0   4    -99    -99  5078  3.153   4214 1  -5.980  0.026 -134   2 108 143   0   0  11    -99    -99  4953  3.269   4214 1  
    48918.7444     1514    West         300       0x101bf       1.2151           -7.020  0.019 -132   2 137 151   0   0   4    -99    -99  4497  3.525   4214 1  -6.044  0.027 -127   2 111 139   0   0  11    -99    -99  4631  3.456   4214 1  
    48919.5494     1530    West         300       0x101bf       1.4943              -99    -99  999 999 999 999 999 999   4    -99    -99  9010  2.805   4214 0     -99    -99  999 999 999 999 999 999  11    -99    -99  8318  2.807   4214 0  
    48920.5425     1582    West         300       0x101bf       1.5089              -99    -99  999 999 999 999 999 999   4    -99    -99  5351  3.179   4214 0     -99    -99  999 999 999 999 999 999  11    -99    -99  5929  3.109   4214 0  
    48923.7585     1595    West         300       0x101bf       1.2290           -6.527  0.026 -145   2 111 143   0   0   4    -99    -99 26082  3.177   4214 1  -5.560  0.051 -124   2 108 131   0   0  11    -99    -99 19769  3.274   4214 1  
    48927.4983     1609    West         300       0x101bf       1.6100              -99    -99  999 999 999 999 999 999   4    -99    -99  9076  4.620   4214 0     -99    -99  999 999 999 999 999 999  11    -99    -99  7859  4.916   4214 0  
    48928.5318     1674    West         300       0x101bf       1.4702              -99    -99  999 999 999 999 999 999   4    -99    -99  7523  2.848   4214 0     -99    -99  999 999 999 999 999 999  11    -99    -99  8705  2.780   4214 0  
    48929.4792     1725    West         300       0x101bf       1.6730              -99    -99  999 999 999 999 999 999   4    -99    -99 10784  3.972   4214 0     -99    -99  999 999 999 999 999 999  11    -99    -99 12506  3.921   4214 0  
    48930.4780     1790    West         300       0x101bf       1.6652              -99    -99  999 999 999 999 999 999   4    -99    -99 13998  4.815   4214 0     -99    -99  999 999 999 999 999 999  11    -99    -99 15988  5.224   4214 0  
    48931.4928     1810    West         300       0x101bf       1.5864              -99    -99  999 999 999 999 999 999   4    -99    -99 12228  3.595   4214 0     -99    -99  999 999 999 999 999 999  11    -99    -99 16341  3.429   4214 0  
    48931.6662     1846    West         300       0x101bf       1.2186           -5.710  0.055 -120   6 117  71   0   0   4    -99    -99  5384  3.802   4214 1  -5.252  0.066 -106   6 116  78   0   0  11    -99    -99  5681  4.112   4214 1  
    48933.6361     1886    West         300       0x101bf       1.2344           -5.569  0.048 -145   6  99 105   0   0   4    -99    -99 12856  3.182   4214 1  -4.805  0.089 -132   6 107 116  98   0  11    -99    -99 17754  3.162   4214 1  
