!  Star 81.9002.21                         RA  05 36 09.025   DEC  -69 42 04.34
#  981 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.584           34.26,  562.36             23
#    Blue:           -10.093           19.07,  565.92             98
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7329     1498    West         300       0x101bf       1.2132              -99    -99  999 999 999 999 999 999   3    -99    -99  5772  3.118   5673 0     -99    -99  999 999 999 999 999 999  13    -99    -99  5740  3.228   5673 0  
    48918.7444     1514    West         300       0x101bf       1.2151           -9.585  0.001    0   1   0 226   0   0   3    -99    -99  5349  3.435   5673 1 -10.073  0.002    0   1 255 241 239   0  13    -99    -99  5337  3.444   5673 1  
    48919.5494     1530    West         300       0x101bf       1.4943           -9.580  0.002    0   1   0 160   0   0   3    -99    -99  9490  2.767   5673 1 -10.050  0.002    0   1   0 192   0   0  13    -99    -99  8495  2.841   5673 1  
    48920.5425     1582    West         300       0x101bf       1.5089           -9.586  0.001    0   1   0 189   0   0   3    -99    -99  6285  3.080   5673 1 -10.060  0.002    0   1 255 211 239   0  13    -99    -99  6678  3.140   5673 1  
    48923.7585     1595    West         300       0x101bf       1.2290           -9.579  0.002    0   1 255 187 224   0   3    -99    -99 27410  3.146   5673 1 -10.071  0.003    0   1 255 220 244   0  13    -99    -99 19340  3.242   5673 1  
    48927.4983     1609    West         300       0x101bf       1.6100           -9.558  0.002    7   1   0 201   0   0   3    -99    -99 10016  4.592   5673 1 -10.020  0.002    0   1   0 213   0   0  13    -99    -99  8594  4.897   5673 1  
    48928.5318     1674    West         300       0x101bf       1.4702           -9.603  0.002    0   1 255 197 239   0   3    -99    -99  8511  2.788   5673 1 -10.065  0.002    0   1 255 229 248   0  13    -99    -99  9338  2.858   5673 1  
    48929.4792     1725    West         300       0x101bf       1.6730           -9.578  0.002    0   1   0 188   0   0   3    -99    -99 11766  3.849   5673 1 -10.052  0.002    0   1 255 190 225   0  13    -99    -99 13012  3.994   5673 1  
    48930.4780     1790    West         300       0x101bf       1.6652           -9.580  0.002    0   1   0 187   0   0   3    -99    -99 14890  4.841   5673 1 -10.031  0.002    0   1   0 218   0   0  13    -99    -99 16260  5.238   5673 1  
    48931.4928     1810    West         300       0x101bf       1.5864           -9.581  0.001    0   1   0 168   0   0   3    -99    -99 13166  3.460   5673 1 -10.064  0.003    0   1 255 190 243   0  13    -99    -99 16673  3.443   5673 1  
    48931.6662     1846    West         300       0x101bf       1.2186           -9.578  0.001    0   1   0 171   0   0   3    -99    -99  6188  3.774   5673 1 -10.075  0.002    0   1 255 174 236   0  13    -99    -99  6302  4.018   5673 1  
    48933.6361     1886    West         300       0x101bf       1.2344           -9.576  0.002    0   1 255 197 218   0   3    -99    -99 13754  3.137   5673 1 -10.042  0.003    0   1 255 207 246   0  13    -99    -99 18009  3.172   5673 1  
    48935.6364     1910    West         300       0x101bf       1.2297           -9.578  0.003    0   1   0 141   0   0   3    -99    -99 23672  5.942   5673 1 -10.057  0.003    0   1   0 165   0   0  13    -99    -99 28101  6.104   5673 1  
    48937.6917     1939    West         300       0x101bf       1.2149           -9.359  0.002    0   1   0 145   0   0   3    -99    -99 18277  4.846   5673 1  -9.824  0.002    0   1 255 171 193   0  13    -99    -99 19157  5.042   5673 1  
    48938.5163     1966    West         300       0x101bf       1.4327           -9.578  0.002    0   1   0 177   0   0   3    -99    -99 16246  4.158   5673 1 -10.061  0.002    0   1 255 194 234   0  13    -99    -99 15999  4.145   5673 1  
    48939.5334     2023    West         300       0x101bf       1.3777           -9.563  0.001    0   1   0 204   0   0   3    -99    -99 12305  3.499   5673 1 -10.089  0.002    0   1 255 199 239   0  13    -99    -99 11702  3.577   5673 1  
    48941.5942     2068    West         300       0x101bf       1.2551           -9.576  0.005    0   1   0 137   0   0   3    -99    -99 17549  3.864   5673 1 -10.027  0.003    0   1   0 163   0   0  13    -99    -99 14912  3.851   5673 1  
    48947.6422     2107    West         300       0x101bf       1.2133           -9.585  0.003    0   1   0 158   0   0   3    -99    -99  5251  6.242   5673 1 -10.067  0.002    0   1   0 166   0   0  13    -99    -99  4932  6.416   5673 1  
    48948.6949     2145    West         300       0x101bf       1.2327           -9.579  0.001    0   1 255 213 197   0   3    -99    -99  5827  3.046   5673 1 -10.077  0.002    0   1 255 233 239   0  13    -99    -99  4913  3.188   5673 1  
    48949.5303     2166    West         300       0x101bf       1.3225           -9.570  0.002    0   1   0 196   0   0   3    -99    -99  5444  4.283   5673 1 -10.043  0.002    0   1 255 210 224   0  13    -99    -99  5710  4.222   5673 1  
    48964.6800     2189    West         300       0x101bf       1.2618           -9.579  0.003    0   1   0 123   0   0   3    -99    -99  9233  4.988   5673 1 -10.053  0.002    0   1   0 149   0   0  13    -99    -99  9346  5.279   5673 1  
    48965.5280     2210    West         300       0x101bf       1.2572           -9.573  0.003    0   1   0 146   0   0   3    -99    -99 16261  3.924   5673 1 -10.049  0.002    0   1   0 177   0   0  13    -99    -99 17313  3.975   5673 1  
    48966.5191     2256    West         300       0x101bf       1.2651           -9.559  0.002    0   1   0 167   0   0   3    -99    -99 15727  3.628   5673 1 -10.057  0.002    0   1 255 178 221   0  13    -99    -99 15844  3.499   5673 1  
    48984.5243     2343    West         300       0x101bf       1.2175           -9.592  0.002    0   1   0 175   0   0   3    -99    -99  2858  4.268   5673 1 -10.064  0.001    0   1   0 194   0   0  13    -99    -99  3107  4.435   5673 1  
    48984.6932     2366    East         300       0x101bf       1.3952           -9.581  0.005    0   1  19 108   0   0   7    -99    -99  3115  8.316   5673 1 -10.079  0.004    0   1  16 125   0   0   9    -99    -99  2339  8.610   5673 1  
    48985.5444     2383    West         300       0x101bf       1.2126              -99    -99  999 999 999 999 999 999   3    -99    -99  3329  2.832   5673 0     -99    -99  999 999 999 999 999 999  13    -99    -99  3137  2.916   5673 0  
    48987.5350     2425    West         300       0x101bf       1.2128           -9.522  0.005    3   1   0 187   0   0   3    -99    -99  5780  3.266   5673 1 -10.042  0.003    0   1   0 152   0   0  13    -99    -99  4800  3.340   5673 1  
    48987.7242     2457    East         300       0x101bf       1.5214           -9.575  0.002    0   1   0 253   0   0   7    -99    -99  3954  2.983   5673 1 -10.051  0.001    0  41 255 253 221   0   9    -99    -99  2892  2.947   5673 1  
    48988.5195     2473    West         300       0x101bf       1.2154           -9.575  0.002    0   1   0 210   0   0   3    -99    -99  4307  3.184   5673 1 -10.036  0.002    0   1 255 223 218   0  13    -99    -99  4614  3.191   5673 1  
    48988.7131     2508    East         300       0x101bf       1.4912           -9.563  0.002    0   1   0 208   0   0   7    -99    -99  3379  4.327   5673 1 -10.064  0.002    0  41   0 202 170   0   9    -99    -99  2655  4.380   5673 1  
    48989.5371     2526    West         300       0x101bf       1.2129           -9.566  0.002    0   1   0 184   0   0   3    -99    -99  4397  3.873   5673 1 -10.044  0.001    0   1   0 206   0   0  13    -99    -99  4889  3.893   5673 1  
    48996.4852     2561    West         300       0x101bf       1.2207           -9.557  0.002    0   1   0 202   0   0   3    -99    -99  9326  2.701   5673 1 -10.078  0.002    0   1 255 211 243   0  13    -99    -99 12146  2.670   5673 1  
    48996.7287     2608    East         300       0x101bf       1.6434           -9.571  0.002    0   1   0 184   0   0   7    -99    -99 14570  3.232   5673 1 -10.059  0.002    0   1 255 203 222   0   9    -99    -99 17221  3.306   5673 1  
    48998.4869     2622    West         300       0x101bf       1.2175           -9.558  0.002    0   1   0 194   0   0   3    -99    -99  4858  3.253   5673 1 -10.062  0.002    0   1 255 215 224   0  13    -99    -99  5808  3.194   5673 1  
    48998.7119     2664    East         300       0x101bf       1.5925           -9.579  0.002    0   1   0 192   0   0   7    -99    -99  8263  3.497   5673 1 -10.052  0.001    0   1   0 214   0   0   9    -99    -99 10965  3.564   5673 1  
    49000.5019     2690    West         300       0x101bf       1.2129           -9.577  0.002    0   1   0 160   0   0   3    -99    -99  3023  4.623   5673 1     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    49000.6850     2725    East         300       0x101bf       1.5078           -9.579  0.002    0   1   0 165   0   0   7    -99    -99  6689  3.657   5673 1 -10.067  0.002    0   1   0 203   0   0   9    -99    -99  7296  3.712   5673 1  
    49001.4898     2740    West         300       0x101bf       1.2141           -9.559  0.002    0   1   0 196   0   0   3    -99    -99  3855  3.342   5673 1 -10.058  0.002    0   1 255 219 218   0  13    -99    -99  2902  3.517   5673 1  
    49001.6834     2777    East         300       0x101bf       1.5117           -9.577  0.002    0   1   0 186   0   0   7    -99    -99  6034  3.998   5673 1 -10.057  0.001    0   1   0 219   0   0   9    -99    -99  4862  4.074   5673 1  
    49002.4872     2802    West         300       0x101bf       1.2141           -9.561  0.002    0   1   0 202   0   0   3    -99    -99  3255  2.953   5673 1 -10.079  0.002    0   1 255 216 239   0  13    -99    -99  3095  2.896   5673 1  
    49003.7405     2837    East         300       0x101bf       1.8033           -9.555  0.014    0   1   0 106   0   0   7    -99    -99 10549  4.040   5673 1 -10.060  0.008    0   1   0 117   0   0   9    -99    -99  7717  4.121   5673 1  
    49006.4970     2857    West         300       0x101bf       1.2133           -9.565  0.001    0   1   0 240   0   0   3    -99    -99  2708  2.834   5673 1 -10.071  0.002    0   1 255 248 246   0  13    -99    -99  2711  2.692   5673 1  
    49006.6817     2892    East         300       0x101bf       1.5580           -9.583  0.002    0   1   0 174   0   0   7    -99    -99  2617  4.457   5673 1 -10.057  0.002    0   1   0 207   0   0   9    -99    -99  2344  4.658   5673 1  
    49007.5056     2917    West         300       0x101bf       1.2159           -9.555  0.002    0   1   0 160   0   0   3    -99    -99  3763  4.159   5673 1 -10.039  0.002    0   1   0 188   0   0  13    -99    -99  3054  4.291   5673 1  
    49007.6651     2941    East         300       0x101bf       1.5045           -9.584  0.002    0   1   0 200   0   0   7    -99    -99  3582  3.179   5673 1 -10.059  0.001    0   1   0 232   0   0   9    -99    -99  2361  3.166   5673 1  
    49010.5979     2961    West         300       0x101bf       1.3348           -9.545  0.001    0  41   0 253   0   0   3    -99    -99  2384  2.297   5673 1 -10.096  0.002    0   1 255 253 247   0  13    -99    -99  2261  2.427   5673 1  
    49010.6723     2972    East         300       0x101bf       1.5609           -9.592  0.002    0   1   0 197   0   0   7    -99    -99  2818  2.552   5673 1 -10.065  0.001    0   1   0 220   0   0   9    -99    -99  2593  2.493   5673 1  
    49011.5868     2987    West         300       0x101bf       1.3175           -9.569  0.003    0   1   0 115   0   0   3    -99    -99  3036  4.356   5673 1 -10.049  0.002    0   1   0 151   0   0  13    -99    -99  2335  4.505   5673 1  
    49014.6851     3005    East         300       0x101bf       1.6655           -9.584  0.003    0   1   0 131   0   0   7    -99    -99  2786  5.749   5673 1 -10.060  0.002    0   1   0 168   0   0   9    -99    -99  2379  6.149   5673 1  
    49015.4922     3031    West         300       0x101bf       1.2188           -9.561  0.002    0   1   0 199   0   0   3    -99    -99  3581  3.418   5673 1 -10.047  0.002    0   1 255 224 218   0  13    -99    -99  2794  3.507   5673 1  
    49015.6155     3055    East         300       0x101bf       1.4122           -9.578  0.002    0   1   0 192   0   0   7    -99    -99  3918  4.334   5673 1 -10.067  0.002    0  41   0 208 106   0   9    -99    -99  2812  4.554   5673 1  
    49016.5237     3095    West         300       0x101bf       1.2439           -9.556  0.002    0   1   0 183   0   0   3    -99    -99  2460  4.131   5673 1 -10.047  0.001    0   1   0 215   0   0  13    -99    -99  2240  4.442   5673 1  
