!  Star 81.9725.19                         RA  05 40 24.611   DEC  -69 57 20.13
#  983 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.558           26.89, 1198.70             52
#    Blue:            -8.780           52.65, 1227.69             62
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7329     1498    West         300       0x101bf       1.2132              -99    -99  999 999 999 999 999 999   7    -99    -99  4766  3.180   5673 0  -8.792  0.007    0   3  63 128 173   0   8    -99    -99  2728  3.207   5673 1  
    48918.7444     1514    West         300       0x101bf       1.2151           -8.534  0.004    0   1  45 129   0   0   7    -99    -99  4408  3.311   5673 1  -8.788  0.007    0   1  66 136   0   0   8    -99    -99  2651  3.166   5673 1  
    48919.5494     1530    West         300       0x101bf       1.4943           -8.527  0.006    0   1  39 134   0   0   7    -99    -99  9489  2.939   5673 1  -8.788  0.007    0   1  57 140   0   0   8    -99    -99  5112  3.061   5673 1  
    48920.5425     1582    West         300       0x101bf       1.5089           -8.522  0.004    0   1  36 125   0   0   7    -99    -99  5424  3.092   5673 1  -8.745  0.007    0   1  58 146   0   0   8    -99    -99  3457  3.254   5673 1  
    48923.7585     1595    West         300       0x101bf       1.2290           -8.550  0.005    0   1  48 128   0   0   7    -99    -99 27881  3.172   5673 1  -8.756  0.007    0   1  66 128   0   0   8    -99    -99 12703  3.187   5673 1  
    48927.4983     1609    West         300       0x101bf       1.6100           -8.531  0.007    0   1  57 130   0   0   7    -99    -99  9291  4.672   5673 1  -8.727  0.013    0   1  82 138   0   0   8    -99    -99  4723  5.018   5673 1  
    48928.5318     1674    West         300       0x101bf       1.4702           -8.512  0.004    0   1  37 134   0   0   7    -99    -99  7708  2.859   5673 1  -8.774  0.005    0   1  39 164   0   0   8    -99    -99  5213  3.005   5673 1  
    48929.4792     1725    West         300       0x101bf       1.6730           -8.513  0.006    0   1  53 127   0   0   7    -99    -99 11362  3.875   5673 1  -8.712  0.010    0   1  78 138   0   0   8    -99    -99  7691  4.163   5673 1  
    48930.4780     1790    West         300       0x101bf       1.6652           -8.514  0.008    0   1  52 142   0   0   7    -99    -99 14836  5.091   5673 1  -8.698  0.013    0   1  77 124   0   0   8    -99    -99 10024  5.569   5673 1  
    48931.4928     1810    West         300       0x101bf       1.5864           -8.529  0.005    0   1  48 120   0   0   7    -99    -99 13015  3.379   5673 1  -8.726  0.008    0   1  69 128   0   0   8    -99    -99 10275  3.519   5673 1  
    48931.6662     1846    West         300       0x101bf       1.2186           -8.503  0.005    0   1  51 108   0   0   7    -99    -99  5237  3.950   5673 1  -8.729  0.010    0   1  72 129   0   0   8    -99    -99  3311  4.158   5673 1  
    48933.6361     1886    West         300       0x101bf       1.2344           -8.530  0.005    0   1  47 147   0   0   7    -99    -99 13152  3.105   5673 1  -8.825  0.003    0   1  21 183   0   0   8    -99    -99 11061  3.145   5673 1  
    48935.6364     1910    West         300       0x101bf       1.2297           -8.534  0.010    0   1  56 116   0   0   7    -99    -99 23559  5.745   5673 1  -8.704  0.019    0   1  88 123   0   0   8    -99    -99 17881  5.972   5673 1  
    48937.6917     1939    West         300       0x101bf       1.2149           -8.521  0.007    0   1  57 108   0   0   7    -99    -99 17606  4.927   5673 1  -8.732  0.012    0   1  87 110   0   0   8    -99    -99 11767  5.117   5673 1  
    48938.5163     1966    West         300       0x101bf       1.4327           -8.514  0.006    0   1  49 114   0   0   7    -99    -99 15918  3.976   5673 1  -8.715  0.010    0   1  69 126   0   0   8    -99    -99  9670  4.182   5673 1  
    48939.5334     2023    West         300       0x101bf       1.3777           -8.522  0.005    0   1  40 126   0   0   7    -99    -99 11655  3.479   5673 1  -8.745  0.008    0   1  68 145   0   0   8    -99    -99  6790  3.650   5673 1  
    48941.5942     2068    West         300       0x101bf       1.2551           -8.501  0.013   -7   1  52 126   0   0   7    -99    -99 18223  3.723   5673 1  -8.775  0.015    0   1  64 127   0   0   8    -99    -99  9476  3.841   5673 1  
    48947.6422     2107    West         300       0x101bf       1.2133           -8.540  0.008    0   1  61  87   0   0   7    -99    -99  4353  6.000   5673 1  -8.794  0.008    0   1  62  98   0   0   8    -99    -99  2316  6.131   5673 1  
    48948.6949     2145    West         300       0x101bf       1.2327           -8.531  0.004    0   1  30 114   0   0   7    -99    -99  4858  3.159   5673 1  -8.744  0.007    0   1  58 126   0   0   8    -99    -99  2340  3.250   5673 1  
    48949.5303     2166    West         300       0x101bf       1.3225           -8.521  0.005    0   1  49 103   0   0   7    -99    -99  4753  4.055   5673 1  -8.749  0.009    0   1  75 118   0   0   8    -99    -99  2939  4.186   5673 1  
    48964.6800     2189    West         300       0x101bf       1.2618           -8.525  0.009    0   1  54  84   0   0   7    -99    -99  9151  5.100   5673 1  -8.705  0.015    0   1  82 122   0   0   8    -99    -99  8662  5.209   5673 1  
    48965.5280     2210    West         300       0x101bf       1.2572           -8.551  0.007    0   1  48 117   0   0   7    -99    -99 16484  3.807   5673 1  -8.807  0.007    0   1  46  92   0   0   8    -99    -99 16419  3.954   5673 1  
    48966.5191     2256    West         300       0x101bf       1.2651           -8.523  0.006    0   1  44 116   0   0   7    -99    -99 16209  3.420   5673 1  -8.754  0.009    0   1  64 142   0   0   8    -99    -99 15301  3.516   5673 1  
    48984.5243     2343    West         300       0x101bf       1.2175           -8.542  0.006    0   1  50 112   0   0   7    -99    -99  2351  4.267   5673 1  -8.764  0.010    0   1  73 120   0   0   8    -99    -99  2199  4.315   5673 1  
    48984.6932     2366    East         300       0x101bf       1.3952           -8.491  0.016    0   9  65  89  24   6   3    -99    -99  2174  8.463   5673 1  -8.731  0.014    0   1  68  58   0   0  12    -99    -99  1720  8.357   5673 1  
    48985.5444     2383    West         300       0x101bf       1.2126              -99    -99  999 999 999 999 999 999   7    -99    -99  2735  2.913   5673 0  -8.812  0.006    0   1  49 126   0   0   8    -99    -99  2154  2.876   5673 1  
    48987.5350     2425    West         300       0x101bf       1.2128           -8.550  0.011    0   1  48  92   0   0   7    -99    -99  6094  3.334   5673 1  -8.778  0.011    0   1  60 125   0   0   8    -99    -99  4617  3.324   5673 1  
