!  Star 81.9728.14                         RA  05 40 00.520   DEC  -69 42 14.84
#  970 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -10.035          212.31,  538.87            126
#    Blue:            -9.828          233.56,  551.07            116
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7329     1498    West         300       0x101bf       1.2132              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.506  0.004    0   2  46 240   0   0  15    -99    -99  5165  3.726   5673 1  
    48918.7444     1514    West         300       0x101bf       1.2151              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.456  0.004    0   2  37 253   0   0  15    -99    -99  5249  3.542   5673 1  
    48919.5494     1530    West         300       0x101bf       1.4943              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.705  0.004    0   2  31 194   0   0  15    -99    -99  7225  3.323   5673 1  
    48920.5425     1582    West         300       0x101bf       1.5089              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.450  0.004    0   2  32 253   0   0  15    -99    -99  5735  3.539   5673 1  
    48923.7585     1595    West         300       0x101bf       1.2290              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.379  0.004    0   2  36 237   0   0  15    -99    -99 17920  3.651   5673 1  
    48927.4983     1609    West         300       0x101bf       1.6100              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.543  0.006    0   2  51 171   0   0  15    -99    -99  7170  5.419   5673 1  
    48928.5318     1674    West         300       0x101bf       1.4702              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.202  0.004    0   2  36 253   0   0  -1    -99    -99   -99    -99      0 1  
    48929.4792     1725    West         300       0x101bf       1.6730              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.422  0.005    0   2  47 199   0   0  15    -99    -99 11228  4.441   5673 1  
    48930.4780     1790    West         300       0x101bf       1.6652              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.477  0.008    0   2  56 175   0   0  15    -99    -99 13949  5.992   5673 1  
    48931.4928     1810    West         300       0x101bf       1.5864              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.178  0.006    0   2  42 227   0   0  15    -99    -99 14784  3.939   5673 1  
    48931.6662     1846    West         300       0x101bf       1.2186              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.439  0.005    0   2  53 192   0   0  15    -99    -99  5423  4.475   5673 1  
    48933.6361     1886    West         300       0x101bf       1.2344              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.045  0.005    0   2  48 239   0   0  -1    -99    -99   -99    -99      0 1  
    48935.6364     1910    West         300       0x101bf       1.2297              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  15    -99    -99 24425  6.770   5673 0  
    48937.6917     1939    West         300       0x101bf       1.2149              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.297  0.008    0   2  54 164   0   0  15    -99    -99 17036  5.574   5673 1  
    48938.5163     1966    West         300       0x101bf       1.4327              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.252  0.007    0   2  51 193   0   0  15    -99    -99 14204  4.541   5673 1  
    48939.5334     2023    West         300       0x101bf       1.3777              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.280  0.005    0   2  43 216   0   0  15    -99    -99 10633  4.035   5673 1  
    48941.5942     2068    West         300       0x101bf       1.2551              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.539  0.007    0   2  33 144   0   0  15    -99    -99 13068  3.850   5673 1  
    48947.6422     2107    West         300       0x101bf       1.2133              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.753  0.006    0   2  58 116   0   0  15    -99    -99  4305  6.188   5673 1  
    48948.6949     2145    West         300       0x101bf       1.2327              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.416  0.004    0   2  46 253   0   0  15    -99    -99  4694  3.720   5673 1  
    48949.5303     2166    West         300       0x101bf       1.3225              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.568  0.004    0   2  45 230   0   0  15    -99    -99  5191  4.294   5673 1  
    48984.6932     2366    East         300       0x101bf       1.3952           -9.752  0.005    0   1   0 139   0   0   4    -99    -99  3218  8.657   5673 1  -9.258  0.014    0   2  58  99   0   0  11    -99    -99  2505  8.528   5673 1  
    48985.5444     2383    West         300       0x101bf       1.2126              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.120  0.005    0   2  32 225   0   0  -1    -99    -99   -99    -99      0 1  
    48987.5350     2425    West         300       0x101bf       1.2128              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.425  0.007    0   2  40 132   0   0  15    -99    -99  4245  3.424   5673 1  
    48987.7242     2457    East         300       0x101bf       1.5214           -9.770  0.001    0   1   0 253   0   0   4    -99    -99  4091  3.076   5673 1  -9.437  0.003    0   2  28 178   0   0  11    -99    -99  3089  2.784   5673 1  
    48988.5195     2473    West         300       0x101bf       1.2154              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.459  0.004    0   2  33 154   0   0  15    -99    -99  4218  3.211   5673 1  
    48988.7131     2508    East         300       0x101bf       1.4912           -9.795  0.002    0   1   0 231   0   0   4    -99    -99  3582  4.405   5673 1  -9.442  0.005    0   2  43 178   0   0  11    -99    -99  2788  4.217   5673 1  
    48989.5371     2526    West         300       0x101bf       1.2129              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.493  0.005    0   2  38 143   0   0  15    -99    -99  4590  3.702   5673 1  
    48996.4852     2561    West         300       0x101bf       1.2207              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.956  0.004    0   2 255 176 241   0  15    -99    -99 11211  2.757   5673 1  
    48996.7287     2608    East         300       0x101bf       1.6434          -10.048  0.002    0   1 255 186 212   0   4    -99    -99 14207  3.347   5673 1  -9.861  0.004    0   2 255 153 209   0  11    -99    -99 17623  3.179   5673 1  
    48998.4869     2622    West         300       0x101bf       1.2175              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.877  0.003    0   2 255 167 200   0  15    -99    -99  5385  3.183   5673 1  
    48998.7119     2664    East         300       0x101bf       1.5925          -10.038  0.001    0   1   0 202   0   0   4    -99    -99  8123  3.622   5673 1  -9.875  0.004    0   2 255 172 206   0  11    -99    -99 11056  3.482   5673 1  
    49000.5019     2690    West         300       0x101bf       1.2129              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.817  0.005    0   2  51 140   0   0  15    -99    -99  2390  5.312   5673 1  
    49000.6850     2725    East         300       0x101bf       1.5078          -10.025  0.002    0   1   0 166   0   0   4    -99    -99  6562  3.771   5673 1  -9.848  0.004    0   2 255 173 205   0  11    -99    -99  7457  3.615   5673 1  
    49001.4898     2740    West         300       0x101bf       1.2141              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.834  0.003    0   2  41 206   0   0  15    -99    -99  2642  3.856   5673 1  
    49001.6834     2777    East         300       0x101bf       1.5117          -10.032  0.001    0   1   0 197   0   0   4    -99    -99  5924  4.063   5673 1  -9.856  0.004    0   2 255 187 199   0  11    -99    -99  4954  4.002   5673 1  
    49002.4872     2802    West         300       0x101bf       1.2141              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.847  0.003    0   2 255 174 222   0  15    -99    -99  2899  2.947   5673 1  
    49003.7405     2837    East         300       0x101bf       1.8033          -10.024  0.011    0   1   0 120   0   0   4    -99    -99 10100  4.510   5673 1  -9.751  0.012    0   2  42 100   0   0  11    -99    -99  7915  4.001   5673 1  
    49006.4970     2857    West         300       0x101bf       1.2133              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.762  0.003    0   2 255 203 231   0  15    -99    -99  2589  2.776   5673 1  
    49006.6817     2892    East         300       0x101bf       1.5580          -10.042  0.002    0   1   0 194   0   0   4    -99    -99  2852  4.461   5673 1  -9.780  0.005    0   2 255 202 193   0  11    -99    -99  2402  4.647   5673 1  
    49007.5056     2917    West         300       0x101bf       1.2159              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.759  0.004    0   2  48 128   0   0  15    -99    -99  2819  4.307   5673 1  
    49007.6651     2941    East         300       0x101bf       1.5045          -10.037  0.001    0   1   0 208   0   0   4    -99    -99  3691  3.230   5673 1  -9.792  0.003    0   2  35 232 136   0  11    -99    -99  2542  3.055   5673 1  
    49010.5979     2961    West         300       0x101bf       1.3348              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.755  0.003    0   2 255 232 214   0  15    -99    -99  2195  2.709   5673 1  
    49010.6723     2972    East         300       0x101bf       1.5609          -10.026  0.001    0   1   0 210   0   0   4    -99    -99  2832  2.723   5673 1  -9.754  0.003    0   2  19 205   0   0  11    -99    -99  2708  2.468   5673 1  
    49011.5868     2987    West         300       0x101bf       1.3175              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.696  0.005    0   2  47 116   0   0  15    -99    -99  2163  4.555   5673 1  
    49014.6851     3005    East         300       0x101bf       1.6655          -10.014  0.002    0   1   0 157   0   0   4    -99    -99  2923  5.784   5673 1  -9.645  0.006    0   2  53 106   0   0  11    -99    -99  2381  6.226   5673 1  
