!  Star 82.8043.256                        RA  05 30 10.221   DEC  -69 09 34.47
#  942 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -6.433         1458.66, 1398.39             25
#    Blue:            -5.252         1440.47, 1388.39             86
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7374     1499    West         300       0x101bf       1.2031              -99    -99  999 999 999 999 999 999   4    -99    -99  4886  3.356   4215 0     -99    -99  999 999 999 999 999 999  11    -99    -99  4823  3.468   4215 0  
    48918.7488     1515    West         300       0x101bf       1.2067           -6.422  0.011  -58   1  18 111   0   0   4    -99    -99  4384  3.643   4215 1  -5.297  0.025 -104   1  42 108   0   0  11    -99    -99  4563  3.584   4215 1  
    48919.5539     1531    West         300       0x101bf       1.4663           -6.477  0.021   46   1   0 120   0   0   4    -99    -99  8911  2.861   4215 1  -4.839  0.088  110   1  18 145   0   0  11    -99    -99  7984  3.056   4215 1  
    48923.7630     1596    West         300       0x101bf       1.2240              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -5.414  0.059 -102   1  20 158   0   0  11    -99    -99 52088  3.094   4215 1  
    48927.5027     1610    West         300       0x101bf       1.5798           -6.474  0.019    0   1  37 104   0   0   4    -99    -99  8811  4.550   4215 1  -5.011  0.066   72   1  56 145   0   0  11    -99    -99  7554  4.892   4215 1  
    48928.5366     1675    West         300       0x101bf       1.4420           -6.461  0.011    0   1   2  91   0   0   4    -99    -99  7237  3.370   4215 1  -4.941  0.042  -54   1  21 134 194   0  11    -99    -99  8448  3.318   4215 1  
    48929.4836     1726    West         300       0x101bf       1.6419           -6.462  0.017    0   1  25 111   0   0   4    -99    -99 10561  4.001   4215 1  -5.005  0.064    0   1  44 147   0   0  11    -99    -99 12155  4.106   4215 1  
    48930.4825     1791    West         300       0x101bf       1.6343           -6.443  0.039   66   1  38 124   0   0   4    -99    -99 18669  4.636   4215 1  -4.949  0.164   89   3  66 143   0   0  11    -99    -99 19384  4.967   4215 1  
    48931.4973     1811    West         300       0x101bf       1.5566           -6.464  0.016   53   1  18 105   0   0   4    -99    -99 12117  3.844   4215 1  -4.976  0.058   91   1  26 154   0   0  11    -99    -99 15985  3.746   4215 1  
    48933.6405     1887    West         300       0x101bf       1.2187           -6.437  0.012  -89   1   0 117   0   0   4    -99    -99 12818  3.076   4215 1  -5.213  0.043 -118   1  33 125   0   0  11    -99    -99 17269  3.221   4215 1  
    48935.6409     1911    West         300       0x101bf       1.2146           -6.326  0.045  -54   1  57 132   0   0   4    -99    -99 22701  5.721   4215 1  -4.858  0.180  -88   5  83 139   0   0  11    -99    -99 28065  5.753   4215 1  
    48937.6962     1940    West         300       0x101bf       1.2064           -6.438  0.032  -47   1  53 117   0   0   4    -99    -99 17496  5.517   4215 1  -4.886  0.144  -31   5  89 133   0   0  11    -99    -99 18960  5.885   4215 1  
    48938.5209     1967    West         300       0x101bf       1.4063           -6.394  0.053   95   1  29 124   0   0   4    -99    -99 27904  4.344   4215 1  -5.279  0.120   79   1  42 141   0   0  11    -99    -99 24352  4.108   4215 1  
    48939.5378     2024    West         300       0x101bf       1.3533           -6.441  0.014    0   1   9 113   0   0   4    -99    -99 11605  3.522   4215 1  -4.909  0.051  -69   1  18 157 193   0  11    -99    -99 11722  3.442   4215 1  
    48941.5986     2069    West         300       0x101bf       1.2373           -6.313  0.061 -101   5  31 125   0   0   4    -99    -99 15817  4.396   4215 1  -4.971  0.197 -126   5  63 131   0   0  11    -99    -99 13779  4.424   4215 1  
    48947.6466     2108    West         300       0x101bf       1.2023           -6.454  0.024  -49   1  63 102   0   0   4    -99    -99  4104  6.201   4215 1  -5.362  0.060  -94   5  91  90   0   0  11    -99    -99  3865  6.318   4215 1  
    48948.6994     2146    West         300       0x101bf       1.2282           -6.397  0.009  -61   1   0 107   0   0   4    -99    -99  4772  3.103   4215 1  -5.261  0.020  -93   1  25 107   0   0  11    -99    -99  3969  3.152   4215 1  
    48949.5347     2167    West         300       0x101bf       1.3005           -6.404  0.011  -31   1  16  93   0   0   4    -99    -99  4427  3.662   4215 1  -5.281  0.026  -99   1  37  98   0   0  11    -99    -99  4928  3.502   4215 1  
    48964.6844     2190    West         300       0x101bf       1.2613           -6.399  0.037  -53   1  51  82   0   0   4    -99    -99  8888  5.192   4215 1  -5.442  0.095  -96   5  81  79 175   0  11    -99    -99  8864  5.474   4215 1  
