!  Star 82.8289.10                         RA  05 31 28.411   DEC  -68 52 59.97
#  936 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -11.304          786.74,  949.37             22
#    Blue:           -11.701          760.96,  946.03            102
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7374     1499    West         300       0x101bf       1.2031          -11.678  9.999    0  13   0 236 248   0   3    -99    -99  4362  3.318   5486 1 -12.453  9.999    0  13   0 240 248   0  13    -99    -99  4249  3.452   5486 1  
    48923.7630     1596    West         300       0x101bf       1.2240              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0 -12.625  9.999    0  13   0 235 244   0  13    -99    -99 48105  3.004   5486 1  
    48928.5366     1675    West         300       0x101bf       1.4420          -11.588  9.999    0  13   0 253 253   0   3    -99    -99  6811  3.291   5486 1 -12.301  0.002    0  13 255 253 253   0  13    -99    -99  7905  3.283   5486 1  
    48931.4973     1811    West         300       0x101bf       1.5566          -11.965  9.999    0  13   0 251 247   0   3    -99    -99 11618  3.745   5486 1 -12.614  9.999    0  13   0 217 252   0  13    -99    -99 15106  3.748   5486 1  
    48933.6405     1887    West         300       0x101bf       1.2187          -11.482  9.999    0  13   0 232 240   0   3    -99    -99 12025  3.046   5486 1 -12.412  9.999    0  13 255 232 251   0  13    -99    -99 16050  3.262   5486 1  
    48939.5378     2024    West         300       0x101bf       1.3533          -11.702  0.002    0  13 255 253 253   0   3    -99    -99 11070  3.437   5486 1 -12.455  0.002    0  13 255 237 247   0  13    -99    -99 10888  3.434   5486 1  
    48941.5986     2069    West         300       0x101bf       1.2373          -11.289  9.999    0  13   0 226   0   0   3    -99    -99 15171  4.313   5486 1 -11.671  0.002    0  13   0 198   0   0  13    -99    -99 13062  4.383   5486 1  
    48949.5347     2167    West         300       0x101bf       1.3005          -11.707  9.999    0  13   0 195 209   0   3    -99    -99  4132  3.547   5486 1 -12.463  0.003    0  13 255 238 253   0  13    -99    -99  4507  3.461   5486 1  
    48964.6844     2190    West         300       0x101bf       1.2613          -11.275  0.002    0  13   0 230   0   0   3    -99    -99  8382  5.141   5486 1 -13.590  0.002    0  13 255 169 230   0  13    -99    -99  8232  5.454   5486 1  
    48966.5236     2257    West         300       0x101bf       1.2467          -12.198  9.999    0  13   0 253 246   0   3    -99    -99 14273  3.502   5486 1 -13.021  0.003    0  13 255 190 249   0  13    -99    -99 14498  3.468   5486 1  
    48984.5288     2344    West         300       0x101bf       1.2046              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0 -13.430  0.001    0  13   0 235   0   0  13    -99    -99  2253  4.955   5486 1  
    48985.5489     2384    West         300       0x101bf       1.2021          -11.619  9.999    0  13   0 227 244   0   3    -99    -99  2402  2.767   5486 1 -12.368  9.999    0  13   0 253   0   0  13    -99    -99  2086  2.823   5486 1  
    48987.5564     2428    West         300       0x101bf       1.2046          -11.272  0.002    0  13 255 253 233   0   3    -99    -99  6705  3.890   5486 1 -11.674  0.001    0  13   0 195   0   0  13    -99    -99  5498  3.790   5486 1  
    48987.7287     2458    East         300       0x101bf       1.5452          -11.930  0.002    0  13 255 253 248   0   7    -99    -99  3544  3.083   5486 1 -12.408  0.002    0  13 255 253 248   0   9    -99    -99  2263  3.185   5486 1  
    48988.5240     2474    West         300       0x101bf       1.2031          -11.785  9.999    0  13   0  47 249   0   3    -99    -99  3485  3.051   5486 1 -12.618  9.999    0  13   0 207 247   0  13    -99    -99  3662  3.071   5486 1  
    48988.7176     2509    East         300       0x101bf       1.5122          -12.364  9.999    0  13   0 253   0   0   7    -99    -99  2531  4.332   5486 1 -12.942  9.999    0  13   0 253   0   0   9    -99    -99  1779  4.463   5486 1  
    48989.5416     2527    West         300       0x101bf       1.2028          -11.304  0.002    0  13 255 253 222   0   3    -99    -99  3541  3.758   5486 1 -13.012  0.002    0  13 255 220 244   0  13    -99    -99  3854  3.870   5486 1  
    48996.4897     2562    West         300       0x101bf       1.2071          -11.750  0.003    0  13 255 232 245   0   3    -99    -99  8454  2.802   5486 1 -12.463  0.003    0  13 255 224 253   0  13    -99    -99 11236  2.740   5486 1  
    48998.4914     2623    West         300       0x101bf       1.2046          -11.770  9.999    0  13   0  51 249   0   3    -99    -99  4212  3.243   5486 1 -12.666  0.002    0  13 255 227 252   0  13    -99    -99  5263  3.225   5486 1  
    48998.7163     2665    East         300       0x101bf       1.6222          -12.191  9.999    0  13   0 253   0   0   7    -99    -99  7431  3.613   5486 1 -12.775  0.002    0  13 255 253 239   0   9    -99    -99 10268  3.757   5486 1  
    49000.5063     2691    West         300       0x101bf       1.2022          -11.259  9.999    0  13   0 253 234   0   3    -99    -99  2247  4.089   5486 1 -13.135  0.001    0  13   0 251   0   0  13    -99    -99  2059  4.410   5486 1  
    49000.6898     2726    East         300       0x101bf       1.5315          -11.267  9.999    0  13   0 253 226   0   7    -99    -99  5857  3.605   5486 1 -12.449  9.999    0  13   0 253 226   0   9    -99    -99  6571  3.814   5486 1  
    49001.4942     2741    West         300       0x101bf       1.2024          -11.519  9.999    0  13   0 253 232   0   3    -99    -99  3346  2.733   5486 1 -12.312  0.001    0  13 255 243 246   0  13    -99    -99  2169  2.805   5486 1  
    49001.6887     2778    East         300       0x101bf       1.5380          -11.251  0.001    0  13 255 236 212   0   7    -99    -99  5490  4.033   5486 1 -11.688  0.001    0  13 255 253 226   0   9    -99    -99  4410  4.221   5486 1  
    49002.4916     2803    West         300       0x101bf       1.2024          -11.699  9.999    0  13   0 168 247   0   3    -99    -99  2635  2.942   5486 1 -12.437  9.999    0  13   0 222 249   0  13    -99    -99  2325  2.950   5486 1  
    49006.5015     2858    West         300       0x101bf       1.2040          -11.468  0.085    0  13 255  30 252   0   3    -99    -99  1968  2.695   5486 1 -12.064  0.085    0  13 255  30 252   0  13    -99    -99  1948  2.480   5486 1  
    49006.6868     2893    East         300       0x101bf       1.5872          -11.251  0.001    0  13 255 239 225   0   7    -99    -99  1942  4.452   5486 1 -12.730  0.001    0  13 255 237 173   0   9    -99    -99  1624  4.745   5486 1  
    49007.5101     2918    West         300       0x101bf       1.2078          -11.248  9.999    0  13   0 253   0   0   3    -99    -99  3048  3.906   5486 1 -12.980  0.002    0  13 255 209 245   0  13    -99    -99  2328  3.977   5486 1  
    49007.6696     2942    East         300       0x101bf       1.5268          -12.004  9.999    0  13   0 230 228   0   7    -99    -99  2871  3.384   5486 1 -11.697  9.999    0  13   0 230 228   0   9    -99    -99  1654  3.461   5486 1  
    49010.5934     2960    West         300       0x101bf       1.3217          -11.130  9.999    0  13   0 253 242   0   3    -99    -99  1729  2.238   5486 1 -11.941  0.002    0  13 255 249 253   0  13    -99    -99  1597  2.338   5486 1  
    49010.6769     2973    East         300       0x101bf       1.5879          -11.278  0.001    0  13   0 253   0   0   7    -99    -99  2113  2.883   5486 1 -12.171  0.001    0  13 255 253 241  12   9    -99    -99  1813  2.958   5486 1  
    49011.5912     2988    West         300       0x101bf       1.3230          -11.261  9.999    0  13   0 204   0   0   3    -99    -99  2683  4.050   5486 1 -11.668  9.999    0  13   0 207   0   0  13    -99    -99  1938  4.181   5486 1  
    49014.6897     3006    East         300       0x101bf       1.7025          -11.263  0.001    0  13   0 217   0   0   7    -99    -99  1928  5.900   5486 1 -11.681  0.001    0  13   0 218   0   0   9    -99    -99  1589  6.334   5486 1  
    49015.4967     3032    West         300       0x101bf       1.2117          -12.004  9.999    0  13   0 222 244   0   3    -99    -99  2836  3.626   5486 1 -12.857  0.001    0  13 255 195 229   0  13    -99    -99  1992  3.760   5486 1  
    49015.6199     3056    East         300       0x101bf       1.4262          -11.271  0.001    0  13 255 233 204   0   7    -99    -99  2939  4.328   5486 1 -12.971  0.001    0  13   0 253   0   0   9    -99    -99  1847  4.546   5486 1  
    49016.5282     3096    West         300       0x101bf       1.2414          -12.136  9.999    0  13   0 152   0   0   3    -99    -99  1940  3.801   5486 1 -12.929  9.999    0  13   0 135   0   0  13    -99    -99  1739  3.943   5486 1  
    49016.6546     3119    East         300       0x101bf       1.5627          -11.283  9.999    0  13   0 166   0   0   7    -99    -99  1888  4.071   5486 1 -12.794  0.002    0  13 255 235 241   0   9    -99    -99  1598  4.190   5486 1  
    49018.5236     3154    West         300       0x101bf       1.2423          -11.394  0.002    0  13 255 253 252   1   3    -99    -99  2842  2.404   5486 1 -11.693  0.004    0  13 255 216 253   0  13    -99    -99  2692  2.115   5486 1  
    49018.6609     3179    East         300       0x101bf       1.6141          -12.007  9.999    0  13   0 253 200   0   7    -99    -99  2274  3.400   5486 1 -12.537  9.999    0  13   0 253 200   0   9    -99    -99  1525  3.501   5486 1  
    49020.6033     3212    East         300       0x101bf       1.4171          -12.068  9.999    0  13   0 253   0   0   7    -99    -99  3577  3.510   5486 1 -12.629  9.999    0  13   0 253 214   0   9    -99    -99  2852  3.573   5486 1  
    49021.5520     3265    West         300       0x101bf       1.2988          -11.659  9.999    0  13   0 253 245   0   3    -99    -99  5603  2.758   5486 1 -12.293  0.002    0  13 255 253 247   0  13    -99    -99  5352  2.730   5486 1  
    49021.6394     3281    East         300       0x101bf       1.5560          -12.326  9.999    0  13   0 253 243   0   7    -99    -99  5145  4.192   5486 1 -12.942  9.999    0  13 255 253 225   0   9    -99    -99  3930  4.377   5486 1  
    49024.4917     3321    West         300       0x101bf       1.2261          -11.194  9.999    0  13 255 253 225   0   3    -99    -99 17528  3.996   5486 1 -13.600  0.003    0  13 255 232 246   0  13    -99    -99 22310  4.333   5486 1  
    49025.5638     3347    East         300       0x101bf       1.3467          -12.080  0.002    0  13 255 208 250   0   7    -99    -99 12071  3.209   5486 1 -12.257  0.002    0  13 255 208 248   0   9    -99    -99 19332  3.224   5486 1  
    49025.5639     3348    East         300       0x00110       1.3591          -11.989  0.002    0  13 255 253 251   0   7    -99    -99 12128  3.211   5486 1 -12.279  0.002    0  13 255 162 249   0   9    -99    -99 19421  3.218   5486 1  
    49029.5237     3390    West         300       0x101bf       1.2867          -11.283  9.999    0  13   0 253   0   0   3    -99    -99  3880  3.677   5486 1 -12.954  9.999    0  13   0 187   0   0  13    -99    -99  4181  3.814   5486 1  
    49032.4867     3412    West         300       0x101bf       1.2437          -11.281  9.999    0  13 255 217 209   0   3    -99    -99  2255  4.273   5486 1 -13.237  0.001    0  13   0 239   0   0  13    -99    -99  1982  4.593   5486 1  
    49032.6554     3435    East         300       0x101bf       1.7835          -11.337  0.002    0  13   0 213   0   0   7    -99    -99  4728  7.679   5486 1 -11.731  9.999    0  13   0 170   0   0   9    -99    -99  3436  7.660   5486 1  
    49033.5941     3457    East         300       0x101bf       1.5055              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0     -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  
    49036.6987     3513    East         300       0x101bf       2.1659          -11.299  9.999    0  13   0 242   0   0   7    -99    -99  2817  4.375   5486 1 -12.909  9.999    0  13   0 242   0   0   9    -99    -99  2124  4.825   5486 1  
    49037.6205     3564    East         300       0x101bf       1.6705          -11.950  0.002    0  13 255 239 249   0   7    -99    -99  2427  3.342   5486 1 -12.112  0.001    0  13 255 253 243   0   9    -99    -99  1835  3.335   5486 1  
    49040.5160     3599    West         300       0x101bf       1.3310          -11.310  9.999    0  13   0 253 249   0   3    -99    -99  2081  3.851   5486 1 -12.968  0.001    0  13 255 222 233   0  13    -99    -99  1724  4.049   5486 1  
    49043.4978     3696    West         300       0x101bf       1.3096          -11.637  0.001    0  13 255 253 231   0   3    -99    -99  2330  3.057   5486 1 -12.518  9.999    0  13   0 253 246   0  13    -99    -99  1900  3.126   5486 1  
    49043.5901     3712    East         300       0x101bf       1.6036          -12.039  0.001    0  13 255 242 211   0   7    -99    -99  2727  3.645   5486 1 -12.603  9.999    0  13   0 237 213   0   9    -99    -99  1932  3.682   5486 1  
    49044.5026     3759    West         300       0x101bf       1.3256          -11.318  0.000    0  13   0   0   0   0   3    -99    -99  2059  4.008   5486 1 -13.062  0.001    0  13 255 231 245   0  13    -99    -99  1612  4.329   5486 1  
    49044.6594     3774    East         300       0x101bf       2.0286          -11.289  0.002    0  13   0 204   0   0   7    -99    -99  2537  6.245   5486 1 -11.674  9.999    0  13   0 138   0   0   9    -99    -99  1883  6.710   5486 1  
    49045.4945     3814    West         300       0x101bf       1.3139          -11.308  0.002    0  13   0 206   0   0   3    -99    -99  2177  3.135   5486 1 -12.584  0.001    0  13 255 221 243   0  13    -99    -99  1813  3.267   5486 1  
    49045.5868     3829    East         300       0x101bf       1.6135          -11.795  9.999    0  13   0 253 240   0   7    -99    -99  2233  2.947   5486 1 -12.290  9.999    0  13   0 253 240   0   9    -99    -99  1724  3.002   5486 1  
    49046.6458     3877    East         300       0x101bf       1.9690          -11.295  9.999    0  13   0 135   0   0   7    -99    -99  2890  6.421   5486 1 -11.690  9.999    0  13   0 135   0   0   9    -99    -99  2044  6.847   5486 1  
    49047.4978     3892    West         300       0x101bf       1.3331          -11.290  0.002    0  13   0 253   0   0   3    -99    -99  2994  7.781   5486 1 -11.714  0.005    0  13   0 129   0   0  13    -99    -99  2312  8.248   5486 1  
    49048.4874     3908    West         300       0x101bf       1.3163          -11.319  9.999    0  13   0 129   0   0   3    -99    -99  3557  3.755   5486 1 -13.042  0.001    0  13 255 200 209   0  13    -99    -99  3195  4.106   5486 1  
    49048.5866     3925    East         300       0x101bf       1.6512          -12.318  0.001    0  13 255 200 234   0   7    -99    -99  2664  4.292   5486 1 -12.922  0.001    0  13 255 200 234   0   9    -99    -99  1827  4.460   5486 1  
    49049.4929     3973    West         300       0x101bf       1.3341          -11.304  9.999    0  13   0 166   0   0   3    -99    -99  4414  5.791   5486 1 -13.584  9.999    0  13   0 202 173   0  13    -99    -99  3887  6.418   5486 1  
    49049.6534     3997    East         300       0x101bf       2.0860          -11.313  0.001    0  13   0 220   0   0   7    -99    -99  2848  4.640   5486 1 -12.942  9.999    0  13   0 197 221   0   9    -99    -99  1976  4.939   5486 1  
    49050.6412     4035    East         300       0x101bf       2.0140          -12.045  9.999    0  13   0 239 235   0   7    -99    -99  5105  3.468   5486 1 -12.157  0.002    0  13 255 225 243   0   9    -99    -99  3920  3.678   5486 1  
    49053.5751     4074    East         300       0x101bf       1.6610          -11.860  9.999    0  13   0 202 253   0   7    -99    -99 12853  2.920   5486 1 -12.546  0.002    0  13 255 221 249   0   9    -99    -99 21766  3.021   5486 1  
    49055.6950     4106    East         300       0x100bf       2.6152          -12.493  9.999    0  13   0 172 166   0   7    -99    -99 16822  4.284   5486 1 -13.442  0.002    0  13 255 218 221   0   9    -99    -99 28811  4.750   5486 1  
    49059.5029     4136    East         300       0x101bf       1.4359          -11.875  0.002    0  13 255 253 249   0   7    -99    -99  3443  3.098   5486 1 -12.440  0.001    0  13 255 253 244   0   9    -99    -99  2836  3.248   5486 1  
    49060.4565     4174    West         300       0x101bf       1.3201          -11.795  0.001    0  13   0 245   0   0   3    -99    -99  2730  3.206   5486 1 -12.674  0.002    0  13 255 230 247   0  13    -99    -99  1858  3.457   5486 1  
    49061.4576     4215    West         300       0x101bf       1.3283          -11.325  9.999    0  13   0 253 245   0   3    -99    -99  2626  2.747   5486 1 -12.312  9.999    0  13 255 234 250   0  13    -99    -99  2038  2.863   5486 1  
    49061.6765     4236    East         300       0x101bf       2.5905          -11.323  0.001    0  13 255 253 196   0   7    -99    -99  6690  3.575   5486 1 -11.693  0.001    0  13 255 253 196   0   9    -99    -99  5523  3.912   5486 1  
    49062.4560     4261    West         300       0x101bf       1.3307          -11.319  0.003    0  13   0  99   0   0   3    -99    -99  2622  3.880   5486 1 -12.902  0.001    0  13 255 200 215   0  13    -99    -99  2151  3.905   5486 1  
    49064.5562     4284    East         300       0x101bf       1.7177          -12.131  0.002    0  13   0 207   0   0   7    -99    -99  2725  3.496   5486 1 -12.654  0.001    0  13   0 227   0   0   9    -99    -99  1873  3.637   5486 1  
    49065.5274     4341    East         300       0x101bf       1.5907          -11.781  9.999    0  13   0 247 252   0   7    -99    -99  2527  2.959   5486 1 -12.261  0.002    0  13 255 250 251   0   9    -99    -99  1761  2.996   5486 1  
    49067.4744     4433    East         300       0x101bf       1.4153          -11.302  0.001    0  13 255 247 238   0   7    -99    -99  2274  3.869   5486 1 -12.750  0.001    0  13 255 253 224   0   9    -99    -99  1902  4.057   5486 1  
    49067.5918     4455    East         300       0x101bf       1.9905          -11.300  0.002    0  13 255 251 253   0   7    -99    -99  2201  4.439   5486 1 -12.872  0.002    0  13 255 211 246   0   9    -99    -99  1826  4.688   5486 1  
