!  Star 82.8653.12                         RA  05 33 21.670   DEC  -68 46 30.54
#  943 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.555         1909.83, 1572.00              0
#    Blue:           -10.069         1907.45, 1566.14            111
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7374     1499    West         300       0x101bf       1.2031           -9.573  0.001    0   1 255 216 219   0   1    -99    -99  4531  3.410   5486 1 -10.148  0.002    0   1 255 253 241   0  14    -99    -99  2403  3.459   5486 1  
    48918.7488     1515    West         300       0x101bf       1.2067           -9.538  0.002    0   1 255 223 224   0   1    -99    -99  4173  3.560   5486 1 -10.097  0.001    0   1 255 253 238   0  14    -99    -99  2346  3.388   5486 1  
    48919.5539     1531    West         300       0x101bf       1.4663              -99    -99  999 999 999 999 999 999   1    -99    -99  8588  3.089   5486 0     -99    -99  999 999 999 999 999 999  14    -99    -99  5057  3.581   5486 0  
    48923.7630     1596    West         300       0x101bf       1.2240              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0 -10.093  0.007    0   5 255 189 253   0  14    -99    -99 42362  3.125   5486 1  
    48927.5027     1610    West         300       0x101bf       1.5798           -9.426  9.999    0  47   0 234 234   0   1    -99    -99  8538  4.708   5486 1     -99    -99  999 999 999 999 999 999  14    -99    -99  4540  5.167   5486 0  
    48928.5366     1675    West         300       0x101bf       1.4420           -9.540  0.002    0  41 255 203 234   0   1    -99    -99  7019  3.326   5486 1     -99    -99  999 999 999 999 999 999  14    -99    -99  5335  3.388   5486 0  
    48929.4836     1726    West         300       0x101bf       1.6419              -99    -99  999 999 999 999 999 999   1    -99    -99 10362  4.038   5486 0     -99    -99  999 999 999 999 999 999  14    -99    -99  8354  4.369   5486 0  
    48930.4825     1791    West         300       0x101bf       1.6343              -99    -99  999 999 999 999 999 999   1    -99    -99 18894  4.785   5486 0     -99    -99  999 999 999 999 999 999  14    -99    -99 15118  5.332   5486 0  
    48931.4973     1811    West         300       0x101bf       1.5566              -99    -99  999 999 999 999 999 999   1    -99    -99 11975  3.721   5486 0     -99    -99  999 999 999 999 999 999  14    -99    -99 11754  3.758   5486 0  
    48933.6405     1887    West         300       0x101bf       1.2187           -9.544  0.003    0   1 255 213 238   0   1    -99    -99 12389  3.171   5486 1 -10.149  0.002    0   1 255 253 247   0  14    -99    -99 12290  3.525   5486 1  
    48935.6409     1911    West         300       0x101bf       1.2146           -9.572  0.002    0   1   0 171   0   0   1    -99    -99 22241  5.542   5486 1 -10.069  0.002    0   1 255 206 202   0  14    -99    -99 21907  5.476   5486 1  
    48937.6962     1940    West         300       0x101bf       1.2064           -9.562  0.002    0   1   0 155   0   0   1    -99    -99 16958  5.573   5486 1 -10.045  0.002    0   1 255 206 210   0  14    -99    -99 14356  5.988   5486 1  
    48938.5209     1967    West         300       0x101bf       1.4063           -9.635  0.003    0  43   0 253 191   0   1    -99    -99 27161  4.109   5486 1     -99    -99  999 999 999 999 999 999  14    -99    -99 19159  4.004   5486 0  
    48939.5378     2024    West         300       0x101bf       1.3533           -9.544  0.002    0  41 255 191 232   0   1    -99    -99 11345  3.442   5486 1     -99    -99  999 999 999 999 999 999  14    -99    -99  8133  3.489   5486 0  
    48941.5986     2069    West         300       0x101bf       1.2373           -9.540  0.003    0   1   0 159   0   0   1    -99    -99 15503  4.294   5486 1 -10.035  0.002    0   1   0 190   0   0  14    -99    -99  9882  4.313   5486 1  
    48947.6466     2108    West         300       0x101bf       1.2023           -9.569  0.002    0   1   0 164   0   0   1    -99    -99  3885  6.036   5486 1 -10.128  0.002    0   1   0 200 202   0  14    -99    -99  1892  5.848   5486 1  
