!  Star 82.8771.18                         RA  05 34 33.090   DEC  -69 01 09.90
#  941 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.681         1296.95,  173.55              7
#    Blue:           -10.150         1300.58,  189.75            114
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7374     1499    West         300       0x101bf       1.2031           -9.710  0.001    0   1 255 231 232   0   1    -99    -99  4833  3.341   5486 1  -8.954  0.002   26   5 102 253   0   0  15    -99    -99  4468  3.501   5486 1  
    48918.7488     1515    West         300       0x101bf       1.2067           -9.718  0.001    0   1 255 232 229   0   1    -99    -99  4601  3.532   5486 1  -9.010  0.001   21   5  96 253   0   0  15    -99    -99  4386  3.482   5486 1  
    48919.5539     1531    West         300       0x101bf       1.4663           -9.706  0.002    0   1   0 172   0   0   1    -99    -99  9175  2.977   5486 1  -9.653  0.002    0   1   0 253   0   0  15    -99    -99  7090  3.207   5486 1  
    48927.5027     1610    West         300       0x101bf       1.5798           -9.698  0.001    0   1   0 233   0   0   1    -99    -99  9021  4.607   5486 1  -9.211  0.038    0   1  87 116   0   0  15    -99    -99  6697  5.026   5486 1  
    48928.5366     1675    West         300       0x101bf       1.4420           -9.705  0.002    0   1 255 203 235   0   1    -99    -99  7555  3.259   5486 1  -8.664  0.068    0   1  86 116   0   0  15    -99    -99  7611  3.490   5486 1  
    48929.4836     1726    West         300       0x101bf       1.6419           -9.696  0.002    0   1 255 205 204   0   1    -99    -99 10976  3.949   5486 1  -8.978  0.047    0   1  86 123   0   0  15    -99    -99 10724  4.298   5486 1  
    48930.4825     1791    West         300       0x101bf       1.6343           -9.699  0.002    0   1   0 192   0   0   1    -99    -99 19740  4.742   5486 1  -9.680  0.003   15   1   0 253   0   0  15    -99    -99 17428  5.230   5486 1  
    48931.4973     1811    West         300       0x101bf       1.5566           -9.711  0.002    0   1 255 176 228   0   1    -99    -99 12721  3.714   5486 1  -8.804  0.002   24   5  85 253   0   0  15    -99    -99 14286  3.970   5486 1  
    48933.6405     1887    West         300       0x101bf       1.2187           -9.688  0.002    0   1 255 232 239   0   1    -99    -99 13062  3.076   5486 1  -8.573  0.003   31   5  94 253   0   0  15    -99    -99 15378  3.491   5486 1  
    48935.6409     1911    West         300       0x101bf       1.2146           -9.684  0.002    0   1   0 183   0   0   1    -99    -99 23392  5.536   5486 1  -8.396  0.007   33   1   0 253   0   0  15    -99    -99 24572  6.199   5486 1  
