!  Star 82.9252.2                          RA  05 37 03.975   DEC  -69 10 04.41
#  948 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:           -10.746           16.65, 1413.24             52
#    Blue:           -10.821           43.42, 1439.22             62
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48917.7374     1499    West         300       0x101bf       1.2031              -99    -99  999 999 999 999 999 999   7    -99    -99  5971  3.414   5486 0 -10.813  9.999    0  47   0 246 248   0   8    -99    -99  3656  3.424   5486 1  
    48918.7488     1515    West         300       0x101bf       1.2067          -10.836  0.002    0   5 255 251 251   0   7    -99    -99  5511  3.458   5486 1 -10.828  0.002    0   5 255 253 251   0   8    -99    -99  3522  3.311   5486 1  
    48919.5539     1531    West         300       0x101bf       1.4663          -10.798  0.002    0   1 255 248 245   0   7    -99    -99  9604  3.221   5486 1 -10.867  0.001    0   9 255 253 212   0   8    -99    -99  5234  3.412   5486 1  
    48923.7630     1596    West         300       0x101bf       1.2240              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0 -11.015  0.004    0   5 255 238 253   0   8    -99    -99 34621  3.057   5486 1  
    48927.5027     1610    West         300       0x101bf       1.5798          -10.809  0.002    0   5 255 253 241   0   7    -99    -99  9901  4.749   5486 1 -10.843  0.001    0   9 255 253 210   0   8    -99    -99  5172  5.150   5486 1  
    48928.5366     1675    West         300       0x101bf       1.4420          -10.789  0.002    0   5 255 253 252   0   7    -99    -99  8547  3.309   5486 1 -10.877  0.002    0   5 255 248 249   0   8    -99    -99  5747  3.520   5486 1  
    48929.4836     1726    West         300       0x101bf       1.6419          -10.815  0.002    0   5 255 253 246   0   7    -99    -99 11842  4.008   5486 1 -10.864  0.002    0   9 255 253 235   0   8    -99    -99  8049  4.337   5486 1  
    48930.4825     1791    West         300       0x101bf       1.6343          -10.834  0.002    0   1 255 251 230   0   7    -99    -99 20622  4.856   5486 1 -10.881  0.001    0   9   0 251   0   0   8    -99    -99 12678  5.336   5486 1  
    48931.4973     1811    West         300       0x101bf       1.5566          -10.826  0.002    0   5 255 214 251   0   7    -99    -99 13498  3.674   5486 1 -10.912  0.002    0   9 255 220 249   0   8    -99    -99 10517  3.840   5486 1  
    48933.6405     1887    West         300       0x101bf       1.2187          -10.904  0.003    0   5 255 253 253   0   7    -99    -99 13976  3.204   5486 1 -10.915  0.002    0   5 255 253 251   0   8    -99    -99 11475  3.327   5486 1  
