!  Star 9.4516.29                          RA  05 08 29.828   DEC  -70 20 42.57
#  1114 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -8.623         1188.66,  270.96             17
#    Blue:            -8.956         1171.20,  253.07             91
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6909      287    West         300       0x101bf       1.9728           -8.668  0.007    0   1  25 139   0   0   3    -99    -99 11773  6.200   2956 1  -9.008  0.029    0   1   4  26   0   0  12    -99    -99   450  6.138   2956 1  
    48824.6956      324    West         300       0x101bf       1.9321              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -9.005  0.019    0   1   0  38   0   0  12    -99    -99   417  4.352   2956 1  
    48825.7559      354    West         300       0x101bf       1.6035           -8.717  0.003    0   1   6 169   0   0   3    -99    -99  7090  4.730   2956 1  -9.050  0.015    0   1   0  43   0   0  12    -99    -99   250  4.650   2956 1  
    48826.7218      383    West         300       0x101bf       1.7494           -8.655  0.003    0   1   0 133   0   0   3    -99    -99  7602  4.427   2956 1  -8.962  0.015    0   1   0  41   0   0  12    -99    -99   217  4.654   2956 1  
    48828.6694      399    West         300       0x101bf       2.0154           -8.672  0.004    0   1  12 114   0   0   3    -99    -99  8358  5.192   2956 1  -8.982  0.003    0   1   3 134   0   0  12    -99    -99  4980  5.464   2956 1  
    48829.6868      432    West         300       0x101bf       1.9043           -8.676  0.003    0   1   0 171   0   0   3    -99    -99  6029  3.545   2956 1  -9.004  0.002    0   1   0 177   0   0  12    -99    -99  4715  3.630   2956 1  
    48831.6741      461    West         300       0x101bf       1.9491           -8.660  0.005    0   1  13 124   0   0   3    -99    -99  5882  5.520   2956 1  -8.984  0.004    0   1   2 145   0   0  12    -99    -99  4963  5.714   2956 1  
    48832.6730      497    West         300       0x101bf       1.9392           -8.676  0.005    0   1  21 121   0   0   3    -99    -99  5755  5.955   2956 1  -8.981  0.005    0   3  11 138 209   0  12    -99    -99  4587  6.294   2956 1  
    48833.7934      524    West         300       0x101bf       1.4001           -8.666  0.003    0   1   2 131   0   0   3    -99    -99  4179  4.757   2956 1  -8.999  0.002    0   1   0 148   0   0  12    -99    -99  3785  4.840   2956 1  
    48834.6617      560    West         300       0x101bf       1.9767           -8.696  0.003    0   1   8 145   0   0   3    -99    -99  5481  4.760   2956 1  -8.971  0.005    0   3 255 174 235   0  12    -99    -99  4410  5.128   2956 1  
    48835.6958      647    West         300       0x101bf       1.7579              -99    -99  999 999 999 999 999 999  -1    -99    -99   -99    -99      0 0  -8.982  0.004    0   3   2 140 189   0  12    -99    -99  3835  5.974   2956 1  
    48836.6520      723    West         300       0x101bf       2.0021           -8.657  0.003    0   1   0 149   0   0   3    -99    -99  6099  4.316   2956 1  -8.973  0.003    0   1   0 158   0   0  12    -99    -99  4533  4.453   2956 1  
    48841.6713      751    West         300       0x101bf       1.7920           -8.679  0.004    0   1   0 144   0   0   3    -99    -99 10099  4.360   2956 1  -8.995  0.003    0   1   0 148   0   0  12    -99    -99  7513  4.531   2956 1  
    48842.6865      789    West         300       0x101bf       1.6986           -8.679  0.005    0   1   5 143   0   0   3    -99    -99 12028  4.858   2956 1  -9.022  0.004    0   1   0 140   0   0  12    -99    -99 10654  5.139   2956 1  
    48843.6567      825    West         300       0x101bf       1.8454           -8.603  0.004    0   1   0 158   0   0   3    -99    -99 16324  4.368   2956 1  -8.936  0.004    0   1   0 181   0   0  12    -99    -99 15216  4.650   2956 1  
    48849.7977      872    West         300       0x101bf       1.2951           -8.681  0.004    0   1   0 129   0   0   3    -99    -99 12932  4.519   2956 1  -9.010  0.003    0   1   0 152   0   0  12    -99    -99 17548  4.689   2956 1  
    48854.7667      993    West         300       0x101bf       1.3260           -8.663  0.003    0   1   0 186   0   0   3    -99    -99  7691  4.112   2956 1  -9.014  0.002    0   1   0 178   0   0  12    -99    -99  6952  4.072   2956 1  
    48855.7298     1038    West         300       0x101bf       1.4066           -8.676  0.003    0   1   2 227   0   0   3    -99    -99  6722  3.271   2956 1  -8.980  0.004    0   1  44 188   0   0  12    -99    -99  6258  3.201   2956 1  
    48856.8196     1095    West         300       0x101bf       1.2440           -8.655  0.004    0   1   0 162   0   0   3    -99    -99 16249  3.870   2956 1  -8.990  0.003    0   1   0 175   0   0  12    -99    -99 16505  3.940   2956 1  
    48884.6810     1118    West         300       0x101bf       1.3488           -8.641  0.004    0   1  10 164   0   0   3    -99    -99  6025  5.014   2956 1  -8.953  0.003    0   1   0 159   0   0  12    -99    -99  5849  4.785   2956 1  
    48885.6368     1148    West         300       0x101bf       1.4583           -8.645  0.003    0   1   0 137  88  38   3    -99    -99  4548  3.918   2956 1  -8.960  0.002    0   1   0 160   0   0  12    -99    -99  4759  3.928   2956 1  
