!  Star 9.4883.17                          RA  05 10 54.879   DEC  -70 03 14.57
#  1113 observations from the production databases
#  Field inception date: 49717.0417
#  Pixel coordinate system: none
#
#  Template         magnitude        chip coordinates        west-chunk
#     Red:            -9.193           33.31, 1947.71             15
#    Blue:            -9.525           37.10, 1905.96             96
#
!         Date    Obsid    Pier    Exposure     Checklist      Airmass             rMag   rErr  rDS rTF rCP rX2 rMP rCR  rA  rXpix  rYpix  rSky  rFWHM  rTobs r    bMag   bErr  bDS bTF bCP bX2 bMP bCR  bA  bXpix  bYpix  bSky  bFWHM  bTobs b  
    48823.6909      287    West         300       0x101bf       1.9728           -9.172  0.004    0   1   0 169   0   0   2    -99    -99 11850  6.020   2956 1  -9.439  0.004    0   1   0 170   0   0  13    -99    -99 12589  6.119   2956 1  
    48824.6956      324    West         300       0x101bf       1.9321           -9.254  0.003    0   1   0 179   0   0   2    -99    -99 12413  4.216   2956 1  -9.462  0.002    0   1   0 173   0   0  13    -99    -99 11599  4.402   2956 1  
    48825.7559      354    West         300       0x101bf       1.6035              -99    -99  999 999 999 999 999 999   2    -99    -99  7156  4.725   2956 0  -9.454  0.002    0   1   0 184   0   0  13    -99    -99  7023  4.732   2956 1  
    48826.7218      383    West         300       0x101bf       1.7494              -99    -99  999 999 999 999 999 999   2    -99    -99  7652  4.507   2956 0  -9.441  0.002    0   1   0 196   0   0  13    -99    -99  5957  4.760   2956 1  
    48828.6694      399    West         300       0x101bf       2.0154              -99    -99  999 999 999 999 999 999   2    -99    -99  8308  5.191   2956 0  -9.452  0.002    0   1   0 156   0   0  13    -99    -99  4861  5.555   2956 1  
    48829.6868      432    West         300       0x101bf       1.9043              -99    -99  999 999 999 999 999 999   2    -99    -99  5973  3.650   2956 0  -9.448  0.002    0   1   0 219   0   0  13    -99    -99  4562  3.843   2956 1  
    48831.6741      461    West         300       0x101bf       1.9491              -99    -99  999 999 999 999 999 999   2    -99    -99  5885  5.577   2956 0  -9.441  0.003    0  41   0 163   0   0  13    -99    -99  4844  5.888   2956 1  
    48832.6730      497    West         300       0x101bf       1.9392              -99    -99  999 999 999 999 999 999   2    -99    -99  5762  6.066   2956 0  -9.448  0.003    0  41   0 148   0   0  13    -99    -99  4522  6.449   2956 1  
    48833.7934      524    West         300       0x101bf       1.4001              -99    -99  999 999 999 999 999 999   2    -99    -99  4185  4.731   2956 0  -9.456  0.002    0  43   0 167   0   0  13    -99    -99  3716  4.903   2956 1  
    48834.6617      560    West         300       0x101bf       1.9767              -99    -99  999 999 999 999 999 999   2    -99    -99  5360  5.018   2956 0     -99    -99  999 999 999 999 999 999  13    -99    -99  4228  5.380   2956 0  
    48835.6958      647    West         300       0x101bf       1.7579              -99    -99  999 999 999 999 999 999   2    -99    -99  5091  5.733   2956 0     -99    -99  999 999 999 999 999 999  13    -99    -99  3782  6.037   2956 0  
    48836.6520      723    West         300       0x101bf       2.0021              -99    -99  999 999 999 999 999 999   2    -99    -99  6085  4.362   2956 0     -99    -99  999 999 999 999 999 999  13    -99    -99  4410  4.630   2956 0  
    48841.6713      751    West         300       0x101bf       1.7920           -9.145  0.003    0   1   0 165   0   0   2    -99    -99 10084  4.406   2956 1  -9.456  0.002    0   1   0 175   0   0  13    -99    -99  7376  4.683   2956 1  
    48842.6865      789    West         300       0x101bf       1.6986           -9.141  0.003    0   1   0 160   0   0   2    -99    -99 11925  5.009   2956 1  -9.479  0.003    0   1   0 167   0   0  13    -99    -99 10417  5.321   2956 1  
    48843.6567      825    West         300       0x101bf       1.8454           -9.134  0.003    0   1   0 192   0   0   2    -99    -99 16200  4.537   2956 1  -9.457  0.002    0   1   0 219   0   0  13    -99    -99 14817  4.816   2956 1  
    48849.7977      872    West         300       0x101bf       1.2951           -9.158  0.003    0   1   0 157   0   0   2    -99    -99 12528  4.572   2956 1  -9.479  0.002    0   1   0 166   0   0  13    -99    -99 16934  4.746   2956 1  
    48854.7667      993    West         300       0x101bf       1.3260           -9.161  0.002    0   1   0 216   0   0   2    -99    -99  7726  4.050   2956 1  -9.479  0.002    0   1   0 213   0   0  13    -99    -99  6844  4.054   2956 1  
    48855.7298     1038    West         300       0x101bf       1.4066           -9.091  0.006    0  41  61 194   0   0   2    -99    -99  6731  3.355   2956 1  -9.405  0.005    0   1  61 205   0   0  13    -99    -99  6185  3.276   2956 1  
    48856.8196     1095    West         300       0x101bf       1.2440           -9.161  0.003    0  43   0 185 169   0   2    -99    -99 16053  3.876   2956 1  -9.468  0.002    0   1   0 188   0   0  13    -99    -99 16158  3.939   2956 1  
    48884.6810     1118    West         300       0x101bf       1.3488           -9.208  0.002    0   1   0 189   0   0   2    -99    -99  6102  4.817   2956 1  -9.493  0.002    0   1   0 176   0   0  13    -99    -99  5804  4.647   2956 1  
    48885.6368     1148    West         300       0x101bf       1.4583           -9.189  0.002    0   1   0 176   0   0   2    -99    -99  4591  3.923   2956 1  -9.472  0.001    0   1   0 194   0   0  13    -99    -99  4707  3.998   2956 1  
