#Source SSTISAGE1C J051110.61-661253.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.01121	0.0021683	20.528	0.192
0.4747 	0.17764	0.0083721	18.416	 0.05
0.547 	0.84335	0.026106	16.629	0.0331
0.802 	 4.04	0.090295	14.536	0.024
1.21 	7.655	0.19489	13.295	0.028
1.59 	7.4593	0.20997	12.844	0.031
2.15 	5.6493	0.15396	12.68	 0.03
3.6 	4.013	0.1762	12.099	0.048
4.5 	3.867	0.1985	11.667	0.056
5.8 	12.74	0.3878	9.903	0.033
8 	73.97	1.352	7.328	 0.02
24 	268.6	1.438	3.566	0.01163
70 	72.83	1.959	2.572	0.05842
