|        ra |        dec | best | size |                  id |
|    double |     double | char |  int |                char |
  74.185851   -66.572494      y     60   J045644.60-663420.9  
  74.780797   -65.720366      y     60   J045907.39-654313.3  
  76.814968   -68.410526      y     60   J050715.59-682437.8  
  77.337651   -68.856891      y     60   J050921.03-685124.8  
  77.415558   -68.908179      y     60   J050939.73-685429.4  
  78.264407   -69.022941      y     60   J051303.45-690122.5  
   78.47911   -69.076666      y     60   J051354.98-690435.9  
  78.786487   -66.468107      y     60   J051508.75-662805.1  
  79.276244   -67.977796      y     60   J051706.29-675840.0  
  80.399731   -69.041832      y     60   J052135.93-690230.5  
   80.72685   -69.829813      y     60   J052254.44-694947.3  
  81.101988   -69.114399      y     60   J052424.47-690651.8  
  82.548451   -71.099896      y     60   J053011.62-710559.6  
   82.95774   -70.964738      y     60   J053149.85-705753.0  
  83.915629   -67.618085      y     60   J053539.75-673705.1  
  83.984338   -69.701835      y     60   J053556.24-694206.6  
  84.037547   -69.701277      y     60   J053609.01-694204.5  
  84.067662   -69.890327      y     60   J053616.23-695325.1  
  84.129155   -69.207801      y     60   J053630.99-691228.0  
  84.203079   -68.911893      y     60   J053648.73-685442.8  
  84.299688   -69.418332      y     60   J053711.92-692505.9  
  84.778558   -69.004627      y     60   J053906.85-690016.6  
  85.035103    -71.18396      y     60   J054008.42-711102.2  
  85.103308   -69.954574      y     60   J054024.79-695716.4  
  85.194734    -69.53651      y     60   J054046.73-693211.4  
  85.252363   -70.724119      y     60   J054100.56-704326.8  
  85.284535   -69.912332      y     60   J054108.28-695444.3  
  85.439455   -69.164399      y     60   J054145.46-690951.8  
  85.553158   -68.967668      y     60   J054212.75-685803.6  
  85.785009   -67.848143      y     60   J054308.40-675053.3  
  87.008113   -69.898088      y     60   J054801.94-695353.1  
   71.52178   -68.780727      y     60   J044605.22-684650.6  
  72.656384    -68.20419      y     60   J045037.53-681215.0  
  72.878317    -68.40204      y     60   J045130.79-682407.3  
  73.322314   -68.012849      y     60   J045317.35-680046.2  
  73.388226   -67.050266      y     60   J045333.17-670300.9  
  73.388226   -67.050266      y     60   J045333.17-670300.9  
  73.615431   -66.307726      y     60   J045427.70-661827.8  
  73.703268   -69.421351      y     60   J045448.78-692516.8  
  73.984156   -66.400665      y     60   J045556.19-662402.3  
  74.073057   -66.305263      y     60   J045617.53-661818.9  
  74.130096   -67.823305      y     60   J045631.22-674923.8  
  74.319581   -66.473126      y     60   J045716.69-662823.2  
  74.329753   -69.486976      y     60   J045719.14-692913.1  
  74.432128   -66.257349      y     60   J045743.71-661526.4  
  74.864096   -69.473821      y     60   J045927.38-692825.7  
  75.964594   -68.956749      y     60   J050351.50-685724.2  
  76.180058   -69.148779      y     60   J050443.21-690855.6  
  76.396684   -68.991341      y     60   J050535.20-685928.8  
  76.657784   -68.373907      y     60   J050637.86-682226.0  
  76.663141   -68.369213      y     60   J050639.15-682209.1  
  76.924181   -69.375326      y     60   J050741.80-692231.1  
  77.122717   -68.751916      y     60   J050829.45-684506.8  
  77.124583   -70.345057      y     60   J050829.89-702042.2  
  77.303198   -67.788774      y     60   J050912.76-674719.5  
  77.463635   -68.812505      y     60   J050951.27-684845.0  
   77.72825   -70.053924      y     60   J051054.78-700314.1  
  77.965207   -69.026041      y     60   J051151.64-690133.7  
  77.966462   -69.265776      y     60   J051151.95-691556.7  
  79.132429   -68.369326      y     60   J051631.78-682209.5  
  79.626308   -69.631874      y     60   J051830.31-693754.7  
  80.080861    -69.18771      y     60   J052019.40-691115.7  
  80.129697   -68.015932      y     60   J052031.12-680057.3  
  80.266313   -68.959132      y     60   J052103.91-685732.8  
  80.318392   -67.950263      y     60   J052116.41-675700.9  
  80.382418    -68.34966      y     60   J052131.78-682058.7  
  80.571484    -67.45759      y     60   J052217.15-672727.3  
  80.868439   -68.206476      y     60   J052328.42-681223.3  
  80.974312   -68.307601      y     60   J052353.83-681827.3  
  81.161468    -67.43216      y     60   J052438.75-672555.7  
  81.177585   -67.173171      y     60   J052442.62-671023.4  
  81.177585   -67.173171      y     60   J052442.62-671023.4  
  81.440072   -66.281268      y     60   J052545.61-661652.5  
  81.767668   -68.900791      y     60   J052704.24-685402.8  
   81.80811   -71.584094      y     60   J052713.94-713502.7  
  81.838606   -67.461085      y     60   J052721.26-672739.9  
  82.572892   -68.990696      y     60   J053017.49-685926.5  
  82.651731   -67.295071      y     60   J053036.41-671742.2  
   82.95774   -70.964738      y     60   J053149.85-705753.0  
  83.188269   -67.574613      y     60   J053245.18-673428.6  
  83.235229    -67.01406      y     60   J053256.45-670050.6  
  83.340549   -68.774921      y     60   J053321.73-684629.7  
  83.638328    -69.01931      y     60   J053433.19-690109.5  
  83.675596   -68.643919      y     60   J053442.14-683838.1  
  83.805293   -65.984413      y     60   J053513.27-655903.8  
  84.111538   -68.958871      y     60   J053626.76-685731.9  
  84.164643   -66.456313      y     60   J053639.51-662722.7  
  84.181567   -69.612507      y     60   J053643.57-693645.0  
  84.266237    -69.16769      y     60   J053703.89-691003.6  
  84.324614   -69.331163      y     60   J053717.90-691952.1  
   84.51691   -69.620088      y     60   J053804.05-693712.3  
  84.910708   -67.322818      y     60   J053938.56-671922.1  
  84.962441   -67.279238      y     60   J053950.98-671645.2  
  84.987445   -68.925918      y     60   J053956.98-685533.3  
  85.234189    -70.64838      y     60   J054056.20-703854.1  
  85.413179   -69.823535      y     60   J054139.16-694924.7  
  85.548026   -69.027582      y     60   J054211.52-690139.2  
  85.704147   -69.142296      y     60   J054248.99-690832.2  
